round,cumulative_ler
1,0.0
2,0.0
3,0.0
4,0.0
5,0.2
6,0.3333333333333333
7,0.42857142857142855
8,0.375
9,0.3333333333333333
10,0.3
11,0.2727272727272727
12,0.25
13,0.23076923076923078
14,0.2857142857142857
15,0.3333333333333333
16,0.375
17,0.35294117647058826
18,0.3888888888888889
19,0.42105263157894735
20,0.45
21,0.42857142857142855
22,0.4090909090909091
23,0.391304347826087
24,0.375
25,0.36
26,0.34615384615384615
27,0.3333333333333333
28,0.32142857142857145
29,0.3103448275862069
30,0.3
31,0.3225806451612903
32,0.34375
33,0.3939393939393939
34,0.4117647058823529
35,0.42857142857142855
36,0.4166666666666667
37,0.40540540540540543
38,0.39473684210526316
39,0.41025641025641024
40,0.425
41,0.4146341463414634
42,0.40476190476190477
43,0.3953488372093023
44,0.4090909090909091
45,0.4222222222222222
46,0.41304347826086957
47,0.44680851063829785
48,0.4375
49,0.4489795918367347
50,0.46
51,0.45098039215686275
52,0.4423076923076923
53,0.4339622641509434
54,0.42592592592592593
55,0.45454545454545453
56,0.4642857142857143
57,0.45614035087719296
58,0.4482758620689655
59,0.4576271186440678
60,0.4666666666666667
61,0.45901639344262296
62,0.45161290322580644
63,0.4444444444444444
64,0.4375
65,0.4307692307692308
66,0.4393939393939394
67,0.44776119402985076
68,0.45588235294117646
69,0.463768115942029
70,0.4714285714285714
71,0.4647887323943662
72,0.4583333333333333
73,0.4520547945205479
74,0.44594594594594594
75,0.44
76,0.4342105263157895
77,0.42857142857142855
78,0.4358974358974359
79,0.43037974683544306
80,0.425
81,0.41975308641975306
82,0.4268292682926829
83,0.43373493975903615
84,0.44047619047619047
85,0.43529411764705883
86,0.43023255813953487
87,0.42528735632183906
88,0.42045454545454547
89,0.4157303370786517
90,0.4111111111111111
91,0.4065934065934066
92,0.40217391304347827
93,0.3978494623655914
94,0.39361702127659576
95,0.3894736842105263
96,0.3854166666666667
97,0.3917525773195876
98,0.3979591836734694
99,0.3939393939393939
100,0.39
101,0.39603960396039606
102,0.39215686274509803
103,0.3883495145631068
104,0.38461538461538464
105,0.3904761904761905
106,0.39622641509433965
107,0.40186915887850466
108,0.4074074074074074
109,0.41284403669724773
110,0.41818181818181815
111,0.4144144144144144
112,0.4107142857142857
113,0.40707964601769914
114,0.40350877192982454
115,0.4
116,0.39655172413793105
117,0.39316239316239315
118,0.3983050847457627
119,0.40336134453781514
120,0.4083333333333333
121,0.4049586776859504
122,0.4098360655737705
123,0.4146341463414634
124,0.4112903225806452
125,0.408
126,0.4126984126984127
127,0.4251968503937008
128,0.421875
129,0.4263565891472868
130,0.4230769230769231
131,0.4198473282442748
132,0.42424242424242425
133,0.42857142857142855
134,0.4253731343283582
135,0.4222222222222222
136,0.41911764705882354
137,0.4233576642335766
138,0.427536231884058
139,0.4316546762589928
140,0.42857142857142855
141,0.425531914893617
142,0.4225352112676056
143,0.4195804195804196
144,0.4305555555555556
145,0.43448275862068964
