round,cumulative_ler
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.125
9,0.2222222222222222
10,0.2
11,0.2727272727272727
12,0.25
13,0.23076923076923078
14,0.35714285714285715
15,0.4
16,0.4375
17,0.5294117647058824
18,0.6111111111111112
19,0.6842105263157895
20,0.7
21,0.7142857142857143
22,0.6818181818181818
23,0.6521739130434783
24,0.7083333333333334
25,0.68
26,0.6538461538461539
27,0.6296296296296297
28,0.6071428571428571
29,0.6206896551724138
30,0.6333333333333333
31,0.6129032258064516
32,0.625
33,0.6060606060606061
34,0.5882352941176471
35,0.6
36,0.6111111111111112
37,0.5945945945945946
38,0.5789473684210527
39,0.5641025641025641
40,0.55
41,0.5365853658536586
42,0.5238095238095238
43,0.5116279069767442
44,0.5
45,0.4888888888888889
46,0.5
47,0.48936170212765956
48,0.5
49,0.5102040816326531
50,0.5
51,0.5098039215686274
52,0.5
53,0.5094339622641509
54,0.5
55,0.4909090909090909
56,0.48214285714285715
57,0.47368421052631576
58,0.4827586206896552
59,0.4745762711864407
60,0.48333333333333334
61,0.4918032786885246
62,0.5
63,0.5238095238095238
64,0.515625
65,0.5076923076923077
66,0.5
67,0.5074626865671642
68,0.5294117647058824
69,0.5507246376811594
70,0.5571428571428572
71,0.5633802816901409
72,0.5694444444444444
73,0.5753424657534246
74,0.5675675675675675
75,0.56
76,0.5526315789473685
77,0.5454545454545454
78,0.5641025641025641
79,0.569620253164557
80,0.5625
81,0.5679012345679012
82,0.5609756097560976
83,0.5783132530120482
84,0.5833333333333334
85,0.5882352941176471
86,0.5813953488372093
87,0.5862068965517241
88,0.5909090909090909
89,0.5955056179775281
90,0.6
91,0.6153846153846154
92,0.6195652173913043
93,0.6129032258064516
94,0.6063829787234043
95,0.6
96,0.6041666666666666
97,0.6082474226804123
98,0.6020408163265306
99,0.6060606060606061
100,0.61
101,0.6138613861386139
102,0.6176470588235294
103,0.6310679611650486
104,0.625
105,0.6285714285714286
106,0.6226415094339622
107,0.616822429906542
108,0.6296296296296297
109,0.6422018348623854
110,0.6454545454545455
111,0.6396396396396397
112,0.6428571428571429
113,0.6460176991150443
114,0.6491228070175439
115,0.6434782608695652
116,0.6379310344827587
117,0.6324786324786325
118,0.6271186440677966
119,0.6218487394957983
120,0.6166666666666667
121,0.6115702479338843
122,0.6065573770491803
123,0.6016260162601627
124,0.5967741935483871
125,0.608
126,0.6031746031746031
127,0.5984251968503937
128,0.59375
129,0.5968992248062015
130,0.6
131,0.6030534351145038
132,0.5984848484848485
133,0.5939849624060151
134,0.5895522388059702
135,0.5925925925925926
136,0.5882352941176471
137,0.5912408759124088
138,0.5942028985507246
139,0.5899280575539568
140,0.5928571428571429
141,0.5886524822695035
142,0.5845070422535211
143,0.5874125874125874
144,0.5833333333333334
145,0.5793103448275863
146,0.5753424657534246
147,0.5782312925170068
148,0.5878378378378378
149,0.5838926174496645
150,0.5933333333333334
