round,full_mean,full_std,simplified_mean,simplified_std,gap_mean
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.025,0.07500000000000001,0.0,0.0,0.025
5,0.06000000000000001,0.128062484748657,0.0,0.0,0.06000000000000001
6,0.1,0.16996731711975951,0.0,0.0,0.1
7,0.12857142857142856,0.19639610121239315,0.0,0.0,0.12857142857142856
8,0.15,0.21505813167606566,0.0,0.0,0.15
9,0.18888888888888888,0.227980939207591,0.0,0.0,0.18888888888888888
10,0.2,0.21908902300206645,0.0,0.0,0.2
11,0.21818181818181817,0.20810042076835633,0.0,0.0,0.21818181818181817
12,0.25,0.19364916731037085,0.0,0.0,0.25
13,0.2692307692307693,0.19536038614154297,0.0,0.0,0.2692307692307693
14,0.2928571428571428,0.19807749462660068,0.0,0.0,0.2928571428571428
15,0.29999999999999993,0.1914854215512676,0.0,0.0,0.29999999999999993
16,0.31875,0.17555714881485174,0.0,0.0,0.31875
17,0.33529411764705885,0.16439045426449553,0.0,0.0,0.33529411764705885
18,0.3388888888888889,0.17114357556388182,0.0,0.0,0.3388888888888889
19,0.34736842105263155,0.165098812014296,0.0,0.0,0.34736842105263155
20,0.355,0.16948451256678293,0.0,0.0,0.355
21,0.34285714285714286,0.16049809091764494,0.0,0.0,0.34285714285714286
22,0.3454545454545455,0.16160353486028345,0.0,0.0,0.3454545454545455
23,0.3434782608695652,0.1536573656267156,0.0,0.0,0.3434782608695652
24,0.3458333333333333,0.13950557535652672,0.0,0.0,0.3458333333333333
25,0.35200000000000004,0.142884568795934,0.0,0.0,0.35200000000000004
26,0.35769230769230764,0.1376579243705637,0.0,0.0,0.35769230769230764
27,0.35185185185185175,0.1285670737608132,0.0,0.0,0.35185185185185175
28,0.3571428571428571,0.12576297758327865,0.0,0.0,0.3571428571428571
29,0.35862068965517235,0.12356188184254425,0.0,0.0,0.35862068965517235
30,0.36666666666666664,0.11832159566199231,0.0,0.0,0.36666666666666664
31,0.3709677419354839,0.12177152314952822,0.0,0.0,0.3709677419354839
32,0.36875,0.11675963557668377,0.0,0.0,0.36875
33,0.37272727272727274,0.12124999408328821,0.0,0.0,0.37272727272727274
34,0.376470588235294,0.12112506048220001,0.0,0.0,0.376470588235294
35,0.38285714285714284,0.12401448236691832,0.0,0.0,0.38285714285714284
36,0.38055555555555554,0.1217478166711729,0.0,0.0,0.38055555555555554
37,0.3810810810810811,0.12645067638150903,0.0,0.0,0.3810810810810811
38,0.3789473684210526,0.12956351184306494,0.0,0.0,0.3789473684210526
39,0.37435897435897436,0.13084462381715972,0.0,0.0,0.37435897435897436
40,0.36999999999999994,0.13546217184144063,0.0,0.0,0.36999999999999994
41,0.37073170731707317,0.13170731707317074,0.0,0.0,0.37073170731707317
42,0.3761904761904762,0.12724180205607036,0.0,0.0,0.3761904761904762
43,0.3837209302325582,0.12316802490107313,0.0,0.0,0.3837209302325582
44,0.3886363636363636,0.11384072533061994,0.0,0.0,0.3886363636363636
45,0.3933333333333333,0.11245849714559997,0.0,0.0,0.3933333333333333
46,0.39782608695652166,0.11505320541216733,0.0,0.0,0.39782608695652166
47,0.39999999999999997,0.11449892806020177,0.0,0.0,0.39999999999999997
