round,full_mean,full_std,simplified_mean,simplified_std,gap_mean
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.025,0.07500000000000001,0.0,0.0,0.025
5,0.08,0.13266499161421602,0.0,0.0,0.08
6,0.11666666666666665,0.1674979270186815,0.0,0.0,0.11666666666666665
7,0.14285714285714285,0.19166296949998196,0.0,0.0,0.14285714285714285
8,0.15,0.21505813167606566,0.0,0.0,0.15
9,0.18888888888888888,0.227980939207591,0.0,0.0,0.18888888888888888
10,0.2,0.21908902300206645,0.0,0.0,0.2
11,0.21818181818181817,0.20810042076835633,0.0,0.0,0.21818181818181817
12,0.25,0.17480147469502527,0.0,0.0,0.25
13,0.26153846153846155,0.17608497141937843,0.0,0.0,0.26153846153846155
14,0.2857142857142857,0.18070158058105026,0.0,0.0,0.2857142857142857
15,0.2866666666666667,0.17650936393164968,0.0,0.0,0.2866666666666667
16,0.3,0.1525819451966713,0.0,0.0,0.3
17,0.32352941176470595,0.15169172892032504,0.0,0.0,0.32352941176470595
18,0.32222222222222224,0.15071844406945042,0.0,0.0,0.32222222222222224
19,0.32105263157894737,0.13408146529323156,0.0,0.0,0.32105263157894737
20,0.325,0.130862523283024,0.0,0.0,0.325
21,0.3238095238095238,0.12196427118919712,0.0,0.0,0.3238095238095238
22,0.3227272727272727,0.12272727272727273,0.0,0.0,0.3227272727272727
23,0.32608695652173914,0.10869565217391304,0.0,0.0,0.32608695652173914
24,0.3416666666666667,0.10833333333333332,0.0,0.0,0.3416666666666667
25,0.34800000000000003,0.11034491379306978,0.0,0.0,0.34800000000000003
26,0.35,0.10384615384615384,0.0,0.0,0.35
27,0.34814814814814815,0.10631629699560981,0.0,0.0,0.34814814814814815
28,0.35,0.10326308782000686,0.0,0.0,0.35
29,0.35862068965517235,0.1048185114039356,0.0,0.0,0.35862068965517235
30,0.37,0.1015983376941878,0.0,0.0,0.37
31,0.3709677419354839,0.11104460953586133,0.0,0.0,0.3709677419354839
32,0.36875,0.10716517624676404,0.0,0.0,0.36875
33,0.36969696969696975,0.1107616174696792,0.0,0.0,0.36969696969696975
34,0.3735294117647059,0.11470588235294117,0.0,0.0,0.3735294117647059
35,0.3771428571428571,0.11835608672690273,0.0,0.0,0.3771428571428571
36,0.3777777777777777,0.11798200323108503,0.0,0.0,0.3777777777777777
37,0.3756756756756757,0.119928149904507,0.0,0.0,0.3756756756756757
38,0.3763157894736842,0.12457684608994342,0.0,0.0,0.3763157894736842
39,0.37692307692307686,0.12616322666812865,0.0,0.0,0.37692307692307686
40,0.37,0.12338962679253065,0.0,0.0,0.37
41,0.37317073170731707,0.12000892292821992,0.0,0.0,0.37317073170731707
42,0.37619047619047624,0.11799534946060826,0.0,0.0,0.37619047619047624
43,0.3790697674418605,0.1167664205640297,0.0,0.0,0.3790697674418605
44,0.38181818181818183,0.11354541815269815,0.0,0.0,0.38181818181818183
45,0.3844444444444444,0.11376822876595738,0.0,0.0,0.3844444444444444
46,0.38913043478260867,0.11146472820255886,0.0,0.0,0.38913043478260867
47,0.3936170212765958,0.11024890560026905,0.0,0.0,0.3936170212765958
48,0.39583333333333337,0.10206207261596575,0.0,0.0,0.39583333333333337
