round,full_mean,full_std,simplified_mean,simplified_std,gap_mean
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.025,0.07500000000000001,0.0,0.0,0.025
5,0.06000000000000001,0.128062484748657,0.0,0.0,0.06000000000000001
6,0.1,0.16996731711975951,0.0,0.0,0.1
7,0.12857142857142856,0.19639610121239315,0.0,0.0,0.12857142857142856
8,0.15,0.21505813167606566,0.0,0.0,0.15
9,0.18888888888888888,0.227980939207591,0.0,0.0,0.18888888888888888
10,0.2,0.21908902300206645,0.0,0.0,0.2
11,0.21818181818181817,0.20810042076835633,0.0,0.0,0.21818181818181817
12,0.25,0.19364916731037085,0.0,0.0,0.25
13,0.2692307692307693,0.19536038614154297,0.0,0.0,0.2692307692307693
14,0.2928571428571428,0.19807749462660068,0.0,0.0,0.2928571428571428
15,0.30666666666666664,0.1818424226264781,0.0,0.0,0.30666666666666664
16,0.325,0.16723860200324567,0.0,0.0,0.325
17,0.33529411764705885,0.16012538339783766,0.0,0.0,0.33529411764705885
18,0.33333333333333337,0.16101529717988264,0.0,0.0,0.33333333333333337
19,0.3473684210526316,0.15998614898495434,0.0,0.0,0.3473684210526316
20,0.355,0.1556438241627338,0.0,0.0,0.355
21,0.34285714285714286,0.14723452222609815,0.0,0.0,0.34285714285714286
22,0.3454545454545454,0.15102952478032863,0.0,0.0,0.3454545454545454
23,0.3434782608695652,0.14347826086956522,0.0,0.0,0.3434782608695652
24,0.3458333333333333,0.13572081229085275,0.0,0.0,0.3458333333333333
25,0.34800000000000003,0.14316424134538625,0.0,0.0,0.34800000000000003
26,0.3538461538461538,0.13738900845762886,0.0,0.0,0.3538461538461538
27,0.3481481481481481,0.12957670877434002,0.0,0.0,0.3481481481481481
28,0.35357142857142854,0.12921466082232533,0.0,0.0,0.35357142857142854
29,0.3551724137931034,0.1243771641163547,0.0,0.0,0.3551724137931034
30,0.3633333333333333,0.11874342087037916,0.0,0.0,0.3633333333333333
31,0.3612903225806451,0.12559949892859215,0.0,0.0,0.3612903225806451
32,0.3625,0.12119199643540823,0.0,0.0,0.3625
33,0.36060606060606054,0.12453771265475465,0.0,0.0,0.36060606060606054
34,0.3647058823529411,0.12492212106820766,0.0,0.0,0.3647058823529411
35,0.3685714285714286,0.1274234464055872,0.0,0.0,0.3685714285714286
36,0.36944444444444446,0.12487648218327234,0.0,0.0,0.36944444444444446
37,0.36756756756756753,0.12802939764677848,0.0,0.0,0.36756756756756753
38,0.36842105263157887,0.13210421471590666,0.0,0.0,0.36842105263157887
39,0.3666666666666666,0.13375180877687154,0.0,0.0,0.3666666666666666
40,0.3625,0.13704470073665742,0.0,0.0,0.3625
41,0.36097560975609755,0.12988806786043267,0.0,0.0,0.36097560975609755
42,0.3642857142857142,0.12282114644313268,0.0,0.0,0.3642857142857142
43,0.36744186046511623,0.11803327944604207,0.0,0.0,0.36744186046511623
44,0.3659090909090909,0.11338608802969474,0.0,0.0,0.3659090909090909
45,0.3666666666666666,0.11298421172343255,0.0,0.0,0.3666666666666666
46,0.3717391304347826,0.111887906369198,0.0,0.0,0.3717391304347826
47,0.37446808510638296,0.11266555144573383,0.0,0.0,0.37446808510638296
