round,full_mean,full_std,simplified_mean,simplified_std,gap_mean
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.025,0.07500000000000001,0.0,0.0,0.025
5,0.06000000000000001,0.128062484748657,0.0,0.0,0.06000000000000001
6,0.1,0.16996731711975951,0.0,0.0,0.1
7,0.12857142857142856,0.19639610121239315,0.0,0.0,0.12857142857142856
8,0.15,0.21505813167606566,0.0,0.0,0.15
9,0.18888888888888888,0.227980939207591,0.0,0.0,0.18888888888888888
10,0.2,0.21908902300206645,0.0,0.0,0.2
11,0.21818181818181817,0.20810042076835633,0.0,0.0,0.21818181818181817
12,0.25,0.19364916731037085,0.0,0.0,0.25
13,0.2692307692307693,0.19536038614154297,0.0,0.0,0.2692307692307693
14,0.2928571428571428,0.19807749462660068,0.0,0.0,0.2928571428571428
15,0.30666666666666664,0.1818424226264781,0.0,0.0,0.30666666666666664
16,0.325,0.16723860200324567,0.0,0.0,0.325
17,0.33529411764705885,0.16012538339783766,0.0,0.0,0.33529411764705885
18,0.33333333333333337,0.16101529717988264,0.0,0.0,0.33333333333333337
19,0.3473684210526316,0.15998614898495434,0.0,0.0,0.3473684210526316
20,0.355,0.1556438241627338,0.0,0.0,0.355
21,0.34285714285714286,0.14723452222609815,0.0,0.0,0.34285714285714286
22,0.3454545454545454,0.15102952478032863,0.0,0.0,0.3454545454545454
23,0.3434782608695652,0.14347826086956522,0.0,0.0,0.3434782608695652
24,0.3458333333333333,0.13572081229085275,0.0,0.0,0.3458333333333333
25,0.34800000000000003,0.14316424134538625,0.0,0.0,0.34800000000000003
26,0.35769230769230764,0.1376579243705637,0.0,0.0,0.35769230769230764
27,0.3518518518518518,0.12962962962962962,0.0,0.0,0.3518518518518518
28,0.3571428571428572,0.1287696884094282,0.0,0.0,0.3571428571428572
29,0.3586206896551724,0.1245204833466744,0.0,0.0,0.3586206896551724
30,0.37,0.11874342087037917,0.0,0.0,0.37
31,0.3709677419354838,0.12597176896623635,0.0,0.0,0.3709677419354838
32,0.371875,0.12299167908846516,0.0,0.0,0.371875
33,0.36969696969696964,0.12552918289216955,0.0,0.0,0.36969696969696964
34,0.3735294117647059,0.12688032123601758,0.0,0.0,0.3735294117647059
35,0.3771428571428571,0.12828539611796372,0.0,0.0,0.3771428571428571
36,0.37777777777777777,0.12680791345014805,0.0,0.0,0.37777777777777777
37,0.3756756756756757,0.12930674285303442,0.0,0.0,0.3756756756756757
38,0.3763157894736842,0.13421052631578947,0.0,0.0,0.3763157894736842
39,0.37435897435897436,0.136741452574086,0.0,0.0,0.37435897435897436
40,0.37,0.1408900280360537,0.0,0.0,0.37
41,0.36829268292682926,0.1346774409002783,0.0,0.0,0.36829268292682926
42,0.37142857142857144,0.12830660557435694,0.0,0.0,0.37142857142857144
43,0.3744186046511627,0.12413028972169786,0.0,0.0,0.3744186046511627
44,0.3727272727272727,0.11905273503371631,0.0,0.0,0.3727272727272727
45,0.37333333333333335,0.11792443699041423,0.0,0.0,0.37333333333333335
46,0.3782608695652174,0.11593297066063812,0.0,0.0,0.3782608695652174
47,0.3808510638297872,0.11593304447510873,0.0,0.0,0.3808510638297872
