figure,panel,metric,label,value,source,ci_low,ci_high,decisions,trials,clusters,gate,share,squeezing_db,unnecessary_fallback_rate,false_updates,commits,average_ler,window_denominator,deployable,evidence,lut4,ff,bram,board_measured_latency_ns
v5_headroom_early_stop,d,regret_decomposition_ler,Estimation / activation,0.0010537861923163082,docs/t6_10_1_causal_headroom.json,,,,,,,0.7646031746031745,,,,,,,,,,,,
v5_headroom_early_stop,d,regret_decomposition_ler,Action space,1.968876008064516e-06,docs/t6_10_1_causal_headroom.json,,,,,,,0.0014285714285714286,,,,,,,,,,,,
auxiliary_matched_evidence,a,noh_cnot_gate_failure_probability,CI,0.1001434326171875,docs/t6_17_2_noh_cnot_ci_ml_reproduction_source_data.csv,0.0978685208521423,0.1024652176276844,,65536,,,,9.0,,,,,,,,,,,
auxiliary_matched_evidence,a,noh_cnot_gate_failure_probability,CI,0.0087246365017361,docs/t6_17_2_noh_cnot_ci_ml_reproduction_source_data.csv,0.0084904825447325,0.0089651896618489,,589824,,,,12.0,,,,,,,,,,,
auxiliary_matched_evidence,a,noh_cnot_gate_failure_probability,CI,0.0026236869193412,docs/t6_17_2_noh_cnot_ci_ml_reproduction_source_data.csv,0.0025600838996978,0.0026888658399939,,2424832,,,,13.0,,,,,,,,,,,
auxiliary_matched_evidence,a,noh_cnot_gate_failure_probability,ML,0.068939208984375,docs/t6_17_2_noh_cnot_ci_ml_reproduction_source_data.csv,0.0670246859497323,0.0709042631842157,,65536,,,,9.0,,,,,,,,,,,
auxiliary_matched_evidence,a,noh_cnot_gate_failure_probability,ML,0.0036587185329861,docs/t6_17_2_noh_cnot_ci_ml_reproduction_source_data.csv,0.003507834473123,0.0038160677830614,,589824,,,,12.0,,,,,,,,,,,
auxiliary_matched_evidence,a,noh_cnot_gate_failure_probability,ML,0.0008400581978462,docs/t6_17_2_noh_cnot_ci_ml_reproduction_source_data.csv,0.0008043751575664,0.0008773227904345,,2424832,,,,13.0,,,,,,,,,,,
auxiliary_matched_evidence,b,multimode_cpd_p_L,smooth:static_euclidean,0.234974375,docs/t6_18_3_multimode_posterior_weighted_cpd.json,,,,,,,,,,,,,,,PROJECT_NATIVE_MATCHED,,,,
auxiliary_matched_evidence,b,multimode_cpd_p_L,calibration_shift:static_euclidean,0.2363709375,docs/t6_18_3_multimode_posterior_weighted_cpd.json,,,,,,,,,,,,,,,PROJECT_NATIVE_MATCHED,,,,
auxiliary_matched_evidence,b,multimode_cpd_p_L,telegraph:static_euclidean,0.2394428125,docs/t6_18_3_multimode_posterior_weighted_cpd.json,,,,,,,,,,,,,,,PROJECT_NATIVE_MATCHED,,,,
auxiliary_matched_evidence,b,multimode_cpd_p_L,smooth:weighted_static,0.2186509375,docs/t6_18_3_multimode_posterior_weighted_cpd.json,,,,,,,,,,,,,,,PROJECT_NATIVE_MATCHED,,,,
auxiliary_matched_evidence,b,multimode_cpd_p_L,calibration_shift:weighted_static,0.2971028125,docs/t6_18_3_multimode_posterior_weighted_cpd.json,,,,,,,,,,,,,,,PROJECT_NATIVE_MATCHED,,,,
auxiliary_matched_evidence,b,multimode_cpd_p_L,telegraph:weighted_static,0.269281875,docs/t6_18_3_multimode_posterior_weighted_cpd.json,,,,,,,,,,,,,,,PROJECT_NATIVE_MATCHED,,,,
auxiliary_matched_evidence,b,multimode_cpd_p_L,smooth:observed_only_posterior_predictive_weighted,0.186965,docs/t6_18_3_multimode_posterior_weighted_cpd.json,,,,,,,,,,,,,,,PROJECT_NATIVE_MATCHED,,,,
auxiliary_matched_evidence,b,multimode_cpd_p_L,calibration_shift:observed_only_posterior_predictive_weighted,0.17363,docs/t6_18_3_multimode_posterior_weighted_cpd.json,,,,,,,,,,,,,,,PROJECT_NATIVE_MATCHED,,,,
auxiliary_matched_evidence,b,multimode_cpd_p_L,telegraph:observed_only_posterior_predictive_weighted,0.1561878125,docs/t6_18_3_multimode_posterior_weighted_cpd.json,,,,,,,,,,,,,,,PROJECT_NATIVE_MATCHED,,,,
auxiliary_matched_evidence,b,multimode_cpd_p_L,smooth:oracle_metric_upper_bound,0.1866934375,docs/t6_18_3_multimode_posterior_weighted_cpd.json,,,,,,,,,,,,,,,PROJECT_NATIVE_MATCHED,,,,
auxiliary_matched_evidence,b,multimode_cpd_p_L,calibration_shift:oracle_metric_upper_bound,0.173501875,docs/t6_18_3_multimode_posterior_weighted_cpd.json,,,,,,,,,,,,,,,PROJECT_NATIVE_MATCHED,,,,
auxiliary_matched_evidence,b,multimode_cpd_p_L,telegraph:oracle_metric_upper_bound,0.155593125,docs/t6_18_3_multimode_posterior_weighted_cpd.json,,,,,,,,,,,,,,,PROJECT_NATIVE_MATCHED,,,,
auxiliary_matched_evidence,c,static_euclidean_minus_adaptive_p_L,aggregate,0.0646684375,docs/t6_18_3_multimode_posterior_weighted_cpd.json,0.0644128125,0.06492635677083333,,,32,,,,,,,,,,,,,,
auxiliary_matched_evidence,c,static_euclidean_minus_adaptive_p_L,smooth,0.048009375,docs/t6_18_3_multimode_posterior_weighted_cpd.json,0.04768218750000001,0.04833625781250001,,,32,,,,,,,,,,,,,,
auxiliary_matched_evidence,c,static_euclidean_minus_adaptive_p_L,calibration_shift,0.0627409375,docs/t6_18_3_multimode_posterior_weighted_cpd.json,0.0621565625,0.0633456328125,,,32,,,,,,,,,,,,,,
auxiliary_matched_evidence,c,static_euclidean_minus_adaptive_p_L,telegraph,0.083255,docs/t6_18_3_multimode_posterior_weighted_cpd.json,0.08297874999999999,0.0835234375,,,32,,,,,,,,,,,,,,
auxiliary_matched_evidence,d,preboard_fmax_mhz,seed_1,41.08294677734375,docs/t6_19_1_project_preboard_profiles.json,,,,,,,,,,,,,,,,3377,865,8,
auxiliary_matched_evidence,d,preboard_fmax_mhz,seed_7,42.2119026184082,docs/t6_19_1_project_preboard_profiles.json,,,,,,,,,,,,,,,,3379,865,8,
auxiliary_matched_evidence,d,preboard_fmax_mhz,seed_19,41.02396011352539,docs/t6_19_1_project_preboard_profiles.json,,,,,,,,,,,,,,,,3387,865,8,
