amplitude_over_lattice,logical_distance,mean_initial_recovery_depth,mean_ideal_same_quadrature_max_e_run,mean_observed_same_quadrature_max_e_run,observed_run_ci_low,observed_run_ci_high,restricted_mean_recovery_cycles,recovered_fraction_by_horizon,censored_shots
0.0,0.0,0.0,0.0,0.101318359375,0.092156982421875,0.1103515625,0.0,1.0,0
0.0625,0.25,1.50732421875,1.415283203125,1.41064453125,1.3804382324218751,1.444720458984375,1.713623046875,1.0,0
0.125,0.5,2.9951171875,2.690185546875,2.625732421875,2.5929931640625,2.6630859375,3.4228515625,1.0,0
0.1875,0.75,4.51953125,3.929931640625,3.8349609375,3.79515380859375,3.872442626953125,5.1435546875,1.0,0
0.25,1.0,6.0,5.0400390625,4.882568359375,4.845819091796875,4.918609619140625,6.804931640625,1.0,0
0.3125,0.75,4.500732421875,3.931396484375,3.825927734375,3.791131591796875,3.86036376953125,5.119384765625,1.0,0
0.375,0.5,3.005859375,2.70849609375,2.63525390625,2.597772216796875,2.667620849609375,3.419677734375,1.0,0
0.4375,0.25,1.504150390625,1.421142578125,1.416748046875,1.39012451171875,1.443359375,1.704345703125,1.0,0
0.5,0.0,0.0,0.0,0.104248046875,0.095703125,0.113165283203125,0.0,1.0,0
