gate_id,family,stage,metric,direction,estimate,standard_error,bound,margin,cluster_count,passed,denominator
ab/c8/logical/+i/HOLD/logical_survival,logical_ptm_survival,round,logical_survival,upper,0.0003576862653367114,0.0011870154581172924,0.002310152946868403,0.1,768,True,ab/c8/logical/+i/HOLD: paired seed_position
ab/c8/logical/+i/LKG_HOLD/logical_survival,logical_ptm_survival,round,logical_survival,upper,0.00035768615742766814,0.0011870151000109431,0.0023101522499268325,0.1,768,True,ab/c8/logical/+i/LKG_HOLD: paired seed_position
ab/c8/logical/-i/IDLE/logical_survival,logical_ptm_survival,round,logical_survival,upper,0.00035768608581772285,0.0011870148623664297,0.0023101517874264473,0.1,768,True,ab/c8/logical/-i/IDLE: paired seed_position
ab/c8/logical/-i/X/logical_survival,logical_ptm_survival,round,logical_survival,upper,0.00036967964282406214,0.0012268214168081484,0.002387621299882689,0.1,768,True,ab/c8/logical/-i/X: paired seed_position
ab/c8/logical/-i/Z/logical_survival,logical_ptm_survival,round,logical_survival,upper,0.0003682334756145173,0.0012220220431820475,0.0023782808655571567,0.1,768,True,ab/c8/logical/-i/Z: paired seed_position
ab/c8/logical/-i/XZ/logical_survival,logical_ptm_survival,round,logical_survival,upper,0.00036668583534075474,0.0012168945857116585,0.0023682993082661855,0.1,768,True,ab/c8/logical/-i/XZ: paired seed_position
ab/c8/logical/-i/RESET/logical_survival,logical_ptm_survival,round,logical_survival,upper,0.00035769218854647217,0.0011870351148090463,0.002310191202458889,0.1,768,True,ab/c8/logical/-i/RESET: paired seed_position
ab/c8/logical/-i/HOLD/logical_survival,logical_ptm_survival,round,logical_survival,upper,0.00035768626533673334,0.0011870154581173668,0.0023101529468685473,0.1,768,True,ab/c8/logical/-i/HOLD: paired seed_position
ab/c8/logical/-i/LKG_HOLD/logical_survival,logical_ptm_survival,round,logical_survival,upper,0.000357686157427758,0.0011870151000112697,0.0023101522499274596,0.1,768,True,ab/c8/logical/-i/LKG_HOLD: paired seed_position
ab/c8/logical/PTM/IDLE/logical_ptm_entry,logical_ptm_survival,round,logical_ptm_entry,upper,0.0005266046907982672,0.0013903328278665006,0.0028134986853841776,0.12,768,True,c8/IDLE: six-state seed_position PTM
ab/c8/logical/PTM/X/logical_ptm_entry,logical_ptm_survival,round,logical_ptm_entry,upper,0.0005194373477092911,0.0013663295073769676,0.0027668493935291147,0.12,768,True,c8/X: six-state seed_position PTM
ab/c8/logical/PTM/Z/logical_ptm_entry,logical_ptm_survival,round,logical_ptm_entry,upper,0.0005194373477086786,0.0013661962616441467,0.0027666302238015957,0.12,768,True,c8/Z: six-state seed_position PTM
ab/c8/logical/PTM/XZ/logical_ptm_entry,logical_ptm_survival,round,logical_ptm_entry,upper,0.0005093004110798805,0.0011914842099762456,0.0024691175353147177,0.12,768,True,c8/XZ: six-state seed_position PTM
ab/c8/logical/PTM/RESET/logical_ptm_entry,logical_ptm_survival,round,logical_ptm_entry,upper,0.0005266136817194491,0.0013903555097327818,0.0028135449846553784,0.12,768,True,c8/RESET: six-state seed_position PTM
ab/c8/logical/PTM/HOLD/logical_ptm_entry,logical_ptm_survival,round,logical_ptm_entry,upper,0.0005266049552868983,0.0013903334953310818,0.0028135000477543456,0.12,768,True,c8/HOLD: six-state seed_position PTM
ab/c8/logical/PTM/LKG_HOLD/logical_ptm_entry,logical_ptm_survival,round,logical_ptm_entry,upper,0.0005266047963033401,0.0013903330941204956,0.0028134992288380996,0.12,768,True,c8/LKG_HOLD: six-state seed_position PTM
ab/c8/reset/vacuum_g/rao_blackwell_reset_success,reset_leakage,round,rao_blackwell_reset_success,upper,1.9531263075764013e-05,3.384381605194646e-05,7.519938665868659e-05,0.12,768,True,ab/c8/shared/vacuum_g/RESET: paired seed_position
ab/c8/reset/vacuum_g/leakage_residence_rate,reset_leakage,round,leakage_residence_rate,upper,0.0,0.0,0.0,0.1,768,True,ab/c8/shared/vacuum_g/RESET: paired seed_position
ab/c8/reset/one_g/rao_blackwell_reset_success,reset_leakage,round,rao_blackwell_reset_success,upper,3.906251308981862e-05,3.906249998293583e-05,0.00010331460786454244,0.12,768,True,ab/c8/shared/one_g/RESET: paired seed_position
ab/c8/reset/one_g/leakage_residence_rate,reset_leakage,round,leakage_residence_rate,upper,0.0,0.0,0.0,0.1,768,True,ab/c8/shared/one_g/RESET: paired seed_position
ab/c8/reset/zero_one_plus_g/rao_blackwell_reset_success,reset_leakage,round,rao_blackwell_reset_success,upper,1.9531263082783717e-05,3.384381605194109e-05,7.519938666569748e-05,0.12,768,True,ab/c8/shared/zero_one_plus_g/RESET: paired seed_position
ab/c8/reset/zero_one_plus_g/leakage_residence_rate,reset_leakage,round,leakage_residence_rate,upper,0.0,0.0,0.0,0.1,768,True,ab/c8/shared/zero_one_plus_g/RESET: paired seed_position
ab/c8/reset/vacuum_e/rao_blackwell_reset_success,reset_leakage,round,rao_blackwell_reset_success,upper,3.906256496444228e-05,0.0006203078271216773,0.00105937814423192,0.12,768,True,ab/c8/shared/vacuum_e/RESET: paired seed_position
ab/c8/reset/vacuum_e/leakage_residence_rate,reset_leakage,round,leakage_residence_rate,upper,0.0013020833333333333,0.003446913081936959,0.006971750817943817,0.1,768,True,ab/c8/shared/vacuum_e/RESET: paired seed_position
ab/c8/reset/vacuum_f/rao_blackwell_reset_success,reset_leakage,round,rao_blackwell_reset_success,upper,0.0011132368102641846,0.0007241221041017719,0.002304311679551716,0.12,768,True,ab/c8/shared/vacuum_f/RESET: paired seed_position
ab/c8/reset/vacuum_f/leakage_residence_rate,reset_leakage,round,leakage_residence_rate,upper,0.0013020833333333333,0.01856386212112741,0.03183691927349681,0.1,768,True,ab/c8/shared/vacuum_f/RESET: paired seed_position
ab/c8/fault/step/terminal_density_trace_distance,fault_trajectory_tail,trajectory,terminal_density_trace_distance,upper,0.013477923023938774,0.05890388686026817,0.11036619496759004,0.15,256,True,ab/c8/fault/step: paired seed_position
ab/c8/fault/step/terminal_mean_photon_difference,fault_trajectory_tail,trajectory,terminal_mean_photon_difference,upper,0.00815791654266853,0.0344579232934558,0.06483615664912493,0.08,256,True,ab/c8/fault/step: paired seed_position
ab/c8/fault/step/terminal_level_probability_l1,fault_trajectory_tail,trajectory,terminal_level_probability_l1,upper,0.01562503984590216,0.03833576419214015,0.07868176061930027,0.1,256,True,ab/c8/fault/step: paired seed_position
ab/c8/fault/step/terminal_predictive_mean_l2,fault_trajectory_tail,trajectory,terminal_predictive_mean_l2,upper,0.005210295290783481,0.017693421773986407,0.03431338426890718,0.12,256,True,ab/c8/fault/step: paired seed_position
ab/c8/fault/step/terminal_predictive_covariance_frobenius,fault_trajectory_tail,trajectory,terminal_predictive_covariance_frobenius,upper,0.00016127972359068733,0.0002553509789358302,0.0005812947074388965,0.18,256,True,ab/c8/fault/step: paired seed_position
ab/c8/fault/step/terminal_paired_proper_score_per_sample,fault_trajectory_tail,trajectory,terminal_paired_proper_score_per_sample,upper,0.01850943451599254,0.011002405673248354,0.03660678139282655,0.0375,256,True,ab/c8/fault/step: paired seed_position
ab/c8/fault/step/terminal_leakage_residence_rate,fault_trajectory_tail,trajectory,terminal_leakage_residence_rate,upper,0.00390625,0.0039062499999999996,0.010331459480279187,0.1,256,True,ab/c8/fault/step: paired seed_position
ab/c8/fault/step/terminal_drift_normalized_l2,fault_trajectory_tail,trajectory,terminal_drift_normalized_l2,upper,0.0038880309003342683,0.0032471472556922913,0.009229112841105253,0.15,256,True,ab/c8/fault/step: paired seed_position
ab/c8/fault/step/terminal_logical_survival,fault_trajectory_tail,trajectory,terminal_logical_survival,upper,0.001325961331665393,0.0016704739472779419,0.004073646462573458,0.1,256,True,ab/c8/fault/step: paired seed_position
ab/c8/fault/telegraph/terminal_density_trace_distance,fault_trajectory_tail,trajectory,terminal_density_trace_distance,upper,0.013224879426270373,0.05887716209225286,0.11006919303832223,0.15,256,True,ab/c8/fault/telegraph: paired seed_position
ab/c8/fault/telegraph/terminal_mean_photon_difference,fault_trajectory_tail,trajectory,terminal_mean_photon_difference,upper,0.007231343122063763,0.033211876050888746,0.061860017902230856,0.08,256,True,ab/c8/fault/telegraph: paired seed_position
