analog_allocated_bytes_first_measured_decode,analog_errors,analog_ler,analog_runtime_seconds,analog_seconds_per_decode,certified_integer_box_bound,ci,cpd_allocated_bytes_first_measured_decode,cpd_errors,cpd_ler,cpd_runtime_seconds,cpd_seconds_per_decode,crossing_sigma,dimension,distance,distance_gap,errors,evidence,fidelity,ler,lower_distance,may_be_replaced_by_three_size_fit,median_allocated_bytes_per_measured_decode,median_seconds_per_decode,method,mismatch,official,official_distance,offset,oracle_distance,p95_seconds_per_decode,pair,paired_error_difference,quantity,record_type,sample,samples,seed,seed_clusters,seed_ler_standard_error,sigma,trials,value,value_state
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.44487212504645957,,0.44487212504645957,,,,,exact_cvp,26,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.48620624647939015,,0.48620624647939015,,,,,exact_cvp,27,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.4951118397052561,,0.4951118397052561,,,,,exact_cvp,28,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.121812984060279,,0.121812984060279,,,,,exact_cvp,29,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.5182696930867356,,0.5182696930867356,,,,,exact_cvp,30,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.7870495643775508,,0.7870495643775508,,,,,exact_cvp,31,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.22218466150225735,,0.22218466150225735,,,,,exact_cvp,32,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.03289214761789183,,0.03289214761789183,,,,,exact_cvp,33,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.42285510376202645,,0.42285510376202645,,,,,exact_cvp,34,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.006369923668049449,,0.006369923668049449,,,,,exact_cvp,35,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.1953945362661642,,0.1953945362661642,,,,,exact_cvp,36,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.18859420484920397,,0.18859420484920397,,,,,exact_cvp,37,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.7938050106462384,,0.7938050106462384,,,,,exact_cvp,38,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,1.485133941674183,,1.485133941674183,,,,,exact_cvp,39,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,4,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.19063625137612794,,0.19063625137612794,,,,,exact_cvp,40,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.9562073081997733,,0.9562073081997733,,,,,exact_cvp,41,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.3419222538865693,,0.3419222538865693,,,,,exact_cvp,42,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.02073218712143987,,0.02073218712143987,,,,,exact_cvp,43,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.11430154900780515,,0.11430154900780515,,,,,exact_cvp,44,,,,,,,,OFFICIAL_CODE_REPRODUCTION
