scenario,cycle,input_valid,input_word_hex,actual_commit_ack,expected_commit_ack,actual_active_version,expected_active_version,actual_map_valid,expected_map_valid,actual_map_address,expected_map_address,actual_map_llr_twos,expected_map_llr_twos,actual_output_word_hex,expected_output_word_hex,actual_state_word_hex,expected_state_word_hex,exact
fault_and_commit,22,True,ded3000b080259,False,False,0,0,True,True,59,59,29198,29198,2cac40718b000000000fc000000011,2cac40718b000000000fc000000011,c9d100000000000000000000000000000000000048000000000003f000,c9d100000000000000000000000000000000000048000000000003f000,True
fault_and_commit,23,True,2a7eb000b8842a2,False,False,0,0,True,True,77,77,55023,55023,0dd200720e000000000fc000000011,0dd200720e000000000fc000000011,81ce0000000000000000000000000000000000004c000000000003f000,81ce0000000000000000000000000000000000004c000000000003f000,True
fault_and_commit,24,True,30b23000c0802eb,False,False,0,0,True,True,95,95,47221,47221,1c7cc0d6ef000000000fc000000011,1c7cc0d6ef000000000fc000000011,69b200000000000000000000000000000000000050000000000003f000,69b200000000000000000000000000000000000050000000000003f000,True
fault_and_commit,25,True,315fb000c884334,False,False,0,0,True,True,113,113,80947,80947,398b80b875000000000fc000000011,398b80b875000000000fc000000011,21ad00000000000000000000000000000000000054000000000003f000,21ad00000000000000000000000000000000000054000000000003f000,True
fault_and_commit,26,True,73b3000d08037d,False,False,0,0,True,True,132,132,59882,59882,2397813c33000000000fc000000011,2397813c33000000000fc000000011,f98c00000000000000000000000000000000000058000000000003f000,f98c00000000000000000000000000000000000058000000000003f000,True
fault_and_commit,27,True,3a2cb000d8843c6,False,False,0,0,True,True,150,150,75109,75109,23ea00e9ea000000000fc000000011,23ea00e9ea000000000fc000000011,b1930000000000000000000000000000000000005c000000000003f000,b1930000000000000000000000000000000000005c000000000003f000,True
fault_and_commit,28,True,196cb000e08000f,False,False,0,0,True,True,168,168,43148,43148,36f6c12565000000000fc000000011,36f6c12565000000000fc000000011,395500000000000000000000000000000000000060000000000003f000,395500000000000000000000000000000000000060000000000003f000,True
fault_and_commit,29,True,44df000e884058,False,False,0,0,True,True,186,186,49156,49156,262780a88c000000000fc000000011,262780a88c000000000fc000000011,714a00000000000000000000000000000000000064000000000003f000,714a00000000000000000000000000000000000064000000000003f000,True
fault_and_commit,30,True,cc27000f0800a1,False,False,0,0,True,True,205,205,25123,25123,223980c004000000000fc000000011,223980c004000000000fc000000011,a96b00000000000000000000000000000000000068000000000003f000,a96b00000000000000000000000000000000000068000000000003f000,True
fault_and_commit,31,True,15baf000f8840ea,False,False,0,0,True,True,223,223,23200,23200,3c2b006223000000000fc000000011,3c2b006223000000000fc000000011,e1740000000000000000000000000000000000006c000000000003f000,e1740000000000000000000000000000000000006c000000000003f000,True
