profile_id,curve_axis,axis_value,bank_fault_mode,seed,logical_error_rate,prediction_disagreement_vs_float,maximum_bank_age_windows,fault_events,adc_bits,lut_address_bits,llr_word_bits,threshold_word_bits,state_bits,update_period_windows,total_dual_bank_storage_bits,replay_window_bits,update_payload_bits,mean_update_payload_bits_per_window,target_hardware_measured,synthesis_measured
axis_adc_bits_8,adc_bits,8.0,none,307,0.0308962844488189,0.00016916830708661417,1,0,8,8,12,10,12,1,6212,2048,3106,3106.0,False,False
axis_adc_bits_8,adc_bits,8.0,none,401,0.031219242125984252,0.00013841043307086614,1,0,8,8,12,10,12,1,6212,2048,3106,3106.0,False,False
axis_adc_bits_8,adc_bits,8.0,none,503,0.031219242125984252,0.00024606299212598425,1,0,8,8,12,10,12,1,6212,2048,3106,3106.0,False,False
axis_adc_bits_8,adc_bits,8.0,none,607,0.030081200787401573,0.00023068405511811023,1,0,8,8,12,10,12,1,6212,2048,3106,3106.0,False,False
axis_adc_bits_8,adc_bits,8.0,none,709,0.032080462598425195,0.00015378937007874016,1,0,8,8,12,10,12,1,6212,2048,3106,3106.0,False,False
axis_adc_bits_8,adc_bits,8.0,none,811,0.03051181102362205,0.00012303149606299212,1,0,8,8,12,10,12,1,6212,2048,3106,3106.0,False,False
axis_adc_bits_10,adc_bits,10.0,none,101,0.031619094488188976,0.00018454724409448819,1,0,10,8,12,10,12,1,6212,2560,3106,3106.0,False,False
axis_adc_bits_10,adc_bits,10.0,none,211,0.03188053641732284,0.00013841043307086614,1,0,10,8,12,10,12,1,6212,2560,3106,3106.0,False,False
axis_adc_bits_10,adc_bits,10.0,none,307,0.0308962844488189,0.00016916830708661417,1,0,10,8,12,10,12,1,6212,2560,3106,3106.0,False,False
axis_adc_bits_10,adc_bits,10.0,none,401,0.031219242125984252,0.00013841043307086614,1,0,10,8,12,10,12,1,6212,2560,3106,3106.0,False,False
axis_adc_bits_10,adc_bits,10.0,none,503,0.031219242125984252,0.00024606299212598425,1,0,10,8,12,10,12,1,6212,2560,3106,3106.0,False,False
axis_adc_bits_10,adc_bits,10.0,none,607,0.030127337598425195,0.00018454724409448819,1,0,10,8,12,10,12,1,6212,2560,3106,3106.0,False,False
axis_adc_bits_10,adc_bits,10.0,none,709,0.032065083661417325,0.00016916830708661417,1,0,10,8,12,10,12,1,6212,2560,3106,3106.0,False,False
axis_adc_bits_10,adc_bits,10.0,none,811,0.03051181102362205,0.00012303149606299212,1,0,10,8,12,10,12,1,6212,2560,3106,3106.0,False,False
axis_adc_bits_12,adc_bits,12.0,none,101,0.031619094488188976,0.00018454724409448819,1,0,12,8,12,10,12,1,6212,3072,3106,3106.0,False,False
axis_adc_bits_12,adc_bits,12.0,none,211,0.03188053641732284,0.00013841043307086614,1,0,12,8,12,10,12,1,6212,3072,3106,3106.0,False,False
axis_adc_bits_12,adc_bits,12.0,none,307,0.0308962844488189,0.00016916830708661417,1,0,12,8,12,10,12,1,6212,3072,3106,3106.0,False,False
axis_adc_bits_12,adc_bits,12.0,none,401,0.031219242125984252,0.00013841043307086614,1,0,12,8,12,10,12,1,6212,3072,3106,3106.0,False,False
axis_adc_bits_12,adc_bits,12.0,none,503,0.031219242125984252,0.00024606299212598425,1,0,12,8,12,10,12,1,6212,3072,3106,3106.0,False,False
axis_adc_bits_12,adc_bits,12.0,none,607,0.030127337598425195,0.00018454724409448819,1,0,12,8,12,10,12,1,6212,3072,3106,3106.0,False,False
axis_adc_bits_12,adc_bits,12.0,none,709,0.032065083661417325,0.00016916830708661417,1,0,12,8,12,10,12,1,6212,3072,3106,3106.0,False,False
axis_adc_bits_12,adc_bits,12.0,none,811,0.03051181102362205,0.00012303149606299212,1,0,12,8,12,10,12,1,6212,3072,3106,3106.0,False,False
axis_lut_address_bits_3,lut_address_bits,3.0,none,101,0.027359128937007874,0.007489542322834645,1,0,10,3,12,10,12,1,260,2560,130,130.0,False,False
