row_type,restart_index,restart_seed,split,cutoff,epoch,metric,value,secondary_value,checkpoint_sha256,detail_json
training_epoch,2,811,training,,259,mean_reward,0.5146182131138092,3.7876248175636533,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5234822841140425, ""control_residual_rms"": 0.14660658074970503, ""control_slew_rms"": 0.02082932804708735, ""epoch"": 259, ""gradient_norm_before_clip"": 3.7876248175636533, ""ground_outcome_fraction"": 0.8583333333333333, ""loss"": -0.9529350156806615, ""mean_reward"": 0.5146182131138092, ""score_path"": 0.43831702184035654}"
training_epoch,2,811,training,,260,mean_reward,0.5384105891687653,2.550508840910786,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5242286993667786, ""control_residual_rms"": 0.14979558601347565, ""control_slew_rms"": 0.019317307075779312, ""epoch"": 260, ""gradient_norm_before_clip"": 2.550508840910786, ""ground_outcome_fraction"": 0.875, ""loss"": -0.7956249413139607, ""mean_reward"": 0.5384105891687653, ""score_path"": 0.2572145802639547}"
training_epoch,2,811,training,,261,mean_reward,0.5901638803062809,1.0445010528370386,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5275254584137538, ""control_residual_rms"": 0.14922765692109385, ""control_slew_rms"": 0.018980207583403328, ""epoch"": 261, ""gradient_norm_before_clip"": 1.0445010528370386, ""ground_outcome_fraction"": 0.8833333333333333, ""loss"": -0.48566086096097794, ""mean_reward"": 0.5901638803062809, ""score_path"": -0.10450279305388423}"
training_epoch,2,811,training,,262,mean_reward,0.47782337462594626,2.6061942453017846,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5250403542243635, ""control_residual_rms"": 0.14839426861094196, ""control_slew_rms"": 0.021276567669282476, ""epoch"": 262, ""gradient_norm_before_clip"": 2.6061942453017846, ""ground_outcome_fraction"": 0.8416666666666667, ""loss"": -1.4751695268868157, ""mean_reward"": 0.47782337462594626, ""score_path"": 0.9973463769963822}"
training_epoch,2,811,training,,263,mean_reward,0.4192231848209004,4.417804708427109,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5197494957541903, ""control_residual_rms"": 0.153384534449428, ""control_slew_rms"": 0.019555286983916953, ""epoch"": 263, ""gradient_norm_before_clip"": 4.417804708427109, ""ground_outcome_fraction"": 0.8666666666666667, ""loss"": -1.337582174205188, ""mean_reward"": 0.4192231848209004, ""score_path"": 0.9183592284765343}"
training_epoch,2,811,training,,264,mean_reward,0.582775183816742,2.445658992232859,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5229007801573179, ""control_residual_rms"": 0.15640514311856024, ""control_slew_rms"": 0.01824085851927603, ""epoch"": 264, ""gradient_norm_before_clip"": 2.445658992232859, ""ground_outcome_fraction"": 0.9166666666666666, ""loss"": -0.4314993180904672, ""mean_reward"": 0.582775183816742, ""score_path"": -0.15127561777329762}"
training_epoch,2,811,training,,265,mean_reward,0.534409554656744,1.5435944002471462,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5234762188822892, ""control_residual_rms"": 0.1546071312430898, ""control_slew_rms"": 0.02164820907718613, ""epoch"": 265, ""gradient_norm_before_clip"": 1.5435944002471462, ""ground_outcome_fraction"": 0.8583333333333333, ""loss"": -0.7864426179059986, ""mean_reward"": 0.534409554656744, ""score_path"": 0.25203330696935444}"
training_epoch,2,811,training,,266,mean_reward,0.6216045360154885,1.895621531972736,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5283826347389492, ""control_residual_rms"": 0.15959771091635286, ""control_slew_rms"": 0.017674907459144573, ""epoch"": 266, ""gradient_norm_before_clip"": 1.895621531972736, ""ground_outcome_fraction"": 0.9249999999999999, ""loss"": -0.16107693974598689, ""mean_reward"": 0.6216045360154885, ""score_path"": -0.46052733843118476}"
training_epoch,2,811,training,,267,mean_reward,0.5232016988974874,3.598141531143425,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5281235879468762, ""control_residual_rms"": 0.15202394931664132, ""control_slew_rms"": 0.0243763952958224, ""epoch"": 267, ""gradient_norm_before_clip"": 3.598141531143425, ""ground_outcome_fraction"": 0.825, ""loss"": -1.4788017277151164, ""mean_reward"": 0.5232016988974874, ""score_path"": 0.9556002658725269}"
training_epoch,2,811,training,,268,mean_reward,0.5566536583800549,1.6915427219458086,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5295500914685352, ""control_residual_rms"": 0.1599934692972178, ""control_slew_rms"": 0.018545966280370415, ""epoch"": 268, ""gradient_norm_before_clip"": 1.6915427219458086, ""ground_outcome_fraction"": 0.9083333333333333, ""loss"": -0.5459149330134655, ""mean_reward"": 0.5566536583800549, ""score_path"": -0.010738465947958612}"
training_epoch,2,811,training,,269,mean_reward,0.4119266293572523,3.3179363311316106,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.523668918362971, ""control_residual_rms"": 0.14928074705100172, ""control_slew_rms"": 0.02574854721834512, ""epoch"": 269, ""gradient_norm_before_clip"": 3.3179363311316106, ""ground_outcome_fraction"": 0.7916666666666666, ""loss"": -1.9286537015098657, ""mean_reward"": 0.4119266293572523, ""score_path"": 1.5167273016299045}"
training_epoch,2,811,training,,270,mean_reward,0.6166217743780413,1.623128938725921,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5283165611637245, ""control_residual_rms"": 0.16220375619922908, ""control_slew_rms"": 0.01662089775293928, ""epoch"": 270, ""gradient_norm_before_clip"": 1.623128938725921, ""ground_outcome_fraction"": 0.9416666666666667, ""loss"": -0.3851145051187788, ""mean_reward"": 0.6166217743780413, ""score_path"": -0.23150700339613486}"
training_epoch,2,811,training,,271,mean_reward,0.5836521616111919,2.2915584372358277,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5310833411860979, ""control_residual_rms"": 0.15461525249911526, ""control_slew_rms"": 0.020506223002692458, ""epoch"": 271, ""gradient_norm_before_clip"": 2.2915584372358277, ""ground_outcome_fraction"": 0.8416666666666667, ""loss"": -0.2503449288278415, ""mean_reward"": 0.5836521616111919, ""score_path"": -0.3333069895195356}"
training_epoch,2,811,training,,272,mean_reward,0.4794929837223292,2.566987535060531,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5285038233129095, ""control_residual_rms"": 0.15298280097417846, ""control_slew_rms"": 0.026355996380089754, ""epoch"": 272, ""gradient_norm_before_clip"": 2.566987535060531, ""ground_outcome_fraction"": 0.8, ""loss"": -1.3863104107574258, ""mean_reward"": 0.4794929837223292, ""score_path"": 0.906817668018856}"
training_epoch,2,811,training,,273,mean_reward,0.5909932236646765,2.121776502710422,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5316282933304979, ""control_residual_rms"": 0.1641649464025051, ""control_slew_rms"": 0.017457552710658682, ""epoch"": 273, ""gradient_norm_before_clip"": 2.121776502710422, ""ground_outcome_fraction"": 0.9333333333333333, ""loss"": -0.5942893075222951, ""mean_reward"": 0.5909932236646765, ""score_path"": 0.0032963564065763284}"
training_epoch,2,811,training,,274,mean_reward,0.40949201567693416,2.4425750909429604,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5255214794478197, ""control_residual_rms"": 0.15010537204338095, ""control_slew_rms"": 0.02735123716691898, ""epoch"": 274, ""gradient_norm_before_clip"": 2.4425750909429604, ""ground_outcome_fraction"": 0.7583333333333333, ""loss"": -2.7425866918312813, ""mean_reward"": 0.40949201567693416, ""score_path"": 2.333094908951476}"
training_epoch,2,811,training,,275,mean_reward,0.4538596545888627,3.761544539606208,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5219383882048718, ""control_residual_rms"": 0.15909016710908233, ""control_slew_rms"": 0.02230997978507927, ""epoch"": 275, ""gradient_norm_before_clip"": 3.761544539606208, ""ground_outcome_fraction"": 0.85, ""loss"": -2.03193108506097, ""mean_reward"": 0.4538596545888627, ""score_path"": 1.578071688546272}"
training_epoch,2,811,training,,276,mean_reward,0.5074488429900802,1.6978445505133402,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5212139109441323, ""control_residual_rms"": 0.16043452331480276, ""control_slew_rms"": 0.019035879129807358, ""epoch"": 276, ""gradient_norm_before_clip"": 1.6978445505133402, ""ground_outcome_fraction"": 0.8916666666666666, ""loss"": -1.1840034726876218, ""mean_reward"": 0.5074488429900802, ""score_path"": 0.6765548907135513}"
