scenario_id,evaluation_seed,trace_sha256,samples,K,full_map_ler,topk_map_ler,topk_minus_full_ler,decision_disagreement_rate,q_llr_mean_abs_error,p_llr_mean_abs_error,axis_llr_max_abs_error,posterior_tv_mean,posterior_tv_max,candidate_aliases,max_coset_candidates,retained_state_bits,streaming_topk_comparisons_upper,serial_cycle_upper_proxy
narrow_isotropic,20260753,3a75039a4b11bfb28f768ba9d5e7ee485689ab43efe5998b8b156fa30381920d,12000,1,0.003416666666666667,0.003416666666666667,0.0,0.0,0.053168690453239034,0.05280271510676458,0.6928510709318623,8.285037602859483e-10,6.272921133484532e-09,81,25,128,81,169
narrow_isotropic,20260753,3a75039a4b11bfb28f768ba9d5e7ee485689ab43efe5998b8b156fa30381920d,12000,2,0.003416666666666667,0.003416666666666667,0.0,0.0,7.736051221840511e-11,7.7425002039296e-11,3.0690543439959583e-09,1.766483160386277e-18,2.2639848213289783e-16,81,25,256,162,254
narrow_isotropic,20260753,3a75039a4b11bfb28f768ba9d5e7ee485689ab43efe5998b8b156fa30381920d,12000,4,0.003416666666666667,0.003416666666666667,0.0,0.0,6.187642990577539e-17,6.801966397536793e-17,7.105427357601002e-15,6.999208073686434e-20,6.938893903907228e-17,81,25,512,324,424
narrow_isotropic,20260753,3a75039a4b11bfb28f768ba9d5e7ee485689ab43efe5998b8b156fa30381920d,12000,8,0.003416666666666667,0.003416666666666667,0.0,0.0,6.187642990577539e-17,6.801966397536793e-17,7.105427357601002e-15,6.999208073686434e-20,6.938893903907228e-17,81,25,1024,648,764
narrow_isotropic,20260753,3a75039a4b11bfb28f768ba9d5e7ee485689ab43efe5998b8b156fa30381920d,12000,16,0.003416666666666667,0.003416666666666667,0.0,0.0,6.187642990577539e-17,6.801966397536793e-17,7.105427357601002e-15,6.999208073686434e-20,6.938893903907228e-17,81,25,2048,1296,1444
narrow_isotropic,20260753,3a75039a4b11bfb28f768ba9d5e7ee485689ab43efe5998b8b156fa30381920d,12000,32,0.003416666666666667,0.003416666666666667,0.0,0.0,6.187642990577539e-17,6.801966397536793e-17,7.105427357601002e-15,6.999208073686434e-20,6.938893903907228e-17,81,25,3200,2025,2209
narrow_isotropic,20260753,3a75039a4b11bfb28f768ba9d5e7ee485689ab43efe5998b8b156fa30381920d,12000,64,0.003416666666666667,0.003416666666666667,0.0,0.0,6.187642990577539e-17,6.801966397536793e-17,7.105427357601002e-15,6.999208073686434e-20,6.938893903907228e-17,81,25,3200,2025,2209
narrow_isotropic,20260753,3a75039a4b11bfb28f768ba9d5e7ee485689ab43efe5998b8b156fa30381920d,12000,128,0.003416666666666667,0.003416666666666667,0.0,0.0,6.187642990577539e-17,6.801966397536793e-17,7.105427357601002e-15,6.999208073686434e-20,6.938893903907228e-17,81,25,3200,2025,2209
narrow_isotropic,20260754,bc93bb2643914b3d774109c6e91848ee2f4bf32c4d05ef46f309be5ce74dce49,12000,1,0.0028333333333333335,0.0028333333333333335,0.0,0.0,0.050852208209432634,0.0526046930123453,0.6931127717493091,8.168257953731649e-10,6.2839941605038546e-09,81,25,128,81,169
narrow_isotropic,20260754,bc93bb2643914b3d774109c6e91848ee2f4bf32c4d05ef46f309be5ce74dce49,12000,2,0.0028333333333333335,0.0028333333333333335,0.0,0.0,7.922122513548402e-11,7.890830514926487e-11,3.1114559817524423e-09,2.0756487704694094e-18,4.484260226403648e-16,81,25,256,162,254
narrow_isotropic,20260754,bc93bb2643914b3d774109c6e91848ee2f4bf32c4d05ef46f309be5ce74dce49,12000,4,0.0028333333333333335,0.0028333333333333335,0.0,0.0,6.365278674517564e-17,6.47630097698008e-17,7.105427357601002e-15,1.3570176376565204e-19,4.48426018640171e-16,81,25,512,324,424
narrow_isotropic,20260754,bc93bb2643914b3d774109c6e91848ee2f4bf32c4d05ef46f309be5ce74dce49,12000,8,0.0028333333333333335,0.0028333333333333335,0.0,0.0,6.365278674517564e-17,6.47630097698008e-17,7.105427357601002e-15,1.3570176376565204e-19,4.48426018640171e-16,81,25,1024,648,764
narrow_isotropic,20260754,bc93bb2643914b3d774109c6e91848ee2f4bf32c4d05ef46f309be5ce74dce49,12000,16,0.0028333333333333335,0.0028333333333333335,0.0,0.0,6.365278674517564e-17,6.47630097698008e-17,7.105427357601002e-15,1.3570176376565204e-19,4.48426018640171e-16,81,25,2048,1296,1444
narrow_isotropic,20260754,bc93bb2643914b3d774109c6e91848ee2f4bf32c4d05ef46f309be5ce74dce49,12000,32,0.0028333333333333335,0.0028333333333333335,0.0,0.0,6.365278674517564e-17,6.47630097698008e-17,7.105427357601002e-15,1.3570176376565204e-19,4.48426018640171e-16,81,25,3200,2025,2209
narrow_isotropic,20260754,bc93bb2643914b3d774109c6e91848ee2f4bf32c4d05ef46f309be5ce74dce49,12000,64,0.0028333333333333335,0.0028333333333333335,0.0,0.0,6.365278674517564e-17,6.47630097698008e-17,7.105427357601002e-15,1.3570176376565204e-19,4.48426018640171e-16,81,25,3200,2025,2209
narrow_isotropic,20260754,bc93bb2643914b3d774109c6e91848ee2f4bf32c4d05ef46f309be5ce74dce49,12000,128,0.0028333333333333335,0.0028333333333333335,0.0,0.0,6.365278674517564e-17,6.47630097698008e-17,7.105427357601002e-15,1.3570176376565204e-19,4.48426018640171e-16,81,25,3200,2025,2209
anisotropic,20260751,1dc62983ea971cbcd5a388b13c9663702c5c13e997a0d3c4042b10abdb52b7b7,12000,1,0.25875,0.25875,0.0,0.0,0.1587913186881708,0.05941583985634297,0.692596610486504,0.018038089996608244,0.058550228773025306,117,35,128,117,241
anisotropic,20260751,1dc62983ea971cbcd5a388b13c9663702c5c13e997a0d3c4042b10abdb52b7b7,12000,2,0.25875,0.25875,0.0,0.0,5.228143053981375e-06,0.006295268575579631,0.060399460701514585,6.753604454239617e-07,5.700906562711161e-06,117,35,256,234,362
anisotropic,20260751,1dc62983ea971cbcd5a388b13c9663702c5c13e997a0d3c4042b10abdb52b7b7,12000,4,0.25875,0.25875,0.0,0.0,2.4184147240369213e-11,2.2314393694471414e-06,2.305582390960126e-05,8.963881783207602e-12,1.190452310017736e-10,117,35,512,468,604
anisotropic,20260751,1dc62983ea971cbcd5a388b13c9663702c5c13e997a0d3c4042b10abdb52b7b7,12000,8,0.25875,0.25875,0.0,0.0,2.7144952952085076e-16,9.71667191151937e-16,7.105427357601002e-15,5.036589381644294e-17,5.967448757360216e-16,117,35,1024,936,1088
anisotropic,20260751,1dc62983ea971cbcd5a388b13c9663702c5c13e997a0d3c4042b10abdb52b7b7,12000,16,0.25875,0.25875,0.0,0.0,2.7144952952085076e-16,9.71667191151937e-16,7.105427357601002e-15,5.036589381644294e-17,5.967448757360216e-16,117,35,2048,1872,2056
anisotropic,20260751,1dc62983ea971cbcd5a388b13c9663702c5c13e997a0d3c4042b10abdb52b7b7,12000,32,0.25875,0.25875,0.0,0.0,2.7144952952085076e-16,9.71667191151937e-16,7.105427357601002e-15,5.036589381644294e-17,5.967448757360216e-16,117,35,4096,3744,3992
anisotropic,20260751,1dc62983ea971cbcd5a388b13c9663702c5c13e997a0d3c4042b10abdb52b7b7,12000,64,0.25875,0.25875,0.0,0.0,2.7144952952085076e-16,9.71667191151937e-16,7.105427357601002e-15,5.036589381644294e-17,5.967448757360216e-16,117,35,4480,4095,4355
anisotropic,20260751,1dc62983ea971cbcd5a388b13c9663702c5c13e997a0d3c4042b10abdb52b7b7,12000,128,0.25875,0.25875,0.0,0.0,2.7144952952085076e-16,9.71667191151937e-16,7.105427357601002e-15,5.036589381644294e-17,5.967448757360216e-16,117,35,4480,4095,4355
anisotropic,20260752,bf30c35cc1882e3bd130776fc0e18232f3f3611ea0a4caa67f69b0b877d0f6db,12000,1,0.2525833333333333,0.2525833333333333,0.0,0.0,0.1576939865224855,0.0587985289677806,0.6928431001551396,0.018027521306250877,0.05856329500238797,117,35,128,117,241
anisotropic,20260752,bf30c35cc1882e3bd130776fc0e18232f3f3611ea0a4caa67f69b0b877d0f6db,12000,2,0.2525833333333333,0.2525833333333333,0.0,0.0,5.190747030900722e-06,0.006302485838856405,0.059814085150829754,6.750689593159701e-07,5.880643397675189e-06,117,35,256,234,362
anisotropic,20260752,bf30c35cc1882e3bd130776fc0e18232f3f3611ea0a4caa67f69b0b877d0f6db,12000,4,0.2525833333333333,0.2525833333333333,0.0,0.0,2.4248684837857582e-11,2.2501394979490554e-06,2.3137997697375567e-05,8.90239206036146e-12,1.1545040540144574e-10,117,35,512,468,604
anisotropic,20260752,bf30c35cc1882e3bd130776fc0e18232f3f3611ea0a4caa67f69b0b877d0f6db,12000,8,0.2525833333333333,0.2525833333333333,0.0,0.0,2.6475118393894564e-16,9.744057412793458e-16,7.105427357601002e-15,4.8062849271034693e-17,5.828670879282072e-16,117,35,1024,936,1088
anisotropic,20260752,bf30c35cc1882e3bd130776fc0e18232f3f3611ea0a4caa67f69b0b877d0f6db,12000,16,0.2525833333333333,0.2525833333333333,0.0,0.0,2.6475118393894564e-16,9.744057412793458e-16,7.105427357601002e-15,4.8062849271034693e-17,5.828670879282072e-16,117,35,2048,1872,2056
anisotropic,20260752,bf30c35cc1882e3bd130776fc0e18232f3f3611ea0a4caa67f69b0b877d0f6db,12000,32,0.2525833333333333,0.2525833333333333,0.0,0.0,2.6475118393894564e-16,9.744057412793458e-16,7.105427357601002e-15,4.8062849271034693e-17,5.828670879282072e-16,117,35,4096,3744,3992
anisotropic,20260752,bf30c35cc1882e3bd130776fc0e18232f3f3611ea0a4caa67f69b0b877d0f6db,12000,64,0.2525833333333333,0.2525833333333333,0.0,0.0,2.6475118393894564e-16,9.744057412793458e-16,7.105427357601002e-15,4.8062849271034693e-17,5.828670879282072e-16,117,35,4480,4095,4355
anisotropic,20260752,bf30c35cc1882e3bd130776fc0e18232f3f3611ea0a4caa67f69b0b877d0f6db,12000,128,0.2525833333333333,0.2525833333333333,0.0,0.0,2.6475118393894564e-16,9.744057412793458e-16,7.105427357601002e-15,4.8062849271034693e-17,5.828670879282072e-16,117,35,4480,4095,4355
anisotropic,20260753,189271e243bccb24c3341cad6a530f3d1027c2982a3c180abc8984ecefc96be0,12000,1,0.25533333333333336,0.25533333333333336,0.0,0.0,0.1590008838461339,0.06059623339043462,0.6920680071330367,0.018034253848769093,0.05852119967582621,117,35,128,117,241
anisotropic,20260753,189271e243bccb24c3341cad6a530f3d1027c2982a3c180abc8984ecefc96be0,12000,2,0.25533333333333336,0.25533333333333336,0.0,0.0,5.256778177245384e-06,0.00636818733129261,0.06011867067390142,6.809014055616555e-07,6.00201858062116e-06,117,35,256,234,362
anisotropic,20260753,189271e243bccb24c3341cad6a530f3d1027c2982a3c180abc8984ecefc96be0,12000,4,0.25533333333333336,0.25533333333333336,0.0,0.0,2.477701144254496e-11,2.304733379577299e-06,2.3063086111108078e-05,9.216599098818333e-12,1.2137795851883743e-10,117,35,512,468,604
anisotropic,20260753,189271e243bccb24c3341cad6a530f3d1027c2982a3c180abc8984ecefc96be0,12000,8,0.25533333333333336,0.25533333333333336,0.0,0.0,2.6952514294483383e-16,9.545697565727097e-16,8.881784197001252e-15,4.916930482545936e-17,6.106226635438361e-16,117,35,1024,936,1088
anisotropic,20260753,189271e243bccb24c3341cad6a530f3d1027c2982a3c180abc8984ecefc96be0,12000,16,0.25533333333333336,0.25533333333333336,0.0,0.0,2.6952514294483383e-16,9.545697565727097e-16,8.881784197001252e-15,4.916930482545936e-17,6.106226635438361e-16,117,35,2048,1872,2056
anisotropic,20260753,189271e243bccb24c3341cad6a530f3d1027c2982a3c180abc8984ecefc96be0,12000,32,0.25533333333333336,0.25533333333333336,0.0,0.0,2.6952514294483383e-16,9.545697565727097e-16,8.881784197001252e-15,4.916930482545936e-17,6.106226635438361e-16,117,35,4096,3744,3992
anisotropic,20260753,189271e243bccb24c3341cad6a530f3d1027c2982a3c180abc8984ecefc96be0,12000,64,0.25533333333333336,0.25533333333333336,0.0,0.0,2.6952514294483383e-16,9.545697565727097e-16,8.881784197001252e-15,4.916930482545936e-17,6.106226635438361e-16,117,35,4480,4095,4355
anisotropic,20260753,189271e243bccb24c3341cad6a530f3d1027c2982a3c180abc8984ecefc96be0,12000,128,0.25533333333333336,0.25533333333333336,0.0,0.0,2.6952514294483383e-16,9.545697565727097e-16,8.881784197001252e-15,4.916930482545936e-17,6.106226635438361e-16,117,35,4480,4095,4355
anisotropic,20260754,3152eef73419b8dbb531f9d63bc9a99998d2ade7a70a55e2cc50fc388b5c8a26,12000,1,0.26066666666666666,0.26066666666666666,0.0,0.0,0.16053976002086673,0.060597714138911754,0.6930771116936238,0.01817925637859229,0.058577479321670296,117,35,128,117,241
anisotropic,20260754,3152eef73419b8dbb531f9d63bc9a99998d2ade7a70a55e2cc50fc388b5c8a26,12000,2,0.26066666666666666,0.26066666666666666,0.0,0.0,5.310061943520498e-06,0.006413543168919814,0.05972636020278621,6.863162916614449e-07,5.8949353693993345e-06,117,35,256,234,362
anisotropic,20260754,3152eef73419b8dbb531f9d63bc9a99998d2ade7a70a55e2cc50fc388b5c8a26,12000,4,0.26066666666666666,0.26066666666666666,0.0,0.0,2.40442901885037e-11,2.2729018959681083e-06,2.307485423003186e-05,8.931068211082952e-12,1.2297117719045946e-10,117,35,512,468,604
anisotropic,20260754,3152eef73419b8dbb531f9d63bc9a99998d2ade7a70a55e2cc50fc388b5c8a26,12000,8,0.26066666666666666,0.26066666666666666,0.0,0.0,2.6238270815307866e-16,9.483525076348087e-16,7.105427357601002e-15,4.8147918918538883e-17,5.043708506402567e-16,117,35,1024,936,1088
anisotropic,20260754,3152eef73419b8dbb531f9d63bc9a99998d2ade7a70a55e2cc50fc388b5c8a26,12000,16,0.26066666666666666,0.26066666666666666,0.0,0.0,2.6238270815307866e-16,9.483525076348087e-16,7.105427357601002e-15,4.8147918918538883e-17,5.043708506402567e-16,117,35,2048,1872,2056
anisotropic,20260754,3152eef73419b8dbb531f9d63bc9a99998d2ade7a70a55e2cc50fc388b5c8a26,12000,32,0.26066666666666666,0.26066666666666666,0.0,0.0,2.6238270815307866e-16,9.483525076348087e-16,7.105427357601002e-15,4.8147918918538883e-17,5.043708506402567e-16,117,35,4096,3744,3992
anisotropic,20260754,3152eef73419b8dbb531f9d63bc9a99998d2ade7a70a55e2cc50fc388b5c8a26,12000,64,0.26066666666666666,0.26066666666666666,0.0,0.0,2.6238270815307866e-16,9.483525076348087e-16,7.105427357601002e-15,4.8147918918538883e-17,5.043708506402567e-16,117,35,4480,4095,4355
anisotropic,20260754,3152eef73419b8dbb531f9d63bc9a99998d2ade7a70a55e2cc50fc388b5c8a26,12000,128,0.26066666666666666,0.26066666666666666,0.0,0.0,2.6238270815307866e-16,9.483525076348087e-16,7.105427357601002e-15,4.8147918918538883e-17,5.043708506402567e-16,117,35,4480,4095,4355
positive_correlation,20260751,5e6dee30336e53b6a04962ca2280ce50d7d217adc38cd04cdff96639f0127935,12000,1,0.12725,0.12725,0.0,0.0,0.09246866791444722,0.10409333871759165,0.6926386890158485,0.0017288827171798055,0.00739478650923911,143,42,128,143,293
positive_correlation,20260751,5e6dee30336e53b6a04962ca2280ce50d7d217adc38cd04cdff96639f0127935,12000,2,0.12725,0.12725,0.0,0.0,9.285684248294678e-09,2.1626587397738372e-07,3.112371136815284e-06,7.792417447768036e-09,4.7651275011165144e-08,143,42,256,286,440
positive_correlation,20260751,5e6dee30336e53b6a04962ca2280ce50d7d217adc38cd04cdff96639f0127935,12000,4,0.12725,0.12725,0.0,0.0,9.267953071656621e-14,2.9803196947379246e-15,1.439737218333903e-12,2.7132050571492108e-15,2.2183540287483387e-14,143,42,512,572,734
positive_correlation,20260751,5e6dee30336e53b6a04962ca2280ce50d7d217adc38cd04cdff96639f0127935,12000,8,0.12725,0.12725,0.0,0.0,2.507253663945145e-16,2.50614344092052e-16,2.6645352591003757e-15,2.6477455178242702e-17,4.787836793695988e-16,143,42,1024,1144,1322
positive_correlation,20260751,5e6dee30336e53b6a04962ca2280ce50d7d217adc38cd04cdff96639f0127935,12000,16,0.12725,0.12725,0.0,0.0,2.507253663945145e-16,2.50614344092052e-16,2.6645352591003757e-15,2.6477455178242702e-17,4.787836793695988e-16,143,42,2048,2288,2498
positive_correlation,20260751,5e6dee30336e53b6a04962ca2280ce50d7d217adc38cd04cdff96639f0127935,12000,32,0.12725,0.12725,0.0,0.0,2.507253663945145e-16,2.50614344092052e-16,2.6645352591003757e-15,2.6477455178242702e-17,4.787836793695988e-16,143,42,4096,4576,4850
positive_correlation,20260751,5e6dee30336e53b6a04962ca2280ce50d7d217adc38cd04cdff96639f0127935,12000,64,0.12725,0.12725,0.0,0.0,2.507253663945145e-16,2.50614344092052e-16,2.6645352591003757e-15,2.6477455178242702e-17,4.787836793695988e-16,143,42,5376,6006,6320
positive_correlation,20260751,5e6dee30336e53b6a04962ca2280ce50d7d217adc38cd04cdff96639f0127935,12000,128,0.12725,0.12725,0.0,0.0,2.507253663945145e-16,2.50614344092052e-16,2.6645352591003757e-15,2.6477455178242702e-17,4.787836793695988e-16,143,42,5376,6006,6320
positive_correlation,20260752,8af9982fa042977c6b2a3582cc755546258499dfeab2d2cc850b58d0092639c2,12000,1,0.12591666666666668,0.12591666666666668,0.0,0.0,0.09364221286272138,0.10614514370791464,0.6926603727812006,0.001750074787866132,0.007395710870849172,143,42,128,143,293
positive_correlation,20260752,8af9982fa042977c6b2a3582cc755546258499dfeab2d2cc850b58d0092639c2,12000,2,0.12591666666666668,0.12591666666666668,0.0,0.0,9.221233139881473e-09,2.157989197127952e-07,3.167051838559587e-06,7.719711329677483e-09,4.871423406110993e-08,143,42,256,286,440
positive_correlation,20260752,8af9982fa042977c6b2a3582cc755546258499dfeab2d2cc850b58d0092639c2,12000,4,0.12591666666666668,0.12591666666666668,0.0,0.0,9.199448610293833e-14,2.9618159776608385e-15,1.4335199693960021e-12,2.68134033168937e-15,2.211716342407453e-14,143,42,512,572,734
positive_correlation,20260752,8af9982fa042977c6b2a3582cc755546258499dfeab2d2cc850b58d0092639c2,12000,8,0.12591666666666668,0.12591666666666668,0.0,0.0,2.4528527357385126e-16,2.492820764625018e-16,2.6645352591003757e-15,2.7059914873653236e-17,5.43835809718729e-16,143,42,1024,1144,1322
positive_correlation,20260752,8af9982fa042977c6b2a3582cc755546258499dfeab2d2cc850b58d0092639c2,12000,16,0.12591666666666668,0.12591666666666668,0.0,0.0,2.4528527357385126e-16,2.492820764625018e-16,2.6645352591003757e-15,2.7059914873653236e-17,5.43835809718729e-16,143,42,2048,2288,2498
positive_correlation,20260752,8af9982fa042977c6b2a3582cc755546258499dfeab2d2cc850b58d0092639c2,12000,32,0.12591666666666668,0.12591666666666668,0.0,0.0,2.4528527357385126e-16,2.492820764625018e-16,2.6645352591003757e-15,2.7059914873653236e-17,5.43835809718729e-16,143,42,4096,4576,4850
positive_correlation,20260752,8af9982fa042977c6b2a3582cc755546258499dfeab2d2cc850b58d0092639c2,12000,64,0.12591666666666668,0.12591666666666668,0.0,0.0,2.4528527357385126e-16,2.492820764625018e-16,2.6645352591003757e-15,2.7059914873653236e-17,5.43835809718729e-16,143,42,5376,6006,6320
positive_correlation,20260752,8af9982fa042977c6b2a3582cc755546258499dfeab2d2cc850b58d0092639c2,12000,128,0.12591666666666668,0.12591666666666668,0.0,0.0,2.4528527357385126e-16,2.492820764625018e-16,2.6645352591003757e-15,2.7059914873653236e-17,5.43835809718729e-16,143,42,5376,6006,6320
