category,task_id,contract_id,status,implementation_sha256,path,sha256,gate_count,all_gates_passed,stored_implementation_sha256,live_implementation_sha256,implementation_hash_matches,required_fragments,sections,source_scope,lane_id,cutoff,noise_profile,mode,cycle,time_us,entanglement_fidelity,average_fidelity,mean_code_survival,tp_assuming_average_fidelity,tp_formula_overstatement,direct_six_state_average_fidelity,direct_six_state_mean_survival,mean_conditional_state_fidelity,minimum_conditional_state_fidelity,maximum_conditional_state_fidelity,minimum_state_survival,maximum_state_survival,six_state_ptm_residual,six_state_survival_residual,state_label,survival,leakage_inclusive_state_fidelity,conditional_state_fidelity,step_us,one_step_rate_per_us,three_point_rate_per_us,four_point_rate_per_us,primary_rate_per_us,primary_rate_per_cycle,primary_lifetime_us,primary_lifetime_cycles,algebraic_inverse_rate_us,algebraic_inverse_rate_cycles,discretization_rate_min_per_us,discretization_rate_max_per_us,discretization_spread_per_us,initial_curvature_per_us2,initial_average_fidelity,first_cycle_average_fidelity,second_cycle_average_fidelity,first_three_monotone_nonincreasing,relative_discretization_spread,reliability_status,primary_definition,uncertainty_role,exponential_fit_used,metric,lower_cutoff,higher_cutoff,value_at_lower_cutoff,value_at_higher_cutoff,numerical_interval_min,numerical_interval_max,absolute_spread,relative_half_spread,uncertainty_type,statistical_confidence_level,is_confidence_interval,infinite_cutoff_claim,qec_on_minus_off_final_entanglement_fidelity,qec_on_minus_off_final_average_fidelity,qec_on_minus_off_final_mean_survival,qec_on_minus_off_short_time_rate_per_us,ratio_or_gain_reported,operational_boundary_claim,cutoff12_qec_on_minus_off_final_average_fidelity,cutoff40_qec_on_minus_off_final_average_fidelity,direction_reversal_preserved,used_to_select_or_drop_data,gate,passed
channel_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,0.8885874742884342,0.8886071400588401,0.888646471599652,0.9257249828589561,0.037117842800115985,0.88860714005884,0.8886464715996522,0.9999557185915137,0.9999373871084661,0.9999782103408186,0.8846265031990821,0.8926664400002218,1.1102230246251565e-16,1.1102230246251565e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,x_plus,0.8846265031990821,0.8845711196938396,0.9999373933461837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,x_minus,0.8926664400002218,0.8926232005878547,0.9999515615123079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,y_plus,0.888646471599652,0.8886271082959031,0.9999782103408186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,y_minus,0.888646471599652,0.8886271082959031,0.9999782103408186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,z_plus,0.8846283359218405,0.8845729467837957,0.9999373871084661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,z_minus,0.8926646072774636,0.8926213566957445,0.9999515489004869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,0.7942897551969534,0.7943735792667243,0.7945412274062658,0.862859836797969,0.06848625753124471,0.7943735792667243,0.7945412274062659,0.9997892322981051,0.9997255315160036,0.9998357610979283,0.7895149764239554,0.7995674783885761,0.0,1.1102230246251565e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,x_plus,0.7895149764239554,0.7893853073510584,0.9998357610979283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,x_minus,0.7995674783885761,0.7993480626840801,0.999725582004738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
