profile,active_bank_version,seed,samples,quantized_error_count,quantized_ler,float_error_count,float_ler,quantized_minus_float_ler,action_disagreement_rate,fallback_count,map_accepted_count
medium_p8_a6_q7_10,4,42403,2048,156,0.076171875,157,0.07666015625,-0.00048828125,0.00048828125,0,2048
medium_p8_a6_q7_10,4,42407,2048,166,0.0810546875,168,0.08203125,-0.0009765625,0.0009765625,0,2048
medium_p8_a6_q7_10,4,42409,2048,175,0.08544921875,175,0.08544921875,0.0,0.0,0,2048
medium_p8_a6_q7_10,5,42401,2048,82,0.0400390625,82,0.0400390625,0.0,0.0,0,2048
medium_p8_a6_q7_10,5,42403,2048,62,0.0302734375,62,0.0302734375,0.0,0.0,0,2048
medium_p8_a6_q7_10,5,42407,2048,77,0.03759765625,77,0.03759765625,0.0,0.0,0,2048
medium_p8_a6_q7_10,5,42409,2048,74,0.0361328125,74,0.0361328125,0.0,0.0,0,2048
medium_p8_a6_q7_10,6,42401,2048,81,0.03955078125,81,0.03955078125,0.0,0.0,0,2048
medium_p8_a6_q7_10,6,42403,2048,82,0.0400390625,81,0.03955078125,0.00048828125,0.00048828125,0,2048
medium_p8_a6_q7_10,6,42407,2048,81,0.03955078125,80,0.0390625,0.00048828125,0.00048828125,0,2048
medium_p8_a6_q7_10,6,42409,2048,62,0.0302734375,61,0.02978515625,0.00048828125,0.00048828125,0,2048
medium_p8_a6_q7_10,7,42401,2048,144,0.0703125,144,0.0703125,0.0,0.0,0,2048
medium_p8_a6_q7_10,7,42403,2048,137,0.06689453125,137,0.06689453125,0.0,0.0,0,2048
medium_p8_a6_q7_10,7,42407,2048,132,0.064453125,132,0.064453125,0.0,0.0009765625,0,2048
medium_p8_a6_q7_10,7,42409,2048,138,0.0673828125,139,0.06787109375,-0.00048828125,0.00048828125,0,2048
selected_p10_a8_q9_12,0,42401,2048,8,0.00390625,8,0.00390625,0.0,0.0,0,2048
selected_p10_a8_q9_12,0,42403,2048,4,0.001953125,4,0.001953125,0.0,0.0,0,2048
selected_p10_a8_q9_12,0,42407,2048,6,0.0029296875,6,0.0029296875,0.0,0.0,0,2048
selected_p10_a8_q9_12,0,42409,2048,4,0.001953125,4,0.001953125,0.0,0.0,0,2048
