evaluation_seed,window_index,start_cycle,end_cycle,truth_regime,deployable_trace_sha256,truth_trace_sha256,static_prior_prediction,static_prior_p_normal,static_prior_p_burst,static_prior_p_leakage,static_prior_p_calibration_shift,memoryless_emission_prediction,memoryless_emission_p_normal,memoryless_emission_p_burst,memoryless_emission_p_leakage,memoryless_emission_p_calibration_shift,causal_hmm_prediction,causal_hmm_p_normal,causal_hmm_p_burst,causal_hmm_p_leakage,causal_hmm_p_calibration_shift
20261231,0,0,31,leakage,56babf9306923960eb6a75a4d648d1755e0529a558e7893bd96204a14562d97f,cb62ae3379c98301c36455d7400860b53b21fe0194272ad31809731a511d514b,burst,0.22959183673469388,0.288265306122449,0.19387755102040816,0.288265306122449,leakage,0.0010150909321100788,0.15904244594209674,0.8218011975776861,0.018141265548106137,leakage,0.0006123726806045875,0.11056322244015916,0.875957197772091,0.012867207107145326
20261231,1,32,63,leakage,56babf9306923960eb6a75a4d648d1755e0529a558e7893bd96204a14562d97f,cb62ae3379c98301c36455d7400860b53b21fe0194272ad31809731a511d514b,burst,0.22959183673469388,0.288265306122449,0.19387755102040816,0.288265306122449,leakage,0.006343112959902341,0.12623082154795615,0.8643649067805026,0.003061158711638922,leakage,0.00015891420380287607,0.014748527326058311,0.9849539233281244,0.00013863514201443663
20261231,2,64,95,leakage,56babf9306923960eb6a75a4d648d1755e0529a558e7893bd96204a14562d97f,cb62ae3379c98301c36455d7400860b53b21fe0194272ad31809731a511d514b,burst,0.22959183673469388,0.288265306122449,0.19387755102040816,0.288265306122449,normal,0.3336546436704462,0.265640955081871,0.2340720732777252,0.16663232796995803,leakage,0.02229710206853793,0.02677704388086884,0.9356413513207036,0.015284502729889592
20261231,3,96,127,leakage,56babf9306923960eb6a75a4d648d1755e0529a558e7893bd96204a14562d97f,cb62ae3379c98301c36455d7400860b53b21fe0194272ad31809731a511d514b,burst,0.22959183673469388,0.288265306122449,0.19387755102040816,0.288265306122449,burst,0.0038709905424653772,0.42263291020229987,0.3980007957734737,0.17549530348176148,leakage,0.000406810456858869,0.03705686245046318,0.9459765045643823,0.01655982252829577
20261231,4,128,159,leakage,56babf9306923960eb6a75a4d648d1755e0529a558e7893bd96204a14562d97f,cb62ae3379c98301c36455d7400860b53b21fe0194272ad31809731a511d514b,burst,0.22959183673469388,0.288265306122449,0.19387755102040816,0.288265306122449,calibration_shift,0.2561765261244566,0.2163124441322684,0.08287621596920262,0.44463481377407277,leakage,0.04229819380924495,0.08191292384013854,0.7202305285889172,0.15555835376169924
20261231,5,160,191,leakage,56babf9306923960eb6a75a4d648d1755e0529a558e7893bd96204a14562d97f,cb62ae3379c98301c36455d7400860b53b21fe0194272ad31809731a511d514b,burst,0.22959183673469388,0.288265306122449,0.19387755102040816,0.288265306122449,burst,0.09864266410053289,0.6190495848592689,0.10722032348901046,0.1750874275511884,leakage,0.04082125885953196,0.296998549327885,0.5112699409038615,0.15091025090872148
20261231,6,192,223,leakage,56babf9306923960eb6a75a4d648d1755e0529a558e7893bd96204a14562d97f,cb62ae3379c98301c36455d7400860b53b21fe0194272ad31809731a511d514b,burst,0.22959183673469388,0.288265306122449,0.19387755102040816,0.288265306122449,normal,0.4185718764019446,0.36342066357060054,0.08108451320103124,0.1369229468264237,burst,0.16440465331427476,0.4669985335444898,0.2624285609128936,0.10616825222834182
20261231,7,224,255,leakage,56babf9306923960eb6a75a4d648d1755e0529a558e7893bd96204a14562d97f,cb62ae3379c98301c36455d7400860b53b21fe0194272ad31809731a511d514b,burst,0.22959183673469388,0.288265306122449,0.19387755102040816,0.288265306122449,burst,0.0910019842334793,0.44554673156223507,0.168720017659022,0.29473126654526427,burst,0.06637984160324385,0.6044803547600432,0.21018886071219076,0.118950942924522
20261231,8,256,287,calibration_shift,56babf9306923960eb6a75a4d648d1755e0529a558e7893bd96204a14562d97f,cb62ae3379c98301c36455d7400860b53b21fe0194272ad31809731a511d514b,burst,0.22959183673469388,0.288265306122449,0.19387755102040816,0.288265306122449,calibration_shift,0.051023506279692744,0.03817190015117129,0.002419036313178608,0.9083855572559559,calibration_shift,0.03985145181306139,0.13614738050319558,0.005099605457496056,0.818901562226247
20261231,9,288,319,calibration_shift,56babf9306923960eb6a75a4d648d1755e0529a558e7893bd96204a14562d97f,cb62ae3379c98301c36455d7400860b53b21fe0194272ad31809731a511d514b,burst,0.22959183673469388,0.288265306122449,0.19387755102040816,0.288265306122449,calibration_shift,0.1661267628460316,0.18578232869741473,0.018107824313312527,0.629983084143241,calibration_shift,0.0286338012314956,0.05433469759236669,0.0011524842179239957,0.9158790169582137
