primary_source_anchor,,,,line:1039:correlation_postselection,length-two or longer leakage events,,,exact_line_fragment,,Sivak2023
seed_metric,higher_leakage_injection,202607162301,0.0,empirical_reset_failure_probability,,,,NOT_APPLICABLE_NO_TRUE_EPISODES,5a871189b708c47622f5318fe6858c50ad89f37b8e17c804eda0937f7cd0b59c,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.0,reset_failures_per_1000_cycles,0.0,,,whole_seed_trajectory_cluster,5a871189b708c47622f5318fe6858c50ad89f37b8e17c804eda0937f7cd0b59c,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.0,successful_resets_per_1000_cycles,0.0,,,whole_seed_trajectory_cluster,5a871189b708c47622f5318fe6858c50ad89f37b8e17c804eda0937f7cd0b59c,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.0,mean_hidden_leakage_run_steps,,,,NOT_APPLICABLE_NO_TRUE_EPISODES,5a871189b708c47622f5318fe6858c50ad89f37b8e17c804eda0937f7cd0b59c,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.0,p95_hidden_leakage_run_steps,,,,NOT_APPLICABLE_NO_TRUE_EPISODES,5a871189b708c47622f5318fe6858c50ad89f37b8e17c804eda0937f7cd0b59c,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.0,mean_short_lag_correlation,-0.00018738244860759938,,,whole_seed_trajectory_cluster,5a871189b708c47622f5318fe6858c50ad89f37b8e17c804eda0937f7cd0b59c,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.0,mean_long_lag_correlation,-0.00018846971525238076,,,whole_seed_trajectory_cluster,5a871189b708c47622f5318fe6858c50ad89f37b8e17c804eda0937f7cd0b59c,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.0,mean_long_lag_covariance,-3.550762510644588e-08,,,whole_seed_trajectory_cluster,5a871189b708c47622f5318fe6858c50ad89f37b8e17c804eda0937f7cd0b59c,T5.2.3
channel_intervention,higher_leakage_injection,202607162301,0.00025,channel_spec_sha256,a5f949dd0f1893e243a92822beec343c88be56f7c9c3529d3ca723584e4f34ce,,,exactly_one_physical_channel_changes,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,injection_episode_rate_per_1000_cycles,0.54168701171875,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,empirical_higher_injection_probability,0.0002723363776193198,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,detection_probability,1.0,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,mean_detection_delay_steps,0.04225352112676056,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,p95_detection_delay_steps,0.0,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,false_alarm_rate_per_healthy_step,0.00018366527004534235,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,false_negative_rate_per_leakage_step,0.052565707133917394,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,hidden_leakage_occupancy,0.003047943115234375,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,observed_leakage_alarm_rate,0.003070831298828125,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,declared_normal_action_availability,0.9969291687011719,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,safe_normal_action_availability,0.9967689514160156,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,unsafe_declared_available_fraction,0.00016021728515625,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,reset_requests_per_1000_cycles,6.14166259765625,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,reset_attempts_per_1000_cycles,5.77545166015625,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,empirical_reset_failure_probability,0.904887714663144,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,reset_failures_per_1000_cycles,5.22613525390625,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,successful_resets_per_1000_cycles,0.54931640625,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,mean_hidden_leakage_run_steps,11.097222222222221,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,p95_hidden_leakage_run_steps,26.0,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,mean_short_lag_correlation,0.7134336743685491,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,mean_long_lag_correlation,0.21729200232993276,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.00025,mean_long_lag_covariance,0.0006672832511342347,,,whole_seed_trajectory_cluster,9b414c6344b4c3ad15b71dc23aab4d84769ae9d80bf26381736d477bf466ad76,T5.2.3
channel_intervention,higher_leakage_injection,202607162301,0.0005,channel_spec_sha256,26caa5856dd0a98d2fcf7cc731c98d9fa0ccf05690e32b7a0bdea9b83da1822b,,,exactly_one_physical_channel_changes,446ab6b1a48333fc4a14358966af8be7169a2836bf088167e5b356fc21b720a3,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.0005,injection_episode_rate_per_1000_cycles,0.98419189453125,,,whole_seed_trajectory_cluster,446ab6b1a48333fc4a14358966af8be7169a2836bf088167e5b356fc21b720a3,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.0005,empirical_higher_injection_probability,0.0004959154252763095,,,whole_seed_trajectory_cluster,446ab6b1a48333fc4a14358966af8be7169a2836bf088167e5b356fc21b720a3,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.0005,detection_probability,1.0,,,whole_seed_trajectory_cluster,446ab6b1a48333fc4a14358966af8be7169a2836bf088167e5b356fc21b720a3,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.0005,mean_detection_delay_steps,0.046511627906976744,,,whole_seed_trajectory_cluster,446ab6b1a48333fc4a14358966af8be7169a2836bf088167e5b356fc21b720a3,T5.2.3
seed_metric,higher_leakage_injection,202607162301,0.0005,p95_detection_delay_steps,0.0,,,whole_seed_trajectory_cluster,446ab6b1a48333fc4a14358966af8be7169a2836bf088167e5b356fc21b720a3,T5.2.3
