cell_id,family,margin,cluster_count,effect_ratio,true_difference,trial_seed,multiplier_seed,estimate,raw_radius,upper_bound,covers_truth,declares_equivalent,power_primary
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,132575710,132585710,0.0004696420739933712,0.0009327097655103237,0.0014023518395036949,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,138506332,138516332,0.00022969537679531614,0.0009490642281270675,0.0011787596049223836,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,141927742,141937742,0.00083896918424371,0.0009140130752202787,0.0017529822594639886,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,145076146,145086146,0.00016788550983190393,0.0009259479869924101,0.0010938334968243141,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,146169680,146179680,9.917754233550466e-05,0.0009818139701970212,0.0010809915125325259,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,146931713,146941713,0.00020073512865253075,0.0006304433304017112,0.0008311784590542419,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,150756297,150766297,0.0008127678031274762,0.0010877091977731428,0.001900477000900619,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,152165825,152175825,0.00033348894964094715,0.000843222901097783,0.00117671185073873,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,154969108,154979108,0.000754656537954093,0.0011991403643085926,0.0019537969022626854,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,157490839,157500839,0.0005300780036052345,0.0005637687760883405,0.001093846779693575,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,161349910,161359910,9.61508597488815e-05,0.0009212869588600474,0.0010174378186089288,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,162998420,163008420,0.000859718129940375,0.0006914108965781106,0.0015511290265184856,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,168438735,168448735,0.00033628830256443327,0.0011264471404705,0.0014627354430349333,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,169799941,169809941,0.0007867063716779704,0.0007111249655539458,0.0014978313372319163,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,169817277,169827277,3.812663710822694e-05,0.0008676082221091464,0.0009057348592173733,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,170417973,170427973,9.436602617369979e-05,0.0009600248052083008,0.0010543908313820007,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,175944942,175954942,0.00030639246793745875,0.0009509528224022334,0.0012573452903396922,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,180703815,180713815,0.0005940267055907976,0.0012022909230653617,0.0017963176286561592,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,185944721,185954721,6.302653513536982e-05,0.0005662447514223375,0.0006292712865577073,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,186035816,186045816,0.0003285375030113356,0.0007857168054923474,0.001114254308503683,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,192525641,192535641,9.16782583926817e-05,0.0008690060880478436,0.0009606843464405253,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,198046035,198056035,0.00016351550602265448,0.0009376013382009421,0.0011011168442235965,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,201311884,201321884,0.0004167869343537288,0.0011676323346016986,0.0015844192689554275,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,209588650,209598650,0.00024501976036288596,0.0005135647176894065,0.0007585844780522925,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,213476764,213486764,0.00025728053082129553,0.0007089897795620898,0.0009662703103833854,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,226171258,226181258,1.290248924609642e-05,0.0009630959066218248,0.0009759983958679212,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,237828115,237838115,0.00016367361036598378,0.0008519315844451548,0.0010156051948111385,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,239053078,239063078,0.0004302501885084938,0.0009955393028732737,0.0014257894913817675,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,241330376,241340376,8.605238954625305e-05,0.0008989939734103612,0.0009850463629566143,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,243567040,243577040,0.0005982876162366559,0.0008450707606643361,0.0014433583769009918,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,243741477,243751477,0.001143484083223768,0.0007510986608514509,0.001894582744075219,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,248595689,248605689,0.00036985650959435646,0.0008235377285447405,0.001193394238139097,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,251650946,251660946,0.00026181182104309915,0.0009830071702502463,0.0012448189912933456,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,253475568,253485568,4.9634525186557627e-05,0.0005978092583150322,0.0006474437835015898,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,258825445,258835445,0.0004008680927533256,0.0008060989634045495,0.001206967056157875,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,260997646,261007646,0.00011563752614940838,0.0010936092332451332,0.0012092467593945416,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,262933554,262943554,0.0009515678647488902,0.0007416207883268036,0.0016931886530756938,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,263270765,263280765,0.0003098945681928303,0.0007754071119772391,0.0010853016801700695,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,263600647,263610647,0.0007629309387935677,0.0013224144573810235,0.002085345396174591,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,265555174,265565174,0.000155938431866018,0.001035525850972221,0.001191464282838239,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,268311007,268321007,0.0008550229748402934,0.00154683417172012,0.0024018571465604134,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,270575960,270585960,0.00025080421016888407,0.001246157480148899,0.0014969616903177832,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,274950373,274960373,0.0009144452398124332,0.0008124952437455171,0.0017269404835579504,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,278417975,278427975,0.0006370496767913587,0.001004709682683933,0.0016417593594752916,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,280178774,280188774,0.0005045686514484525,0.0009209566383683979,0.0014255252898168504,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,289047047,289057047,0.0006482723911444412,0.0008631916143705147,0.0015114640055149558,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,289227127,289237127,0.00027592199095282456,0.0010797723740042578,0.0013556943649570823,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,289918278,289928278,0.0004493860452908103,0.0008133759767583836,0.0012627620220491938,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,294925163,294935163,0.0007272452421235616,0.001077470442735873,0.0018047156848594345,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,297427984,297437984,0.00022477275010929427,0.0011133868204585668,0.001338159570567861,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,300952138,300962138,0.00085814646631441,0.0009326683718110835,0.0017908148381254934,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,301374448,301384448,0.0008766157387259015,0.0010554008339473222,0.0019320165726732237,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,303708688,303718688,0.0007616230146555264,0.0009292121448867997,0.001690835159542326,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,305566072,305576072,0.00026417305328476064,0.0007492569951052007,0.0010134300483899614,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,306237906,306247906,0.0011297949042159178,0.0006335294891701356,0.0017633243933860535,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,316302504,316312504,0.00015562055800748357,0.0008602087489355099,0.0010158293069429934,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,318256576,318266576,0.0001707777355028347,0.001104043518401319,0.0012748212539041535,True,True,True
