row_type,seed,family,method,index,numerator,denominator,value,metric,evidence
window,61830001,smooth,static_euclidean,53,132,512,0.2578125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,54,119,512,0.232421875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,55,119,512,0.232421875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,56,124,512,0.2421875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,57,130,512,0.25390625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,58,127,512,0.248046875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,59,114,512,0.22265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,60,127,512,0.248046875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,61,110,512,0.21484375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,62,114,512,0.22265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,63,118,512,0.23046875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,64,121,512,0.236328125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,65,122,512,0.23828125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,66,116,512,0.2265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,67,116,512,0.2265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,68,131,512,0.255859375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,69,128,512,0.25,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,70,109,512,0.212890625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,71,126,512,0.24609375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,72,120,512,0.234375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,73,112,512,0.21875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,74,105,512,0.205078125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,75,115,512,0.224609375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,76,121,512,0.236328125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,77,122,512,0.23828125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,78,116,512,0.2265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,79,122,512,0.23828125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,80,114,512,0.22265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,81,126,512,0.24609375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,82,127,512,0.248046875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,83,121,512,0.236328125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,84,128,512,0.25,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,85,129,512,0.251953125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,86,128,512,0.25,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,87,155,512,0.302734375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,88,121,512,0.236328125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,89,120,512,0.234375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,90,145,512,0.283203125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,91,111,512,0.216796875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,92,127,512,0.248046875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,93,123,512,0.240234375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,94,115,512,0.224609375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,95,131,512,0.255859375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,96,129,512,0.251953125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,97,125,512,0.244140625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,98,122,512,0.23828125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,99,111,512,0.216796875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,100,127,512,0.248046875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,101,124,512,0.2421875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,102,119,512,0.232421875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,103,129,512,0.251953125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,104,121,512,0.236328125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,105,114,512,0.22265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,106,118,512,0.23046875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,107,132,512,0.2578125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,108,115,512,0.224609375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,109,141,512,0.275390625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,110,122,512,0.23828125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,111,120,512,0.234375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,112,123,512,0.240234375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,113,126,512,0.24609375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,114,122,512,0.23828125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,115,140,512,0.2734375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,116,108,512,0.2109375,window_ler,PROJECT_NATIVE_MATCHED
