row_type,key,family,value,detail
grid_chunk,q448:480,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 3.552713678800501e-15, ""points"": 32768, ""q_llr_max_abs_error"": 5.329070518200751e-15, ""q_start"": 448, ""q_stop"": 480}"
grid_chunk,q480:512,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 5.329070518200751e-15, ""q_start"": 480, ""q_stop"": 512}"
grid_chunk,q512:544,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 7.105427357601002e-15, ""q_start"": 512, ""q_stop"": 544}"
grid_chunk,q544:576,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 5.329070518200751e-15, ""q_start"": 544, ""q_stop"": 576}"
grid_chunk,q576:608,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 3.552713678800501e-15, ""points"": 32768, ""q_llr_max_abs_error"": 5.329070518200751e-15, ""q_start"": 576, ""q_stop"": 608}"
grid_chunk,q608:640,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 3.552713678800501e-15, ""points"": 32768, ""q_llr_max_abs_error"": 3.552713678800501e-15, ""q_start"": 608, ""q_stop"": 640}"
grid_chunk,q640:672,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 3.552713678800501e-15, ""q_start"": 640, ""q_stop"": 672}"
grid_chunk,q672:704,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 3.552713678800501e-15, ""q_start"": 672, ""q_stop"": 704}"
grid_chunk,q704:736,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 3.552713678800501e-15, ""q_start"": 704, ""q_stop"": 736}"
grid_chunk,q736:768,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 3.552713678800501e-15, ""q_start"": 736, ""q_stop"": 768}"
grid_chunk,q768:800,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 3.552713678800501e-15, ""q_start"": 768, ""q_stop"": 800}"
