record_type,squeezing_db,seed,method,trials,failures,probability,ci_low,ci_high,details
seed_cluster,12.0,61720002,PAIRED_CI_ML,18432,159/57,,,,"{""both_fail"": 39, ""ci_only"": 120, ""ml_only"": 18}"
seed_cluster,12.0,61720003,PAIRED_CI_ML,18432,180/64,,,,"{""both_fail"": 43, ""ci_only"": 137, ""ml_only"": 21}"
seed_cluster,12.0,61720004,PAIRED_CI_ML,18432,167/67,,,,"{""both_fail"": 50, ""ci_only"": 117, ""ml_only"": 17}"
seed_cluster,12.0,61720005,PAIRED_CI_ML,18432,163/64,,,,"{""both_fail"": 45, ""ci_only"": 118, ""ml_only"": 19}"
seed_cluster,12.0,61720006,PAIRED_CI_ML,18432,151/56,,,,"{""both_fail"": 41, ""ci_only"": 110, ""ml_only"": 15}"
seed_cluster,12.0,61720007,PAIRED_CI_ML,18432,149/76,,,,"{""both_fail"": 53, ""ci_only"": 96, ""ml_only"": 23}"
seed_cluster,12.0,61720008,PAIRED_CI_ML,18432,164/78,,,,"{""both_fail"": 57, ""ci_only"": 107, ""ml_only"": 21}"
seed_cluster,12.0,61720009,PAIRED_CI_ML,18432,148/68,,,,"{""both_fail"": 52, ""ci_only"": 96, ""ml_only"": 16}"
seed_cluster,12.0,61720010,PAIRED_CI_ML,18432,164/71,,,,"{""both_fail"": 54, ""ci_only"": 110, ""ml_only"": 17}"
seed_cluster,12.0,61720011,PAIRED_CI_ML,18432,147/79,,,,"{""both_fail"": 56, ""ci_only"": 91, ""ml_only"": 23}"
seed_cluster,12.0,61720012,PAIRED_CI_ML,18432,163/73,,,,"{""both_fail"": 47, ""ci_only"": 116, ""ml_only"": 26}"
seed_cluster,12.0,61720013,PAIRED_CI_ML,18432,158/63,,,,"{""both_fail"": 46, ""ci_only"": 112, ""ml_only"": 17}"
seed_cluster,12.0,61720014,PAIRED_CI_ML,18432,170/60,,,,"{""both_fail"": 40, ""ci_only"": 130, ""ml_only"": 20}"
seed_cluster,12.0,61720015,PAIRED_CI_ML,18432,151/60,,,,"{""both_fail"": 42, ""ci_only"": 109, ""ml_only"": 18}"
seed_cluster,12.0,61720016,PAIRED_CI_ML,18432,153/65,,,,"{""both_fail"": 48, ""ci_only"": 105, ""ml_only"": 17}"
seed_cluster,12.0,61720017,PAIRED_CI_ML,18432,172/72,,,,"{""both_fail"": 54, ""ci_only"": 118, ""ml_only"": 18}"
seed_cluster,12.0,61720018,PAIRED_CI_ML,18432,167/76,,,,"{""both_fail"": 59, ""ci_only"": 108, ""ml_only"": 17}"
seed_cluster,12.0,61720019,PAIRED_CI_ML,18432,180/58,,,,"{""both_fail"": 44, ""ci_only"": 136, ""ml_only"": 14}"
seed_cluster,12.0,61720020,PAIRED_CI_ML,18432,180/80,,,,"{""both_fail"": 62, ""ci_only"": 118, ""ml_only"": 18}"
seed_cluster,12.0,61720021,PAIRED_CI_ML,18432,170/74,,,,"{""both_fail"": 58, ""ci_only"": 112, ""ml_only"": 16}"
seed_cluster,12.0,61720022,PAIRED_CI_ML,18432,166/68,,,,"{""both_fail"": 53, ""ci_only"": 113, ""ml_only"": 15}"
seed_cluster,12.0,61720023,PAIRED_CI_ML,18432,145/61,,,,"{""both_fail"": 45, ""ci_only"": 100, ""ml_only"": 16}"
seed_cluster,12.0,61720024,PAIRED_CI_ML,18432,176/70,,,,"{""both_fail"": 53, ""ci_only"": 123, ""ml_only"": 17}"
seed_cluster,12.0,61720025,PAIRED_CI_ML,18432,132/54,,,,"{""both_fail"": 28, ""ci_only"": 104, ""ml_only"": 26}"
seed_cluster,12.0,61720026,PAIRED_CI_ML,18432,169/68,,,,"{""both_fail"": 53, ""ci_only"": 116, ""ml_only"": 15}"
seed_cluster,12.0,61720027,PAIRED_CI_ML,18432,144/76,,,,"{""both_fail"": 53, ""ci_only"": 91, ""ml_only"": 23}"
seed_cluster,12.0,61720028,PAIRED_CI_ML,18432,182/73,,,,"{""both_fail"": 53, ""ci_only"": 129, ""ml_only"": 20}"
seed_cluster,12.0,61720029,PAIRED_CI_ML,18432,158/63,,,,"{""both_fail"": 43, ""ci_only"": 115, ""ml_only"": 20}"
seed_cluster,12.0,61720030,PAIRED_CI_ML,18432,151/54,,,,"{""both_fail"": 35, ""ci_only"": 116, ""ml_only"": 19}"
seed_cluster,12.0,61720031,PAIRED_CI_ML,18432,148/69,,,,"{""both_fail"": 48, ""ci_only"": 100, ""ml_only"": 21}"
seed_cluster,12.0,61720032,PAIRED_CI_ML,18432,157/68,,,,"{""both_fail"": 49, ""ci_only"": 108, ""ml_only"": 19}"
point_summary,12.0,all,CI,589824,5146,0.008724636501736112,0.008490482544732503,0.008965189661848998,TARGET_FAILURES_BOTH_METHODS
point_summary,12.0,all,ML,589824,2158,0.003658718532986111,0.003507834473123042,0.003816067783061463,TARGET_FAILURES_BOTH_METHODS
seed_cluster,13.0,61720001,PAIRED_CI_ML,75776,218/66,,,,"{""both_fail"": 48, ""ci_only"": 170, ""ml_only"": 18}"
seed_cluster,13.0,61720002,PAIRED_CI_ML,75776,197/56,,,,"{""both_fail"": 39, ""ci_only"": 158, ""ml_only"": 17}"
seed_cluster,13.0,61720003,PAIRED_CI_ML,75776,202/60,,,,"{""both_fail"": 38, ""ci_only"": 164, ""ml_only"": 22}"
seed_cluster,13.0,61720004,PAIRED_CI_ML,75776,197/61,,,,"{""both_fail"": 39, ""ci_only"": 158, ""ml_only"": 22}"
seed_cluster,13.0,61720005,PAIRED_CI_ML,75776,185/62,,,,"{""both_fail"": 43, ""ci_only"": 142, ""ml_only"": 19}"
seed_cluster,13.0,61720006,PAIRED_CI_ML,75776,203/62,,,,"{""both_fail"": 44, ""ci_only"": 159, ""ml_only"": 18}"
seed_cluster,13.0,61720007,PAIRED_CI_ML,75776,197/67,,,,"{""both_fail"": 47, ""ci_only"": 150, ""ml_only"": 20}"
seed_cluster,13.0,61720008,PAIRED_CI_ML,75776,197/57,,,,"{""both_fail"": 43, ""ci_only"": 154, ""ml_only"": 14}"
seed_cluster,13.0,61720009,PAIRED_CI_ML,75776,196/64,,,,"{""both_fail"": 48, ""ci_only"": 148, ""ml_only"": 16}"
seed_cluster,13.0,61720010,PAIRED_CI_ML,75776,204/58,,,,"{""both_fail"": 43, ""ci_only"": 161, ""ml_only"": 15}"
seed_cluster,13.0,61720011,PAIRED_CI_ML,75776,167/52,,,,"{""both_fail"": 41, ""ci_only"": 126, ""ml_only"": 11}"
seed_cluster,13.0,61720012,PAIRED_CI_ML,75776,179/62,,,,"{""both_fail"": 43, ""ci_only"": 136, ""ml_only"": 19}"
seed_cluster,13.0,61720013,PAIRED_CI_ML,75776,180/55,,,,"{""both_fail"": 40, ""ci_only"": 140, ""ml_only"": 15}"
seed_cluster,13.0,61720014,PAIRED_CI_ML,75776,203/61,,,,"{""both_fail"": 45, ""ci_only"": 158, ""ml_only"": 16}"
seed_cluster,13.0,61720015,PAIRED_CI_ML,75776,186/63,,,,"{""both_fail"": 39, ""ci_only"": 147, ""ml_only"": 24}"
seed_cluster,13.0,61720016,PAIRED_CI_ML,75776,196/70,,,,"{""both_fail"": 46, ""ci_only"": 150, ""ml_only"": 24}"
seed_cluster,13.0,61720017,PAIRED_CI_ML,75776,197/76,,,,"{""both_fail"": 52, ""ci_only"": 145, ""ml_only"": 24}"
seed_cluster,13.0,61720018,PAIRED_CI_ML,75776,209/68,,,,"{""both_fail"": 53, ""ci_only"": 156, ""ml_only"": 15}"
seed_cluster,13.0,61720019,PAIRED_CI_ML,75776,197/39,,,,"{""both_fail"": 30, ""ci_only"": 167, ""ml_only"": 9}"
seed_cluster,13.0,61720020,PAIRED_CI_ML,75776,218/60,,,,"{""both_fail"": 39, ""ci_only"": 179, ""ml_only"": 21}"
seed_cluster,13.0,61720021,PAIRED_CI_ML,75776,228/77,,,,"{""both_fail"": 64, ""ci_only"": 164, ""ml_only"": 13}"
seed_cluster,13.0,61720022,PAIRED_CI_ML,75776,173/67,,,,"{""both_fail"": 47, ""ci_only"": 126, ""ml_only"": 20}"
seed_cluster,13.0,61720023,PAIRED_CI_ML,75776,209/72,,,,"{""both_fail"": 54, ""ci_only"": 155, ""ml_only"": 18}"
seed_cluster,13.0,61720024,PAIRED_CI_ML,75776,208/58,,,,"{""both_fail"": 43, ""ci_only"": 165, ""ml_only"": 15}"
seed_cluster,13.0,61720025,PAIRED_CI_ML,75776,170/62,,,,"{""both_fail"": 45, ""ci_only"": 125, ""ml_only"": 17}"
seed_cluster,13.0,61720026,PAIRED_CI_ML,75776,201/70,,,,"{""both_fail"": 49, ""ci_only"": 152, ""ml_only"": 21}"
seed_cluster,13.0,61720027,PAIRED_CI_ML,75776,182/52,,,,"{""both_fail"": 38, ""ci_only"": 144, ""ml_only"": 14}"
seed_cluster,13.0,61720028,PAIRED_CI_ML,75776,229/88,,,,"{""both_fail"": 62, ""ci_only"": 167, ""ml_only"": 26}"
seed_cluster,13.0,61720029,PAIRED_CI_ML,75776,189/71,,,,"{""both_fail"": 55, ""ci_only"": 134, ""ml_only"": 16}"
seed_cluster,13.0,61720030,PAIRED_CI_ML,75776,213/60,,,,"{""both_fail"": 51, ""ci_only"": 162, ""ml_only"": 9}"
seed_cluster,13.0,61720031,PAIRED_CI_ML,75776,212/65,,,,"{""both_fail"": 38, ""ci_only"": 174, ""ml_only"": 27}"
seed_cluster,13.0,61720032,PAIRED_CI_ML,75776,220/76,,,,"{""both_fail"": 53, ""ci_only"": 167, ""ml_only"": 23}"
point_summary,13.0,all,CI,2424832,6362,0.002623686919341216,0.002560083899697848,0.002688865839993982,TARGET_FAILURES_BOTH_METHODS
point_summary,13.0,all,ML,2424832,2037,0.0008400581978462838,0.0008043751575664749,0.0008773227904345736,TARGET_FAILURES_BOTH_METHODS
anchor,9.0,,CI,0,0,0.1001434326171875,,,"{""absolute_discrepancy"": 0.0008565673828125064, ""absolute_pass"": true, ""absolute_tolerance"": 0.01, ""estimate"": 0.1001434326171875, ""joint_pass"": true, ""literature_anchor"": 0.101, ""method"": ""CI"", ""relative_discrepancy"": 0.008480865176361449, ""relative_pass"": true, ""relative_tolerance"": 0.25, ""squeezing_db"": 9.0}"
anchor,9.0,,ML,0,0,0.068939208984375,,,"{""absolute_discrepancy"": 3.920898437499709e-05, ""absolute_pass"": true, ""absolute_tolerance"": 0.01, ""estimate"": 0.068939208984375, ""joint_pass"": true, ""literature_anchor"": 0.0689, ""method"": ""ML"", ""relative_discrepancy"": 0.0005690708907837023, ""relative_pass"": true, ""relative_tolerance"": 0.25, ""squeezing_db"": 9.0}"
anchor,12.0,,CI,0,0,0.008724636501736112,,,"{""absolute_discrepancy"": 3.4636501736112074e-05, ""absolute_pass"": true, ""absolute_tolerance"": 0.002, ""estimate"": 0.008724636501736112, ""joint_pass"": true, ""literature_anchor"": 0.00869, ""method"": ""CI"", ""relative_discrepancy"": 0.003985788462153288, ""relative_pass"": true, ""relative_tolerance"": 0.25, ""squeezing_db"": 12.0}"
anchor,12.0,,ML,0,0,0.003658718532986111,,,"{""absolute_discrepancy"": 4.871853298611109e-05, ""absolute_pass"": true, ""absolute_tolerance"": 0.002, ""estimate"": 0.003658718532986111, ""joint_pass"": true, ""literature_anchor"": 0.00361, ""method"": ""ML"", ""relative_discrepancy"": 0.01349543850030778, ""relative_pass"": true, ""relative_tolerance"": 0.25, ""squeezing_db"": 12.0}"
anchor,13.0,,CI,0,0,0.002623686919341216,,,"{""absolute_discrepancy"": 2.3686919341216195e-05, ""absolute_pass"": true, ""absolute_tolerance"": 0.0005, ""estimate"": 0.002623686919341216, ""joint_pass"": true, ""literature_anchor"": 0.0026, ""method"": ""CI"", ""relative_discrepancy"": 0.00911035359277546, ""relative_pass"": true, ""relative_tolerance"": 0.25, ""squeezing_db"": 13.0}"
anchor,13.0,,ML,0,0,0.0008400581978462838,,,"{""absolute_discrepancy"": 1.294180215371621e-05, ""absolute_pass"": true, ""absolute_tolerance"": 0.0005, ""estimate"": 0.0008400581978462838, ""joint_pass"": true, ""literature_anchor"": 0.000853, ""method"": ""ML"", ""relative_discrepancy"": 0.015172101000839636, ""relative_pass"": true, ""relative_tolerance"": 0.25, ""squeezing_db"": 13.0}"
boundary,,61729001,Q,50000,0,0.0,,,"{""boundary_pairs"": 25000, ""candidate_attempt_pairs"": 25000, ""maximum_likelihood_cost_gap"": 0.0, ""one_sided_crossing_pairs"": 25000, ""points"": 50000, ""production_brute_mismatches"": 0, ""quadrature"": ""q""}"
boundary,,61729001,P,50000,0,0.0,,,"{""boundary_pairs"": 25000, ""candidate_attempt_pairs"": 25000, ""maximum_likelihood_cost_gap"": 0.0, ""one_sided_crossing_pairs"": 25000, ""points"": 50000, ""production_brute_mismatches"": 0, ""quadrature"": ""p""}"
