scenario_id,evaluation_seed,cycles,parameter_sha256,direct_observed_cost,forced_static_map_cost,protocol_aware_cost,ideal_branch_reference_cost,direct_minus_protocol_aware,protocol_aware_fallback_rate,nonleak_cycles,direct_nonleak_branch_error_rate,protocol_aware_nonleak_branch_error_rate
asymmetric_readout,20260747,20000,55caafd6726256a3d85b3165bbf86a6c9a610640ebd0b7ce3a4f8da81dc074ce,0.48848799999995635,0.5423,0.4793379999999568,0.0,0.009149999999999547,0.3109,13782,0.5645044260629807,0.5512262371208823
asymmetric_readout,20260748,20000,55caafd6726256a3d85b3165bbf86a6c9a610640ebd0b7ce3a4f8da81dc074ce,0.48810599999995646,0.54355,0.47945599999995847,0.0,0.008649999999997993,0.3133,13734,0.5648026794815786,0.5522062035823504
persistent_leakage_stress,20260741,20000,53618f71d461692bfa8408700febfcd38b4a534deca30622ab7e603119e8e67b,0.3812175000000725,0.4535,0.3618675000000658,0.0,0.019350000000006695,0.54505,9099,0.41861743048686667,0.3760852840971535
persistent_leakage_stress,20260742,20000,53618f71d461692bfa8408700febfcd38b4a534deca30622ab7e603119e8e67b,0.38313250000007376,0.4532,0.3601825000000651,0.0,0.022950000000008686,0.54095,9181,0.4221762335257597,0.37218167955560394
persistent_leakage_stress,20260743,20000,53618f71d461692bfa8408700febfcd38b4a534deca30622ab7e603119e8e67b,0.38058250000007227,0.4481,0.3604825000000655,0.0,0.02010000000000678,0.54495,9101,0.4172069003406219,0.3730359301175695
persistent_leakage_stress,20260744,20000,53618f71d461692bfa8408700febfcd38b4a534deca30622ab7e603119e8e67b,0.38227500000007325,0.4568,0.3648250000000671,0.0,0.017450000000006127,0.5445,9110,0.4208562019758507,0.38254665203073546
persistent_leakage_stress,20260745,20000,53618f71d461692bfa8408700febfcd38b4a534deca30622ab7e603119e8e67b,0.38158750000007347,0.45205,0.36018750000006494,0.0,0.021400000000008523,0.53925,9215,0.41855670103092785,0.3721106890938687
persistent_leakage_stress,20260746,20000,53618f71d461692bfa8408700febfcd38b4a534deca30622ab7e603119e8e67b,0.38398250000007345,0.4579,0.3649325000000677,0.0,0.01905000000000573,0.54495,9101,0.42467860674651137,0.38281507526645425
persistent_leakage_stress,20260747,20000,53618f71d461692bfa8408700febfcd38b4a534deca30622ab7e603119e8e67b,0.3843975000000723,0.4544,0.3630975000000644,0.0,0.021300000000007868,0.53885,9223,0.42459069717011816,0.37840182153312374
persistent_leakage_stress,20260748,20000,53618f71d461692bfa8408700febfcd38b4a534deca30622ab7e603119e8e67b,0.38205000000007333,0.44715,0.36080000000006524,0.0,0.021250000000008096,0.539,9220,0.4195227765726681,0.37342733188720173
