row_type,item_id,family,value_1,value_2,detail
model_grid,reg=0.03;smooth=0.25,,2.5752770609603783,,"{""calibration_holdout_nll"": 2.5752770609603783, ""covariance_regularization"": 0.03, ""fit_seeds"": [202607176001, 202607176002, 202607176003, 202607176004, 202607176005, 202607176006, 202607176007, 202607176008], ""holdout_seeds"": [202607176009, 202607176010, 202607176011, 202607176012], ""transition_smoothing"": 0.25}"
model_grid,reg=0.03;smooth=1.0,,2.5258620154244946,,"{""calibration_holdout_nll"": 2.5258620154244946, ""covariance_regularization"": 0.03, ""fit_seeds"": [202607176001, 202607176002, 202607176003, 202607176004, 202607176005, 202607176006, 202607176007, 202607176008], ""holdout_seeds"": [202607176009, 202607176010, 202607176011, 202607176012], ""transition_smoothing"": 1.0}"
model_grid,reg=0.03;smooth=4.0,,2.4748316014477325,,"{""calibration_holdout_nll"": 2.4748316014477325, ""covariance_regularization"": 0.03, ""fit_seeds"": [202607176001, 202607176002, 202607176003, 202607176004, 202607176005, 202607176006, 202607176007, 202607176008], ""holdout_seeds"": [202607176009, 202607176010, 202607176011, 202607176012], ""transition_smoothing"": 4.0}"
model_grid,reg=0.1;smooth=0.25,,2.5113469799013255,,"{""calibration_holdout_nll"": 2.5113469799013255, ""covariance_regularization"": 0.1, ""fit_seeds"": [202607176001, 202607176002, 202607176003, 202607176004, 202607176005, 202607176006, 202607176007, 202607176008], ""holdout_seeds"": [202607176009, 202607176010, 202607176011, 202607176012], ""transition_smoothing"": 0.25}"
model_grid,reg=0.1;smooth=1.0,,2.4652145625512536,,"{""calibration_holdout_nll"": 2.4652145625512536, ""covariance_regularization"": 0.1, ""fit_seeds"": [202607176001, 202607176002, 202607176003, 202607176004, 202607176005, 202607176006, 202607176007, 202607176008], ""holdout_seeds"": [202607176009, 202607176010, 202607176011, 202607176012], ""transition_smoothing"": 1.0}"
model_grid,reg=0.1;smooth=4.0,,2.4177930993060324,,"{""calibration_holdout_nll"": 2.4177930993060324, ""covariance_regularization"": 0.1, ""fit_seeds"": [202607176001, 202607176002, 202607176003, 202607176004, 202607176005, 202607176006, 202607176007, 202607176008], ""holdout_seeds"": [202607176009, 202607176010, 202607176011, 202607176012], ""transition_smoothing"": 4.0}"
model_grid,reg=0.3;smooth=0.25,,2.6629999934425785,,"{""calibration_holdout_nll"": 2.6629999934425785, ""covariance_regularization"": 0.3, ""fit_seeds"": [202607176001, 202607176002, 202607176003, 202607176004, 202607176005, 202607176006, 202607176007, 202607176008], ""holdout_seeds"": [202607176009, 202607176010, 202607176011, 202607176012], ""transition_smoothing"": 0.25}"
model_grid,reg=0.3;smooth=1.0,,2.5909723235116213,,"{""calibration_holdout_nll"": 2.5909723235116213, ""covariance_regularization"": 0.3, ""fit_seeds"": [202607176001, 202607176002, 202607176003, 202607176004, 202607176005, 202607176006, 202607176007, 202607176008], ""holdout_seeds"": [202607176009, 202607176010, 202607176011, 202607176012], ""transition_smoothing"": 1.0}"
model_grid,reg=0.3;smooth=4.0,,2.517944597281282,,"{""calibration_holdout_nll"": 2.517944597281282, ""covariance_regularization"": 0.3, ""fit_seeds"": [202607176001, 202607176002, 202607176003, 202607176004, 202607176005, 202607176006, 202607176007, 202607176008], ""holdout_seeds"": [202607176009, 202607176010, 202607176011, 202607176012], ""transition_smoothing"": 4.0}"
temperature_grid,0.6,,4.001672064949675,0.49920857644059585,pilot_validation_only
temperature_grid,0.8,,3.0045359655930715,0.4967215766597024,pilot_validation_only
temperature_grid,1.0,,2.4072136321726725,0.4939539826010207,pilot_validation_only
temperature_grid,1.25,,1.9307758840477618,0.48982497704600353,pilot_validation_only
temperature_grid,1.6,,1.5169560782538847,0.4822189241301381,pilot_validation_only
temperature_grid,2.0,,1.2266501025365872,0.47052552059525204,pilot_validation_only
event_model_grid,1.0,,0.48785971223021585,0.0031724078932359985,"{""calibration_holdout_logloss"": 0.09253566372254599, ""calibration_holdout_safe_false_positive_at_code_128"": 0.0031724078932359985, ""calibration_holdout_tail_recall_at_code_128"": 0.48785971223021585, ""converged"": true, ""tail_class_weight"": 1.0}"
event_model_grid,2.0,,0.5440647482014388,0.006309170753963728,"{""calibration_holdout_logloss"": 0.09913078755272424, ""calibration_holdout_safe_false_positive_at_code_128"": 0.006309170753963728, ""calibration_holdout_tail_recall_at_code_128"": 0.5440647482014388, ""converged"": true, ""tail_class_weight"": 2.0}"
event_model_grid,4.0,,0.5971223021582733,0.01402275578875328,"{""calibration_holdout_logloss"": 0.12361357769516275, ""calibration_holdout_safe_false_positive_at_code_128"": 0.01402275578875328, ""calibration_holdout_tail_recall_at_code_128"": 0.5971223021582733, ""converged"": true, ""tail_class_weight"": 4.0}"
event_model_grid,8.0,,0.6728117505995204,0.03389842591536443,"{""calibration_holdout_logloss"": 0.17585937205929003, ""calibration_holdout_safe_false_positive_at_code_128"": 0.03389842591536443, ""calibration_holdout_tail_recall_at_code_128"": 0.6728117505995204, ""converged"": true, ""tail_class_weight"": 8.0}"
event_model_grid,16.0,,0.753447242206235,0.08151306033991103,"{""calibration_holdout_logloss"": 0.26885981364464834, ""calibration_holdout_safe_false_positive_at_code_128"": 0.08151306033991103, ""calibration_holdout_tail_recall_at_code_128"": 0.753447242206235, ""converged"": true, ""tail_class_weight"": 16.0}"
event_model_grid,32.0,,0.8408273381294964,0.1922835633626098,"{""calibration_holdout_logloss"": 0.416363355927687, ""calibration_holdout_safe_false_positive_at_code_128"": 0.1922835633626098, ""calibration_holdout_tail_recall_at_code_128"": 0.8408273381294964, ""converged"": true, ""tail_class_weight"": 32.0}"
pilot_baseline_summary,standard_binning,,0.009897867838541668,0.08203125,"{""dynamic_p95_window_ler"": 0.08203125, ""dynamic_worst_window_error_count"": 79, ""dynamic_worst_window_ler"": 0.154296875, ""eligible"": true, ""equal_family_dynamic_average_ler"": 0.009897867838541668, ""evaluated_decisions"": 18137088, ""family_ler"": {""burst_outlier"": 0.034206390380859375, ""compound_ood"": 0.04833412170410156, ""correlation_drift"": 2.4159749348958332e-05, ""leakage_persistence"": 2.6067097981770832e-05, ""mean_drift"": 0.000522613525390625, ""nominal_static"": 4.8319498697916664e-05, ""periodic_drift"": 0.0011990865071614583, ""readout_reset_fault"": 3.4332275390625e-05, ""step_calibration_shift"": 0.008641560872395834, ""telegraph_drift"": 0.005608876546223958, ""variance_drift"": 0.0003814697265625}, ""method_id"": ""standard_binning"", ""update_macs"": 0, ""wallclock_us_per_evaluated_decision"": 0.004253020109953703}"
