brier,decision_sha256,failures,gate,logical_error_rate,max_transient_workspace_bytes,max_update_macs,method_id,nll,passed,private_model_state_bytes,ranking_status,row_type,samples,table,window_id
0.010755983120074057,,8,,0.0078125,,,window_map,0.018296667859012856,,,,window_metric,1024,,14
0.01205252989110092,,9,,0.0087890625,,,window_map,0.020728427258409215,,,,window_metric,1024,,15
0.001672614882046941,,1,,0.0009765625,,,ewma_adaptive_map,0.0026725718992607547,,,,window_metric,1024,,0
0.0004501431215775656,,0,,0.0,,,ewma_adaptive_map,0.0009895062077288491,,,,window_metric,1024,,1
0.00020834260646150691,,0,,0.0,,,ewma_adaptive_map,0.000684584370155167,,,,window_metric,1024,,2
0.0001698222411623648,,0,,0.0,,,ewma_adaptive_map,0.0006261356306342914,,,,window_metric,1024,,3
0.00028757839273790733,,0,,0.0,,,ewma_adaptive_map,0.0008599208571451469,,,,window_metric,1024,,4
0.0008781370351536113,,0,,0.0,,,ewma_adaptive_map,0.0016099947223058898,,,,window_metric,1024,,5
0.001594666780099494,,1,,0.0009765625,,,ewma_adaptive_map,0.0026429981878458345,,,,window_metric,1024,,6
0.002937612699539778,,2,,0.001953125,,,ewma_adaptive_map,0.004420598121212577,,,,window_metric,1024,,7
0.1088532124098738,,68,,0.06640625,,,ewma_adaptive_map,0.29766682808726375,,,,window_metric,1024,,8
0.009644297126904521,,6,,0.005859375,,,ewma_adaptive_map,0.016437163780565388,,,,window_metric,1024,,9
0.00933362604881275,,7,,0.0068359375,,,ewma_adaptive_map,0.018237542304150357,,,,window_metric,1024,,10
0.007135676520854657,,4,,0.00390625,,,ewma_adaptive_map,0.014029955656748281,,,,window_metric,1024,,11
0.011893482410912773,,8,,0.0078125,,,ewma_adaptive_map,0.020724021847623706,,,,window_metric,1024,,12
0.011506891192271973,,9,,0.0087890625,,,ewma_adaptive_map,0.018432052077411262,,,,window_metric,1024,,13
0.01090735230255179,,8,,0.0078125,,,ewma_adaptive_map,0.018532572555048105,,,,window_metric,1024,,14
0.012070755253038825,,9,,0.0087890625,,,ewma_adaptive_map,0.020819558440965155,,,,window_metric,1024,,15
0.0016726148820469403,,1,,0.0009765625,,,kalman_adaptive_map,0.002672571899260754,,,,window_metric,1024,,0
0.00044409016159527754,,0,,0.0,,,kalman_adaptive_map,0.0009824120646409118,,,,window_metric,1024,,1
0.00020845378784201384,,0,,0.0,,,kalman_adaptive_map,0.0006812155434571187,,,,window_metric,1024,,2
0.00015678311241973654,,0,,0.0,,,kalman_adaptive_map,0.0006042666965427013,,,,window_metric,1024,,3
0.00028213403758617876,,0,,0.0,,,kalman_adaptive_map,0.0008579727443241736,,,,window_metric,1024,,4
0.0008796215995594985,,0,,0.0,,,kalman_adaptive_map,0.0015920839027586905,,,,window_metric,1024,,5
0.0016042024194466,,1,,0.0009765625,,,kalman_adaptive_map,0.0026787774898335438,,,,window_metric,1024,,6
0.00301390577531896,,2,,0.001953125,,,kalman_adaptive_map,0.0045960900682862765,,,,window_metric,1024,,7
0.10937390999596497,,68,,0.06640625,,,kalman_adaptive_map,0.2944748036862917,,,,window_metric,1024,,8
0.01247010468810866,,8,,0.0078125,,,kalman_adaptive_map,0.02068659339583902,,,,window_metric,1024,,9
0.009328296569807163,,7,,0.0068359375,,,kalman_adaptive_map,0.018328810181637904,,,,window_metric,1024,,10
0.008245488048066043,,4,,0.00390625,,,kalman_adaptive_map,0.016541207863289213,,,,window_metric,1024,,11
0.013016915786239418,,10,,0.009765625,,,kalman_adaptive_map,0.02171544885498656,,,,window_metric,1024,,12
0.010849036546694949,,7,,0.0068359375,,,kalman_adaptive_map,0.018286536853248447,,,,window_metric,1024,,13
0.010981312428102172,,8,,0.0078125,,,kalman_adaptive_map,0.018925067600418642,,,,window_metric,1024,,14
0.012142567317703128,,8,,0.0078125,,,kalman_adaptive_map,0.02129049841754184,,,,window_metric,1024,,15
0.0020908928069425627,,1,,0.0009765625,,,proposed_route_a,0.0032356141060143383,,,,window_metric,1024,,0
0.00044409016159527754,,0,,0.0,,,proposed_route_a,0.0009824120646409118,,,,window_metric,1024,,1
0.00020845378784201384,,0,,0.0,,,proposed_route_a,0.0006812155434571187,,,,window_metric,1024,,2
0.00015678311241973654,,0,,0.0,,,proposed_route_a,0.0006042666965427013,,,,window_metric,1024,,3
0.00028213403758617876,,0,,0.0,,,proposed_route_a,0.0008579727443241736,,,,window_metric,1024,,4
0.0008796215995594985,,0,,0.0,,,proposed_route_a,0.0015920839027586905,,,,window_metric,1024,,5
0.0016042024194466,,1,,0.0009765625,,,proposed_route_a,0.0026787774898335438,,,,window_metric,1024,,6
0.00301390577531896,,2,,0.001953125,,,proposed_route_a,0.0045960900682862765,,,,window_metric,1024,,7
0.07751980486596155,,53,,0.0517578125,,,proposed_route_a,0.1483418078743438,,,,window_metric,1024,,8
0.06724382671857702,,50,,0.048828125,,,proposed_route_a,0.13375475382548224,,,,window_metric,1024,,9
0.06205358498515252,,42,,0.041015625,,,proposed_route_a,0.12308526831172296,,,,window_metric,1024,,10
0.057243461281652794,,38,,0.037109375,,,proposed_route_a,0.10384135045073765,,,,window_metric,1024,,11
0.07747530792609406,,51,,0.0498046875,,,proposed_route_a,0.15836423120789372,,,,window_metric,1024,,12
0.07141361008105038,,49,,0.0478515625,,,proposed_route_a,0.13692616356157117,,,,window_metric,1024,,13
0.07664510595169993,,50,,0.048828125,,,proposed_route_a,0.1522610110897611,,,,window_metric,1024,,14
0.06965602446884983,,46,,0.044921875,,,proposed_route_a,0.1396294325306166,,,,window_metric,1024,,15
0.0019069593591825905,,1,,0.0009765625,,,hidden_state_oracle,0.003048864643722694,,,,window_metric,1024,,0
0.0005163115919039452,,0,,0.0,,,hidden_state_oracle,0.00108961955208661,,,,window_metric,1024,,1
0.0002620331099433049,,0,,0.0,,,hidden_state_oracle,0.0007778310021462295,,,,window_metric,1024,,2
0.00025426461688589336,,0,,0.0,,,hidden_state_oracle,0.0007397005147245651,,,,window_metric,1024,,3
