record_type,record_id,family,points,mismatches,value,details
production_chunk,q448:480,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 448, ""q_stop"": 480}"
production_chunk,q480:512,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 480, ""q_stop"": 512}"
production_chunk,q512:544,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 512, ""q_stop"": 544}"
production_chunk,q544:576,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 544, ""q_stop"": 576}"
production_chunk,q576:608,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 576, ""q_stop"": 608}"
production_chunk,q608:640,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 608, ""q_stop"": 640}"
production_chunk,q640:672,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 640, ""q_stop"": 672}"
production_chunk,q672:704,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 672, ""q_stop"": 704}"
production_chunk,q704:736,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 704, ""q_stop"": 736}"
production_chunk,q736:768,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 736, ""q_stop"": 768}"
production_chunk,q768:800,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 768, ""q_stop"": 800}"
production_chunk,q800:832,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 800, ""q_stop"": 832}"
production_chunk,q832:864,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 832, ""q_stop"": 864}"
production_chunk,q864:896,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 864, ""q_stop"": 896}"
production_chunk,q896:928,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 896, ""q_stop"": 928}"
