category,task_id,contract_id,implementation_sha256,status,path,sha256,all_required_gates_passed,stored_implementation_sha256,live_implementation_sha256,implementation_hash_matches,lane_id,cutoff,noise_profile,mode,cycle,time_us,state_label,survival,leakage,conditional_bloch_x,conditional_bloch_y,conditional_bloch_z,rho00_real,rho00_imag,rho01_real,rho01_imag,rho10_real,rho10_imag,rho11_real,rho11_imag,ptm_row,ptm_column,value,pair_sum_linearity_residual,minimum_choi_eigenvalue,minimum_survival,maximum_survival,mean_leakage,survival_spread,off_diagonal_pauli_norm,coherent_rotation_norm,nonunital_code_flow_norm,state_dependent_survival_norm,passed_physicality,axis,definition,truncated_signed_area_cycles,truncated_signed_area_us,e_fold_crossing_cycles,e_fold_crossing_us,e_fold_status,horizon_cycles,horizon_us,final_normalized_signal,minimum_normalized_signal,maximum_normalized_signal,revival_step_count,negative_point_count,qec_on_area_cycles,qec_off_area_cycles,qec_on_minus_off_area_cycles,qec_on_to_off_area_ratio,qec_on_e_fold_cycles,qec_off_e_fold_cycles,lower_cutoff,higher_cutoff,terminal_registered_pair,final_ptm_frobenius_difference,final_mean_leakage_absolute_difference,used_as_infinite_cutoff_convergence_claim,gate,passed
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,0,0.0,,,,,,,,,,,,,,,Y,X,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,0,0.0,,,,,,,,,,,,,,,Y,Y,1.0000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,0,0.0,,,,,,,,,,,,,,,Y,Z,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,0,0.0,,,,,,,,,,,,,,,Z,I,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,0,0.0,,,,,,,,,,,,,,,Z,X,5.551115123125783e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,0,0.0,,,,,,,,,,,,,,,Z,Y,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,0,0.0,,,,,,,,,,,,,,,Z,Z,1.0000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomography_diagnostic,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,0,0.0,,,,,,,,,,,,,,,,,,4.4153960727383283e-16,-1.1021966212787016e-16,1.0000000000000004,1.0000000000000007,-2.220446049250313e-16,2.220446049250313e-16,5.824316883358208e-17,5.171784003104965e-17,4.232379529282879e-16,1.6653345369377348e-16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,x_plus,0.8846265031990821,0.11537349680091791,0.9998747866923675,0.0,-0.0045350791073676035,0.44030732601330014,0.0,0.44225786809429857,0.0,0.4422578680942985,0.0,0.44431917718578195,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,x_minus,0.8926664400002218,0.10733355999977823,-0.9999031230246159,0.0,-0.004535509698103393,0.44430887135221464,0.0,-0.44628998058774383,0.0,-0.44628998058774383,0.0,0.4483575686480071,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,y_plus,0.888646471599652,0.11135352840034796,-0.004537363982537123,0.999956420681637,-0.004535295376666786,0.44230809868275744,-2.954278316778742e-17,-0.0020160562467224806,-0.444303872496077,-0.0020160562467224784,0.4443038724960771,0.4463383729168946,9.711966319608509e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,y_minus,0.888646471599652,0.11135352840034796,-0.004537363982537123,-0.999956420681637,-0.004535295376666786,0.44230809868275744,2.954278316778742e-17,-0.0020160562467224806,0.444303872496077,-0.0020160562467224784,-0.4443038724960771,0.4463383729168946,-9.711966319608509e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,z_plus,0.8846283359218405,0.11537166407815946,-0.004537147713685926,0.0,0.9998747742169324,0.8845729467837957,0.0,-0.0020068447158947877,0.0,-0.0020068447158947764,0.0,5.5389138044777826e-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,z_minus,0.8926646072774636,0.10733539272253645,-0.004537578304413983,0.0,-0.9999030978009738,4.325058171910946e-05,0.0,-0.0020252677775502077,0.0,-0.00202526777755024,0.0,0.8926213566957445,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,I,I,0.888646471599652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
