scenario_id,evaluation_seed,episodes,history_cycles,trace_sha256,standard_error_rate,static_final_error_rate,memory_bayesian_error_rate,static_minus_memory_error_rate,static_nll,memory_nll,static_brier,memory_brier,grid_reference_evaluated,grid_reference_tv_mean,grid_reference_decision_disagreement,grid_reference_error_rate_delta_abs
correlated,20280766,128,20,bba4f7f31275f29cfe47a9ce69161214d1a9a3258aaa030b326ca59c9bcff165,0.6640625,0.6796875,0.359375,0.3203125,1.3676465380708955,0.7969502833734586,0.7399889491972129,0.44631471631116293,False,,,
correlated,20280767,128,20,0a7b1b1d536b244dc41f4681273960a6fb5f58cf23d1c29834aa495dd1dcede7,0.6640625,0.6484375,0.359375,0.2890625,1.3603328616370776,0.8200325676333563,0.735387132160492,0.45439970988606354,False,,,
correlated,20280768,128,20,0661aba38245a21a67270ae179d078509d49976ea13d15166a9d6b704e97862e,0.6484375,0.65625,0.390625,0.265625,1.345168777928964,0.8239876162920283,0.7281701367610613,0.45579467790191486,False,,,
biased_correlated,20290761,128,20,8bec050a7aad23c2cf52a9bcfed9b4df5abc43ba9ff2dcea81902772b8c7d169,0.65625,0.640625,0.3203125,0.3203125,1.3759351894691618,0.7769816337974331,0.7435639060402678,0.41486604595055887,True,0.01493685116022889,0.046875,0.015625
biased_correlated,20290762,128,20,2218f3514aa208770b7e64be8fd6f185ce90b573dc2496af9b6126d2b133ab47,0.8046875,0.6875,0.328125,0.359375,1.3600164234029148,0.7222873352742758,0.7365083153739028,0.41837190250230716,False,,,
biased_correlated,20290763,128,20,e9202216e254c2ac66d0c0b5e23292c8c59961640d1ce029b2715f9ad6211d7b,0.8125,0.671875,0.2265625,0.4453125,1.3471560962195095,0.6195593721354842,0.7306356068230974,0.35101053267892823,False,,,
biased_correlated,20290764,128,20,25f951951c0bb459b0a027bc02fff215ac4aa64109676b7314d2234ffd3cad61,0.8359375,0.671875,0.3203125,0.3515625,1.3695719226193903,0.7176876650809751,0.7402932394830326,0.43458202522214995,False,,,
biased_correlated,20290765,128,20,eeea67bad99ce0b4db16ad4f77d5fb83519a2822155985893d026ab6e41cce4b,0.78125,0.625,0.234375,0.390625,1.3440914704546985,0.5840823397898508,0.7280085014308435,0.3353441686677796,False,,,
biased_correlated,20290766,128,20,ecfceed6eb15fe8c2d6e6d7ef7f76a7145dc8682352b9981f7b07befd5bd150b,0.84375,0.625,0.28125,0.34375,1.3338980165085461,0.734065932660001,0.7209214024159982,0.39378286607533886,False,,,
biased_correlated,20290767,128,20,a0bf3b7b457da9868064dd1d3fab2ae9d10f696c8a0124b3d046eccacca2fa16,0.78125,0.6171875,0.2578125,0.359375,1.3261260663087258,0.5800744561562035,0.7197818099800748,0.34374196803923907,False,,,
biased_correlated,20290768,128,20,5b2a69584047a6828d15c07e6e52d476b9d1797e6d3058775d7a5e3d463495cd,0.8125,0.6171875,0.25,0.3671875,1.330736850629642,0.5832325320706248,0.722532566513487,0.33196014073938346,False,,,
