row_type,record_id,split,scenario,seed,threshold,metric,value,detail
calibration_threshold_seed,t0.0-s202607154106,calibration,all_registered_development,202607154106,0.0,absolute_catastrophic_reduction,-0.018910725911458332,"{""absolute_catastrophic_reduction"": -0.018910725911458332, ""avoided_failure_count"": 2401, ""avoided_failure_rate"": 0.024424235026041668, ""decisions"": 98304, ""fallback_count"": 98304, ""fallback_precision_for_avoided_failure"": 0.024424235026041668, ""fallback_rate"": 1.0, ""gated_failure_count"": 7413, ""gated_failure_rate"": 0.075408935546875, ""induced_failure_count"": 4260, ""induced_failure_rate"": 0.0433349609375, ""net_avoidable_opportunity_fraction"": 0.06775919596354167, ""primary_failure_count"": 5554, ""primary_failure_rate"": 0.056498209635416664, ""relative_catastrophic_reduction"": -0.3347137198415556, ""seed"": 202607154106, ""selected_without_benefit_count"": 95903, ""selected_without_benefit_rate"": 0.9755757649739584, ""static_failure_count"": 7413, ""static_failure_rate"": 0.075408935546875, ""threshold"": 0.0, ""unnecessary_fallback_count"": 92750, ""unnecessary_fallback_rate"": 0.9435017903645834}"
calibration_threshold_seed,t0.0-s202607154107,calibration,all_registered_development,202607154107,0.0,absolute_catastrophic_reduction,-0.028727213541666668,"{""absolute_catastrophic_reduction"": -0.028727213541666668, ""avoided_failure_count"": 1593, ""avoided_failure_rate"": 0.016204833984375, ""decisions"": 98304, ""fallback_count"": 98304, ""fallback_precision_for_avoided_failure"": 0.016204833984375, ""fallback_rate"": 1.0, ""gated_failure_count"": 7385, ""gated_failure_rate"": 0.07512410481770833, ""induced_failure_count"": 4417, ""induced_failure_rate"": 0.044932047526041664, ""net_avoidable_opportunity_fraction"": 0.061136881510416664, ""primary_failure_count"": 4561, ""primary_failure_rate"": 0.046396891276041664, ""relative_catastrophic_reduction"": -0.6191624643718483, ""seed"": 202607154107, ""selected_without_benefit_count"": 96711, ""selected_without_benefit_rate"": 0.983795166015625, ""static_failure_count"": 7385, ""static_failure_rate"": 0.07512410481770833, ""threshold"": 0.0, ""unnecessary_fallback_count"": 93743, ""unnecessary_fallback_rate"": 0.9536031087239584}"
calibration_threshold_seed,t0.0-s202607154108,calibration,all_registered_development,202607154108,0.0,absolute_catastrophic_reduction,-0.025716145833333332,"{""absolute_catastrophic_reduction"": -0.025716145833333332, ""avoided_failure_count"": 1665, ""avoided_failure_rate"": 0.016937255859375, ""decisions"": 98304, ""fallback_count"": 98304, ""fallback_precision_for_avoided_failure"": 0.016937255859375, ""fallback_rate"": 1.0, ""gated_failure_count"": 7200, ""gated_failure_rate"": 0.0732421875, ""induced_failure_count"": 4193, ""induced_failure_rate"": 0.042653401692708336, ""net_avoidable_opportunity_fraction"": 0.059590657552083336, ""primary_failure_count"": 4672, ""primary_failure_rate"": 0.047526041666666664, ""relative_catastrophic_reduction"": -0.541095890410959, ""seed"": 202607154108, ""selected_without_benefit_count"": 96639, ""selected_without_benefit_rate"": 0.983062744140625, ""static_failure_count"": 7200, ""static_failure_rate"": 0.0732421875, ""threshold"": 0.0, ""unnecessary_fallback_count"": 93632, ""unnecessary_fallback_rate"": 0.9524739583333334}"
calibration_threshold_seed,t0.025-s202607154101,calibration,all_registered_development,202607154101,0.025,absolute_catastrophic_reduction,-0.027231852213541668,"{""absolute_catastrophic_reduction"": -0.027231852213541668, ""avoided_failure_count"": 1655, ""avoided_failure_rate"": 0.016835530598958332, ""decisions"": 98304, ""fallback_count"": 18592, ""fallback_precision_for_avoided_failure"": 0.08901678141135973, ""fallback_rate"": 0.18912760416666666, ""gated_failure_count"": 7372, ""gated_failure_rate"": 0.07499186197916667, ""induced_failure_count"": 4332, ""induced_failure_rate"": 0.0440673828125, ""net_avoidable_opportunity_fraction"": 0.060902913411458336, ""primary_failure_count"": 4695, ""primary_failure_rate"": 0.047760009765625, ""relative_catastrophic_reduction"": -0.5701810436634718, ""seed"": 202607154101, ""selected_without_benefit_count"": 16937, ""selected_without_benefit_rate"": 0.17229207356770834, ""static_failure_count"": 7372, ""static_failure_rate"": 0.07499186197916667, ""threshold"": 0.025, ""unnecessary_fallback_count"": 14545, ""unnecessary_fallback_rate"": 0.14795939127604166}"
calibration_threshold_seed,t0.025-s202607154102,calibration,all_registered_development,202607154102,0.025,absolute_catastrophic_reduction,-0.022237141927083332,"{""absolute_catastrophic_reduction"": -0.022237141927083332, ""avoided_failure_count"": 2282, ""avoided_failure_rate"": 0.023213704427083332, ""decisions"": 98304, ""fallback_count"": 19495, ""fallback_precision_for_avoided_failure"": 0.1170556552962298, ""fallback_rate"": 0.19831339518229166, ""gated_failure_count"": 7533, ""gated_failure_rate"": 0.076629638671875, ""induced_failure_count"": 4468, ""induced_failure_rate"": 0.045450846354166664, ""net_avoidable_opportunity_fraction"": 0.06866455078125, ""primary_failure_count"": 5347, ""primary_failure_rate"": 0.054392496744791664, ""relative_catastrophic_reduction"": -0.4088273798391621, ""seed"": 202607154102, ""selected_without_benefit_count"": 17213, ""selected_without_benefit_rate"": 0.17509969075520834, ""static_failure_count"": 7533, ""static_failure_rate"": 0.076629638671875, ""threshold"": 0.025, ""unnecessary_fallback_count"": 14815, ""unnecessary_fallback_rate"": 0.15070597330729166}"
calibration_threshold_seed,t0.025-s202607154103,calibration,all_registered_development,202607154103,0.025,absolute_catastrophic_reduction,-0.020975748697916668,"{""absolute_catastrophic_reduction"": -0.020975748697916668, ""avoided_failure_count"": 2205, ""avoided_failure_rate"": 0.022430419921875, ""decisions"": 98304, ""fallback_count"": 19120, ""fallback_precision_for_avoided_failure"": 0.11532426778242678, ""fallback_rate"": 0.19449869791666666, ""gated_failure_count"": 7305, ""gated_failure_rate"": 0.074310302734375, ""induced_failure_count"": 4267, ""induced_failure_rate"": 0.043406168619791664, ""net_avoidable_opportunity_fraction"": 0.06583658854166667, ""primary_failure_count"": 5243, ""primary_failure_rate"": 0.053334554036458336, ""relative_catastrophic_reduction"": -0.3932862864772077, ""seed"": 202607154103, ""selected_without_benefit_count"": 16915, ""selected_without_benefit_rate"": 0.17206827799479166, ""static_failure_count"": 7305, ""static_failure_rate"": 0.074310302734375, ""threshold"": 0.025, ""unnecessary_fallback_count"": 14541, ""unnecessary_fallback_rate"": 0.147918701171875}"
calibration_threshold_seed,t0.025-s202607154104,calibration,all_registered_development,202607154104,0.025,absolute_catastrophic_reduction,-0.032511393229166664,"{""absolute_catastrophic_reduction"": -0.032511393229166664, ""avoided_failure_count"": 1249, ""avoided_failure_rate"": 0.012705485026041666, ""decisions"": 98304, ""fallback_count"": 19257, ""fallback_precision_for_avoided_failure"": 0.0648595315988991, ""fallback_rate"": 0.195892333984375, ""gated_failure_count"": 7397, ""gated_failure_rate"": 0.07524617513020833, ""induced_failure_count"": 4445, ""induced_failure_rate"": 0.045216878255208336, ""net_avoidable_opportunity_fraction"": 0.05792236328125, ""primary_failure_count"": 4201, ""primary_failure_rate"": 0.042734781901041664, ""relative_catastrophic_reduction"": -0.7607712449416806, ""seed"": 202607154104, ""selected_without_benefit_count"": 18008, ""selected_without_benefit_rate"": 0.18318684895833334, ""static_failure_count"": 7397, ""static_failure_rate"": 0.07524617513020833, ""threshold"": 0.025, ""unnecessary_fallback_count"": 15696, ""unnecessary_fallback_rate"": 0.15966796875}"
calibration_threshold_seed,t0.025-s202607154105,calibration,all_registered_development,202607154105,0.025,absolute_catastrophic_reduction,-0.01983642578125,"{""absolute_catastrophic_reduction"": -0.01983642578125, ""avoided_failure_count"": 2272, ""avoided_failure_rate"": 0.023111979166666668, ""decisions"": 98304, ""fallback_count"": 19220, ""fallback_precision_for_avoided_failure"": 0.118210197710718, ""fallback_rate"": 0.19551595052083334, ""gated_failure_count"": 7273, ""gated_failure_rate"": 0.07398478190104167, ""induced_failure_count"": 4222, ""induced_failure_rate"": 0.042948404947916664, ""net_avoidable_opportunity_fraction"": 0.06606038411458333, ""primary_failure_count"": 5323, ""primary_failure_rate"": 0.054148356119791664, ""relative_catastrophic_reduction"": -0.3663347736238963, ""seed"": 202607154105, ""selected_without_benefit_count"": 16948, ""selected_without_benefit_rate"": 0.17240397135416666, ""static_failure_count"": 7273, ""static_failure_rate"": 0.07398478190104167, ""threshold"": 0.025, ""unnecessary_fallback_count"": 14605, ""unnecessary_fallback_rate"": 0.14856974283854166}"
calibration_threshold_seed,t0.025-s202607154106,calibration,all_registered_development,202607154106,0.025,absolute_catastrophic_reduction,-0.018910725911458332,"{""absolute_catastrophic_reduction"": -0.018910725911458332, ""avoided_failure_count"": 2401, ""avoided_failure_rate"": 0.024424235026041668, ""decisions"": 98304, ""fallback_count"": 20127, ""fallback_precision_for_avoided_failure"": 0.11929249267153574, ""fallback_rate"": 0.204742431640625, ""gated_failure_count"": 7413, ""gated_failure_rate"": 0.075408935546875, ""induced_failure_count"": 4260, ""induced_failure_rate"": 0.0433349609375, ""net_avoidable_opportunity_fraction"": 0.06775919596354167, ""primary_failure_count"": 5554, ""primary_failure_rate"": 0.056498209635416664, ""relative_catastrophic_reduction"": -0.3347137198415556, ""seed"": 202607154106, ""selected_without_benefit_count"": 17726, ""selected_without_benefit_rate"": 0.18031819661458334, ""static_failure_count"": 7413, ""static_failure_rate"": 0.075408935546875, ""threshold"": 0.025, ""unnecessary_fallback_count"": 15242, ""unnecessary_fallback_rate"": 0.15504964192708334}"
calibration_threshold_seed,t0.025-s202607154107,calibration,all_registered_development,202607154107,0.025,absolute_catastrophic_reduction,-0.028727213541666668,"{""absolute_catastrophic_reduction"": -0.028727213541666668, ""avoided_failure_count"": 1593, ""avoided_failure_rate"": 0.016204833984375, ""decisions"": 98304, ""fallback_count"": 18686, ""fallback_precision_for_avoided_failure"": 0.08525099004602377, ""fallback_rate"": 0.19008382161458334, ""gated_failure_count"": 7385, ""gated_failure_rate"": 0.07512410481770833, ""induced_failure_count"": 4417, ""induced_failure_rate"": 0.044932047526041664, ""net_avoidable_opportunity_fraction"": 0.061136881510416664, ""primary_failure_count"": 4561, ""primary_failure_rate"": 0.046396891276041664, ""relative_catastrophic_reduction"": -0.6191624643718483, ""seed"": 202607154107, ""selected_without_benefit_count"": 17093, ""selected_without_benefit_rate"": 0.17387898763020834, ""static_failure_count"": 7385, ""static_failure_rate"": 0.07512410481770833, ""threshold"": 0.025, ""unnecessary_fallback_count"": 14726, ""unnecessary_fallback_rate"": 0.14980061848958334}"
