category,task_id,contract_id,status,implementation_sha256,parent_task,path,sha256,all_gates_passed,stored_implementation_sha256,live_implementation_sha256,implementation_hash_matches,source_data_path,source_data_sha256,source_data_rows,source_lane_ids,source_cutoffs,reference_horizon_us,reference_full_cycles,measurements_per_full_cycle,resets_per_full_cycle,active_gates_per_full_cycle,stored_control_scalars,persistent_state_scalars,analytic_macs_per_half_cycle,matched_controller_classical_latency_us,resource_scope,row_id,lane_role,cutoff,noise_profile,horizon_us,full_cycles,half_cycles,measurement_events,reset_events,active_gate_applications,postselection_applied,postselection_acceptance_fraction,postselection_rejection_fraction,code_space_survival_is_acceptance,projector_delta,equivalent_squeezing_db,squeezing_convention,target_board_core_latency_us,target_board_transport_latency_us,target_board_end_to_end_latency_us,active_pulse_or_gate_count,active_pulse_duration_us,active_pulse_energy,passive_measurement_events,passive_reset_events,passive_active_gate_applications,scaled_reference_matches_channel_events,event_count_provenance,final_active_average_fidelity,final_passive_average_fidelity,final_average_fidelity_advantage,final_active_code_space_survival,final_passive_code_space_survival,sustained_boundary_time_us,cumulative_payback_time_us,achieved_logical_error_rate,logical_error_rate_scope,full_cost_complete,full_cost_operational_boundary_qualified,target_hardware_measured,target_survival,training_threshold,acceptance_fraction,rejection_fraction,raw_error_rate,conditional_error_rate,accepted_failures_per_input,break_even_rejection_penalty,cost_definition,conditional_metric_online_eligible,truth_upper_conditional_error_rate,truth_upper_deployable,online_correction_eligible,primary_metric_eligible,achieved_average_fidelity,conditional_error_scope,classical_latency_us,cross_lane_cost_aggregate_eligible,ci_low,ci_high,rejection_penalty,total_cost,cost_minus_raw,campaign_cycles,scenario_count,run_count,fallback_cycles,fallback_rate,reset_request_cycles,reset_request_rate,unsafe_action_cycles,observed_unsafe_action_rate,undefined_action_cycles,observed_undefined_action_rate,statistical_population_upper_bound,upper_bound_reason,blocking_fault_with_correction_count,frame_out_of_range_count,claim_scope,joined_to_online_channel_cost,joined_to_postselection_cost,device_population_rate,field,value,evidence,gate,passed
online_qec_cost,,,,,,,,,,,,,,,,,,,,,,15,0,0,,,cutoff36:low:online_qec,online_nonpostselected_qec,36,low,300.0,30,60,60,60,540,False,1.0,0.0,False,0.34,6.360121702515085,-10 log10(2 Delta^2),,,,540,,,0,0,0,True,T5.3.1 native event_accounting cross-checked against T5.1.5 standard measurement-feedback protocol,0.7362616430340937,0.3103046672682274,0.4259569757658663,0.7581988842896497,0.33903093961433894,60.0,110.0,,not_defined_for_this_cptni_channel_lane,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
online_qec_cost,,,,,,,,,,,,,,,,,,,,,,15,0,0,,,cutoff40:high:online_qec,online_nonpostselected_qec,40,high,300.0,30,60,60,60,540,False,1.0,0.0,False,0.34,6.360121702515085,-10 log10(2 Delta^2),,,,540,,,0,0,0,True,T5.3.1 native event_accounting cross-checked against T5.1.5 standard measurement-feedback protocol,0.5669492154617611,0.20189209005637196,0.36505712540538915,0.6514772441423107,0.33530746779759857,40.0,60.0,,not_defined_for_this_cptni_channel_lane,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
online_qec_cost,,,,,,,,,,,,,,,,,,,,,,15,0,0,,,cutoff40:medium:online_qec,online_nonpostselected_qec,40,medium,300.0,30,60,60,60,540,False,1.0,0.0,False,0.34,6.360121702515085,-10 log10(2 Delta^2),,,,540,,,0,0,0,True,T5.3.1 native event_accounting cross-checked against T5.1.5 standard measurement-feedback protocol,0.7105293516128173,0.2704521789870497,0.44007717262576757,0.7390887339218319,0.31836609601901006,40.0,90.0,,not_defined_for_this_cptni_channel_lane,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
online_qec_cost,,,,,,,,,,,,,,,,,,,,,,15,0,0,,,cutoff40:low:online_qec,online_nonpostselected_qec,40,low,300.0,30,60,60,60,540,False,1.0,0.0,False,0.34,6.360121702515085,-10 log10(2 Delta^2),,,,540,,,0,0,0,True,T5.3.1 native event_accounting cross-checked against T5.1.5 standard measurement-feedback protocol,0.7395829859875364,0.31027869898341814,0.4293042870041182,0.7589325762337931,0.3390035583215994,60.0,110.0,,not_defined_for_this_cptni_channel_lane,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postselection_summary,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.995,offline_postselection_diagnostic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995,0.4116404297684926,0.9948450724283854,0.00515492757161462,0.013785044352213543,0.011438023291967454,0.011379061110334921,0.4667346356381536,accepted_failures_per_input + rejection_penalty * rejection_fraction,False,0.008680625047039738,False,False,False,,"synthetic wrapped-Gaussian decoder decision error, not CPTNI F_avg or physical-memory LER",,False,0.002234641520436281,0.002459400600055893,,,,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.0,0.011379061110334921,-0.0024059832418786217,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.25,0.012667793003238576,-0.0011172513489749666,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.5,0.013956524896142231,0.00017148054392868844,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995,,,,0.013785044352213543,,,,,,,,,,,,,,,,1.0,0.01653398868194954,0.0027489443297359986,,,,,,,,,,,,,,,,,,,,,,,,
postselection_summary,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.990,offline_postselection_diagnostic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.3281971312781853,0.9898325602213542,0.01016743977864576,0.013785044352213543,0.009544664268305804,0.009447619469150414,0.4265995154623721,accepted_failures_per_input + rejection_penalty * rejection_fraction,False,0.0036604433760040033,False,False,False,,"synthetic wrapped-Gaussian decoder decision error, not CPTNI F_avg or physical-memory LER",,False,0.0040839324343667155,0.004396827733448758,,,,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.0,0.009447619469150414,-0.004337424883063129,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.25,0.011989479413811854,-0.0017955649384016892,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.5,0.014531339358473293,0.0007462950062597506,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,0.013785044352213543,,,,,,,,,,,,,,,,1.0,0.019615059247796173,0.00583001489558263,,,,,,,,,,,,,,,,,,,,,,,,
postselection_summary,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.980,offline_postselection_diagnostic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.19926100551297787,0.9799009958902994,0.020099004109700558,0.013785044352213543,0.00681556248287009,0.006678576464516963,0.3535731347140092,accepted_failures_per_input + rejection_penalty * rejection_fraction,False,0.0,False,False,False,,"synthetic wrapped-Gaussian decoder decision error, not CPTNI F_avg or physical-memory LER",,False,0.006796771599874304,0.0071421921388126015,,,,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.0,0.006678576464516963,-0.007106467887696579,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.25,0.011703327491942103,-0.00208171686027144,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.5,0.016728078519367244,0.0029430341671537012,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,0.013785044352213543,,,,,,,,,,,,,,,,1.0,0.026777580574217523,0.01299253622200398,,,,,,,,,,,,,,,,,,,,,,,,
