category,task_id,contract_id,status,implementation_sha256,parent_task,path,sha256,all_gates_passed,stored_implementation_sha256,live_implementation_sha256,implementation_hash_matches,source_data_path,source_data_sha256,source_data_rows,source_lane_ids,source_cutoffs,reference_horizon_us,reference_full_cycles,measurements_per_full_cycle,resets_per_full_cycle,active_gates_per_full_cycle,stored_control_scalars,persistent_state_scalars,analytic_macs_per_half_cycle,matched_controller_classical_latency_us,resource_scope,row_id,lane_role,cutoff,noise_profile,horizon_us,full_cycles,half_cycles,measurement_events,reset_events,active_gate_applications,postselection_applied,postselection_acceptance_fraction,postselection_rejection_fraction,code_space_survival_is_acceptance,projector_delta,equivalent_squeezing_db,squeezing_convention,target_board_core_latency_us,target_board_transport_latency_us,target_board_end_to_end_latency_us,active_pulse_or_gate_count,active_pulse_duration_us,active_pulse_energy,passive_measurement_events,passive_reset_events,passive_active_gate_applications,scaled_reference_matches_channel_events,event_count_provenance,final_active_average_fidelity,final_passive_average_fidelity,final_average_fidelity_advantage,final_active_code_space_survival,final_passive_code_space_survival,sustained_boundary_time_us,cumulative_payback_time_us,achieved_logical_error_rate,logical_error_rate_scope,full_cost_complete,full_cost_operational_boundary_qualified,target_hardware_measured,target_survival,training_threshold,acceptance_fraction,rejection_fraction,raw_error_rate,conditional_error_rate,accepted_failures_per_input,break_even_rejection_penalty,cost_definition,conditional_metric_online_eligible,truth_upper_conditional_error_rate,truth_upper_deployable,online_correction_eligible,primary_metric_eligible,achieved_average_fidelity,conditional_error_scope,classical_latency_us,cross_lane_cost_aggregate_eligible,ci_low,ci_high,rejection_penalty,total_cost,cost_minus_raw,campaign_cycles,scenario_count,run_count,fallback_cycles,fallback_rate,reset_request_cycles,reset_request_rate,unsafe_action_cycles,observed_unsafe_action_rate,undefined_action_cycles,observed_undefined_action_rate,statistical_population_upper_bound,upper_bound_reason,blocking_fault_with_correction_count,frame_out_of_range_count,claim_scope,joined_to_online_channel_cost,joined_to_postselection_cost,device_population_rate,field,value,evidence,gate,passed
postselection_summary,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.800,offline_postselection_diagnostic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.001548739715154679,0.7985509236653645,0.2014490763346355,0.013785044352213543,0.0004058358952827137,0.00032408062903457115,0.06682067730515875,accepted_failures_per_input + rejection_penalty * rejection_fraction,False,0.0,False,False,False,,"synthetic wrapped-Gaussian decoder decision error, not CPTNI F_avg or physical-memory LER",,False,0.013216040729663023,0.013542376184198634,,,,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.0,0.00032408062903457115,-0.013460963723178971,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.25,0.050686349712693445,0.036901305360479905,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.5,0.10104861879635231,0.08726357444413876,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.013785044352213543,,,,,,,,,,,,,,,,1.0,0.20177315696367007,0.18798811261145654,,,,,,,,,,,,,,,,,,,,,,,,
postselection_summary,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.700,offline_postselection_diagnostic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.0004416617253509836,0.6990350087483724,0.30096499125162757,0.013785044352213543,0.00018042642099331215,0.0001261243847774975,0.04538375015191133,accepted_failures_per_input + rejection_penalty * rejection_fraction,False,0.0,False,False,False,,"synthetic wrapped-Gaussian decoder decision error, not CPTNI F_avg or physical-memory LER",,False,0.013434921793263582,0.013774314069176879,,,,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.0,0.0001261243847774975,-0.013658919967436045,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.25,0.07536737219768438,0.06158232784547084,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.5,0.15060862001059128,0.13682357565837774,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.013785044352213543,,,,,,,,,,,,,,,,1.0,0.30109111563640506,0.2873060712841915,,,,,,,,,,,,,,,,,,,,,,,,
postselection_summary,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.500,offline_postselection_diagnostic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,6.879024060191252e-05,0.4995339711507162,0.5004660288492838,0.013785044352213543,6.011070439332922e-05,3.0027338874266548e-05,0.027484416964256374,accepted_failures_per_input + rejection_penalty * rejection_fraction,False,0.0,False,False,False,,"synthetic wrapped-Gaussian decoder decision error, not CPTNI F_avg or physical-memory LER",,False,0.013552186411292829,0.013897680884347596,,,,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.0,3.0027338874266548e-05,-0.013755017013339275,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.25,0.12514653455119523,0.11136149019898169,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.5,0.25026304176351616,0.23647799741130263,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.013785044352213543,,,,,,,,,,,,,,,,1.0,0.5004960561881581,0.4867110118359445,,,,,,,,,,,,,,,,,,,,,,,,
software_safety_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,separate_deterministic_software_safety_campaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767872,8,32,11552,0.015044174029004834,4,5.209201533588931e-06,0,0.0,0,0.0,,"targeted deterministic software campaigns are coverage evidence, not iid samples from a declared device-fault population",0,0,observed rate in registered software campaigns only,False,False,False,,,,,
missing_cost_field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matched_controller_classical_latency_us,,not_measured_for_fixed_nominal_controller_and_target,,
missing_cost_field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active_pulse_duration_and_energy,,only active gate counts are available,,
missing_cost_field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,device_calibrated_reset_fidelity_and_energy,,software event counts and effective reset assumptions only,,
missing_cost_field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matched_physical_memory_logical_error_rate,,"T5.3 channel reports CPTNI F_avg/F_e, not physical-memory LER",,
missing_cost_field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,best_passive_physical_qubit_reference,,qec_off is matched encoded idle only,,
missing_cost_field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on_chip_core_latency,,target_board_unmeasured,,
missing_cost_field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measured_transport_latency,,target_board_unmeasured,,
missing_cost_field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,end_to_end_digital_replay_latency,,target_board_unmeasured,,
missing_cost_field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quantum_measurement_latency,,not_integrated_not_measured,,
missing_cost_field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high_speed_quantum_adc_acquisition_latency,,not_integrated_not_measured,,
missing_cost_field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,awg_or_dac_waveform_output_latency,,not_integrated_not_measured,,
missing_cost_field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical_action_latency,,not_integrated_not_measured,,
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all_six_parent_artifacts_and_implementations_are_live,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_source_data_is_bound_and_complete,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,six_terminal_online_qec_cost_rows_are_present,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,online_rows_use_300us_30cycle_60halfcycle_horizon,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,online_event_and_active_gate_counts_scale_exactly,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,projector_delta_and_squeezing_conversion_are_traceable,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,online_qec_is_nonpostselected_and_code_survival_is_not_acceptance,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,online_fidelity_survival_and_boundaries_match_native_parents,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,online_ler_is_null_not_inferred_from_fidelity,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fixed_nominal_classical_resource_is_analytic_only,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matched_and_target_board_latency_remain_null,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active_gate_count_is_known_but_pulse_duration_energy_remain_null,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,online_rows_do_not_claim_complete_cost_or_hardware,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eight_training_only_postselection_targets_are_present,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_acceptance_rejection_and_failures_are_complete,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_penalty_grid_and_total_cost_identity_are_complete,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unit_rejection_penalty_reverses_all_conditional_improvements,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_ci_and_truth_upper_are_preserved,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditional_postselection_metric_is_never_promoted_online,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_does_not_invent_favg_ler_events_or_latency,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,software_safety_cost_remains_a_separate_deterministic_campaign,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all_required_unmeasured_cost_fields_remain_explicit_nulls,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all_derived_cost_ledgers_recompute_from_native_parents,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cost_dimensions_are_reported_without_cross_lane_scalarization,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full_cost_boundary_and_coherence_gain_remain_not_established,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall_clock_boundary_is_retained_without_cost_promotion,True
gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claim_boundary_remains_diagnostic_simulation_only,True
