record_id,split,seed,as_of_cycle,future_start_cycle,future_end_cycle_exclusive,offline_regime_label,candidate_failures,oracle_failures,oracle_trials,fallback_score,offline_fallback_required,update_cost,source_bank_action,scope,prediction_mean_q,offline_future_target_mean_q,uncertainty_se_mean_q,prediction_mean_p,offline_future_target_mean_p,uncertainty_se_mean_p,prediction_sigma_q,offline_future_target_sigma_q,uncertainty_se_sigma_q,prediction_sigma_p,offline_future_target_sigma_p,uncertainty_se_sigma_p,prediction_rho_qp,offline_future_target_rho_qp,uncertainty_se_rho_qp,prediction_tail_rate,offline_future_target_tail_rate,uncertainty_se_tail_rate,prediction_x_e_rate,offline_future_target_x_e_rate,uncertainty_se_x_e_rate,prediction_z_e_rate,offline_future_target_z_e_rate,uncertainty_se_z_e_rate,prediction_leakage_rate,offline_future_target_leakage_rate,uncertainty_se_leakage_rate,regime_p_normal,regime_p_burst,regime_p_leakage,regime_p_calibration_shift
seed20261341-asof575,training,20261341,575,576,608,normal,4,0,32,0.7689063883104138,1,0.05017541540844573,hold_active,offline_future_aligned_calibration_record,-0.08584495632458644,0.3383371680581593,0.11599831866967257,0.18341956068708964,0.26913677292582716,0.0690997237899347,0.5750603143236865,0.3542494698082769,0.03284523718008656,0.4819513557032811,0.5970343635318511,0.03658387848823984,0.1539827577927131,0.09658914759563757,0.16142197626138682,0.1953125,0.21875,0.03770620780158946,0.359375,0.34375,0.03828113730129488,0.2890625,0.40625,0.04312892196579329,0.04296875,0.0,0.02246186417062711,0.7678166531055032,0.07974086644632626,0.12677162822406204,0.025670852224108538
seed20261341-asof607,training,20261341,607,608,640,normal,1,1,32,0.7689063883104138,0,0.05026964085115095,hold_active,offline_future_aligned_calibration_record,-0.03588898736316937,-0.30863429664951436,0.09154935244538061,0.14095214867926886,0.40081394298782547,0.058845170340130044,0.5892832938282023,0.41520419818614757,0.040974208511364595,0.49739272766886744,0.4615273865001402,0.03414300149035226,0.08986076044657747,-0.9159319795554823,0.13617424948776194,0.21484375,0.1875,0.0391866497323121,0.3828125,0.25,0.045923290075313414,0.2734375,0.5,0.054731459476911715,0.04296875,0.0,0.022313870558229795,0.88058036132714,0.030228887445483122,0.0313659138854384,0.057824837341938454
seed20261341-asof639,training,20261341,639,640,672,normal,4,4,32,0.7689063883104138,0,0.05009900365741479,hold_active,offline_future_aligned_calibration_record,-0.061600822081568474,0.3526156356781176,0.102258516444276,0.13848865765342255,0.3279565250015921,0.05314187366499107,0.5712952349796467,0.5934987187205624,0.03485535439054579,0.507007040908627,0.584973900821292,0.04169150137874021,0.10114617901349461,-0.22930384196843198,0.14027400468858964,0.20703125,0.34375,0.03585962212008406,0.35546875,0.3125,0.04331362817737055,0.3046875,0.34375,0.0501306612823538,0.04296875,0.0,0.02244298624328386,0.960948237178328,0.017335465672914184,0.014673224049089792,0.007043073099668057
seed20261341-asof671,training,20261341,671,672,704,burst,7,5,30,0.7003967238645127,1,0.050221308608428716,hold_active,offline_future_aligned_calibration_record,0.055356024225883926,0.17702511327349058,0.1182557783277712,0.1744047749774087,-1.1971764608696307,0.06356213936989791,0.5653942950322085,0.7034413302630979,0.037251176055236104,0.5217640255911322,0.9143738844775865,0.03622406037831672,0.049106639621704806,-0.08034781210777547,0.1107925036075234,0.22265625,0.40625,0.03892658141340832,0.34765625,0.40625,0.03466627669901069,0.328125,0.375,0.04875610853590515,0.03515625,0.0625,0.023566320910884685,0.9134727078765205,0.029143061956620725,0.01245499325116419,0.04492923691569465
seed20261341-asof703,training,20261341,703,704,736,normal,1,1,32,0.8499134474153599,0,0.05032457655081297,hold_active,offline_future_aligned_calibration_record,0.06548801999652643,0.2863462337378213,0.1013013493501451,0.16402147279931945,0.12596374232110108,0.08548294207123616,0.5982052782144321,0.5004075053684421,0.040227572881079435,0.5944655457277367,0.5556975026499519,0.044811269833476663,-0.006663494036070476,-0.33709468679907834,0.12293509297137765,0.265625,0.15625,0.04229480836435048,0.35546875,0.40625,0.045468497508912784,0.34375,0.4375,0.05013892688321232,0.0390625,0.0,0.02370945017529966,0.3920628312415089,0.3624905603912239,0.1512103626893716,0.09423624567789551
seed20261341-asof735,training,20261341,735,736,768,normal,0,0,32,0.8203885452017146,0,0.05016082301670568,hold_active,offline_future_aligned_calibration_record,0.07213719715405142,-0.010782781502574945,0.10280480236276897,0.22665495645517653,0.1860996711857259,0.07464102201220484,0.5924995810016018,0.5143714911682756,0.035733350483777,0.5959953415300853,0.35223879360053456,0.046340714798440354,-0.085174841819041,0.05971287644720035,0.09276957251051708,0.265625,0.0,0.03838184067677336,0.3359375,0.375,0.03648966785634404,0.359375,0.28125,0.04608029632822928,0.0390625,0.0,0.01962702444732738,0.4644498225086977,0.28799380884362885,0.11488402621192176,0.13267234243575163
seed20261341-asof767,training,20261341,767,768,800,calibration_shift,6,5,32,0.661370409678655,0,0.05032060003443786,hold_active,offline_future_aligned_calibration_record,0.0879401447720114,0.09354233466464112,0.09991433650929749,0.23595453729354343,-0.18729631200741426,0.07992966233834352,0.57206520112404,0.6629425820535422,0.03939293688163313,0.5597223756545247,0.5145261294294577,0.05337898264611716,-0.1847443824986138,-0.13374238800741822,0.1258982684023181,0.21875,0.25,0.043883437204575215,0.33984375,0.375,0.032370155214642156,0.37890625,0.40625,0.037958686337647346,0.0078125,0.0,0.006625368631851434,0.8756482335582254,0.04936711057324667,0.012479848616928406,0.06250480725159943
seed20261341-asof799,training,20261341,799,800,832,normal,10,9,32,0.7400688765402889,0,0.05016151567937286,hold_active,offline_future_aligned_calibration_record,0.08102726709541841,0.5634746444057133,0.10659603906666075,0.2059718831812416,-0.07460313241259908,0.09557263470378898,0.5937149255822624,0.7571678379796861,0.04035549664901406,0.5929524843257976,0.6908709107280088,0.04419734542311337,-0.21015234855664774,-0.011537449843228999,0.10650425024656676,0.234375,0.375,0.04325649253553303,0.36328125,0.59375,0.03096948088426749,0.38671875,0.25,0.038378290938512326,0.0078125,0.0,0.0074084728978337,0.6721451273301622,0.11461224064952664,0.034690423213672154,0.17855220880663905
seed20261341-asof831,training,20261341,831,832,864,leakage,2,3,22,0.8138976358914143,1,0.05028489007317605,hold_active,offline_future_aligned_calibration_record,0.15624901252096257,-0.9755238886855924,0.10576605352787,0.17472594107222306,0.1600574728405022,0.11644500057942105,0.6083716932903099,1.007004281215196,0.04865264667114477,0.6086008735708567,0.6176579058433139,0.04670365499310615,-0.3636500184623954,-0.10536103253150252,0.13754893116130004,0.2421875,0.375,0.0401206431516955,0.3828125,0.21875,0.03902833443560198,0.375,0.375,0.0428823066687792,0.0078125,0.3125,0.008532789271472033,0.16692352203979793,0.4580981270365188,0.1198027422686405,0.2551756086550427
seed20261341-asof863,training,20261341,863,864,896,leakage,5,5,27,0.7972019923185598,1,1.0503378945160076,stage_candidate,offline_future_aligned_calibration_record,0.09033268466539046,-0.23668223964439528,0.13306736365703162,0.16065736665746422,0.37005783589968533,0.10123422885993341,0.6786951124658455,0.6130221464663039,0.05519442099223907,0.6100958835910254,0.49466468626619364,0.048205235717767546,-0.4953274015235038,0.11820760349277783,0.13588319720184294,0.26171875,0.3125,0.04553100319364191,0.3671875,0.3125,0.045947676210016934,0.37109375,0.28125,0.03705339663346325,0.046875,0.15625,0.03689905670413533,0.0017984768747148876,0.18939315175469934,0.8019134659839837,0.006894905386602147
seed20261341-asof895,training,20261341,895,896,928,leakage,3,5,27,0.8953072466968959,1,1.051215087003311,stage_candidate,offline_future_aligned_calibration_record,0.14941225453764062,0.050270869744096114,0.13930081811922904,0.15131769343421042,-0.12443142143892083,0.106181618122704,0.6894589807313904,0.7259718110596535,0.0464241662970149,0.6122253922727445,0.814009779196901,0.047896365967118285,-0.2244659482001062,0.05815364628320427,0.1349069376953551,0.27734375,0.25,0.03787364800990896,0.375,0.4375,0.03600496497725009,0.34375,0.375,0.0354832106898492,0.06640625,0.15625,0.040187511761345884,0.005210416869387415,0.0964514940731914,0.892517122354243,0.005820966703178164
seed20261341-asof927,training,20261341,927,928,960,normal,4,3,32,0.9467019697436669,0,1.0508034900996739,stage_candidate,offline_future_aligned_calibration_record,0.10060236251389587,0.08122395313495323,0.14027430693587642,0.1114635931926411,0.14313924505336728,0.10493810909235286,0.7013351661531848,0.48416696576711465,0.06196149901190092,0.6339574270227365,0.6593535598410772,0.050104471940964006,-0.19886098357754664,-0.007214155386851706,0.11578351926498145,0.265625,0.375,0.04029885373810302,0.390625,0.59375,0.04012719827683552,0.34765625,0.21875,0.03946327607651709,0.0859375,0.0,0.03935418595468835,0.0027246959147197384,0.0505551684733938,0.9402372229451272,0.006482912666759181
seed20261341-asof959,training,20261341,959,960,992,burst,6,7,32,0.9300582175897159,0,1.050704929686252,stage_candidate,offline_future_aligned_calibration_record,0.08779705611225741,-0.20423334156584705,0.13490522615407316,0.11304157701479678,0.021338347767324573,0.08771669921086094,0.6669390541793369,0.6197441366860401,0.051865644395626985,0.5992217270328174,0.6106371893721343,0.04729438066829393,-0.1577759281805656,-0.048485201564041555,0.11942390866673198,0.26171875,0.3125,0.0399703360114974,0.4140625,0.40625,0.045249570380686006,0.328125,0.5625,0.044731711714385794,0.078125,0.0,0.03663927706644532,0.007249439590961838,0.0359051750304362,0.9466963440469683,0.010149041331633534
seed20261341-asof991,training,20261341,991,992,1024,normal,5,4,30,0.9300582175897159,1,1.0506150764129683,stage_candidate,offline_future_aligned_calibration_record,-0.0030818445321123544,-0.027893662408762232,0.14653807152011186,0.09988354997940796,0.43413865436888455,0.07590870627860814,0.6829466571487381,0.6647220106411651,0.05228332473344654,0.6070512294213822,0.4135822244341956,0.051942456436083376,-0.04968797742623295,-0.0511755188558847,0.13894666094292554,0.28125,0.34375,0.03630834334849551,0.4140625,0.3125,0.04334297541006995,0.34375,0.4375,0.038633675154274794,0.078125,0.0625,0.03621415352041086,0.007744362985382659,0.05694401427989739,0.9158751853901032,0.019436437344616714
seed20261341-asof1023,training,20261341,1023,1024,1056,calibration_shift,0,0,27,0.9467019697436669,1,1.050434436916348,stage_candidate,offline_future_aligned_calibration_record,-0.004787210493458094,-0.2572805575168192,0.10310875429056789,0.15100647344024032,0.2591755968812264,0.08368634171185627,0.7072855110077562,0.4339892599494066,0.05677871646915492,0.6341420024777501,0.4983755465139908,0.04352793089244864,-0.06115678087441223,-0.45206232748022046,0.10534296184066147,0.32421875,0.21875,0.02369955187974227,0.40625,0.28125,0.03886431114164852,0.36328125,0.40625,0.04058599031374033,0.0859375,0.15625,0.038320709740489935,0.02841662433444634,0.11053244232928063,0.8521578442230138,0.008893089113259246
seed20261341-asof1055,training,20261341,1055,1056,1088,leakage,3,1,19,0.9732584775233029,1,1.0507184289605591,stage_candidate,offline_future_aligned_calibration_record,-0.08679008908745556,0.259599256294228,0.12671873080694487,0.2243667207491702,1.0219240387720754,0.09121055309061234,0.6759408634472281,0.4099397629130564,0.05597314085806537,0.6130347743684263,1.0091748442902808,0.04206004694412702,-0.3099522249303928,-0.10825975220975181,0.15482663870723345,0.3203125,0.28125,0.030793688311684317,0.39453125,0.375,0.04458833422792853,0.36328125,0.125,0.04497895651967868,0.10546875,0.40625,0.03803597364671958,0.0712584590600616,0.06451322943025392,0.8598989387912698,0.004329372718414684
seed20261341-asof1087,training,20261341,1087,1088,1120,normal,0,0,32,0.9958619772360828,0,1.0504184102848133,stage_candidate,offline_future_aligned_calibration_record,-0.03744676336215136,-0.012964105839587958,0.10987597410194404,0.2574453432455899,0.03275162293902811,0.10869659097245606,0.6285106306008161,0.46439721879713036,0.04752406037394991,0.6316567580181426,0.34587669194245674,0.06393030589614618,-0.17717343116529008,0.4485853336273638,0.15374040903631225,0.30859375,0.03125,0.033843209865553614,0.3671875,0.375,0.04396459839154227,0.34765625,0.15625,0.04154150192359988,0.15625,0.0,0.045670095620617975,6.0206152170835556e-05,0.0001648845772385593,0.9997254652114,4.9444059190556315e-05
seed20261341-asof1119,training,20261341,1119,1120,1152,normal,0,0,32,0.9824481597866943,0,0.050534154169152794,hold_active,offline_future_aligned_calibration_record,-0.028972166040859726,0.30233195078493647,0.0823860088296452,0.2120805047627745,0.0037614070388571896,0.10219588185202422,0.5732389487516553,0.32194197472541236,0.04199098370809784,0.5992784676205616,0.34551105638746066,0.05778832882169031,-0.20817156275477283,-0.22741858193933873,0.18565631870677027,0.265625,0.09375,0.039609297265658795,0.38671875,0.34375,0.04624225297914011,0.3203125,0.0625,0.051525176954595374,0.1171875,0.0,0.051450499656668716,0.34892879714543584,0.031302231205662646,0.5289171882165412,0.09085178343236026
seed20261341-asof1151,training,20261341,1151,1152,1184,normal,3,1,32,0.9647002276405966,0,0.05022933892703368,hold_active,offline_future_aligned_calibration_record,0.058709468317263314,0.43381875324844743,0.08550386065233014,0.13747745082726648,-0.5405910165593203,0.09718817869411413,0.5450768122718647,0.3289048353717707,0.04242253820126728,0.5775188705417437,0.47511464774372875,0.053462053922756554,-0.22072852468083262,-0.27580603156977035,0.1541700984810549,0.23828125,0.28125,0.039820839557612876,0.390625,0.34375,0.04016452792808288,0.29296875,0.25,0.05390182417275453,0.09765625,0.0,0.04991591968033559,0.87696264561118,0.003521908955087038,0.012216057656737382,0.10729938777699548
seed20261341-asof1183,training,20261341,1183,1184,1216,normal,1,2,32,0.9300582175897159,0,0.05035505732948667,hold_active,offline_future_aligned_calibration_record,0.1265029546482659,-0.14473400955778581,0.09161333007220025,0.07582159093304353,-0.46694435822111613,0.10234705001065807,0.5197521382728214,0.7394506432636883,0.04675830248728459,0.5904631349159871,0.5209705134474691,0.05103998861274361,-0.33949077017805346,0.09981860694681542,0.13690800006636208,0.2421875,0.25,0.037855657723752476,0.37890625,0.46875,0.039747832336760575,0.27734375,0.34375,0.04767483327330976,0.078125,0.0,0.03981480430057462,0.4846179826574815,0.0031734810443485705,0.001083446426538023,0.511125089871632
seed20261341-asof1215,training,20261341,1215,1216,1248,normal,0,0,32,0.9300582175897159,0,0.050459970098174406,hold_active,offline_future_aligned_calibration_record,0.1189321233296885,-0.005333608402865231,0.10841827226679014,0.00363283877019982,-0.3538376958507039,0.12360252144283274,0.5504374364015813,0.3694572747973324,0.040797648287565304,0.6027942822324862,0.3131266863110501,0.06513837485080058,-0.20464042337595087,-0.21203302622192668,0.17523237947906253,0.2265625,0.0625,0.039308963298198524,0.36328125,0.21875,0.03278325421774457,0.29296875,0.34375,0.04237557391862992,0.078125,0.0,0.0398459212195092,0.1969047318545076,0.025619648542703755,0.011859807237713722,0.7656158123650749
seed20261341-asof1247,training,20261341,1247,1248,1280,leakage,1,1,27,0.9300582175897159,1,0.05024576504233928,hold_active,offline_future_aligned_calibration_record,0.1208825649762657,-0.08543777720538492,0.11639360607463037,-0.08173018716746361,-0.18418399780314876,0.12667302580822362,0.5128018263215136,0.47678924605252704,0.03736923596582908,0.5813070625655345,0.4585116563125425,0.0663642173862676,-0.23044620122935197,0.41229398309310816,0.19551456895350275,0.1953125,0.09375,0.047147413421681016,0.33984375,0.34375,0.035245697497542784,0.265625,0.28125,0.03810501086812412,0.078125,0.15625,0.0482909674292726,0.3292670783445907,0.004791304524545178,0.000682422984223467,0.6652591941466407
seed20261341-asof1279,training,20261341,1279,1280,1312,calibration_shift,2,1,32,0.9535141934822631,0,0.05029863584949676,hold_active,offline_future_aligned_calibration_record,0.10457285870416344,0.11720509236074972,0.10162076256702633,-0.16930148372641907,0.03921580257258417,0.08551493762871037,0.4955881336379846,0.5088552037862988,0.03323951652992931,0.5416196456662208,0.4324150949834399,0.04782717309352033,-0.13934757914645485,0.003186115832149256,0.14180642223175047,0.1640625,0.125,0.04051800472694287,0.34375,0.46875,0.036675616654156716,0.24609375,0.375,0.034497091293135766,0.08984375,0.0,0.03830683192935238,0.49233193916632806,0.016576321774907175,0.0196467985586606,0.4714449405001042
seed20261341-asof1311,training,20261341,1311,1312,1344,normal,1,2,29,0.9084268146158385,1,0.050246526565350724,hold_active,offline_future_aligned_calibration_record,0.1515845634303925,-0.4678575917126533,0.0909687313372846,-0.18381648311674836,-0.1597570904518244,0.07342197240332066,0.4844769611556283,0.37793124815542145,0.03479496970876792,0.5175489174087446,0.4590114499735521,0.05147168344701217,-0.06107458502123077,-0.17456792948866054,0.16190612544972194,0.15234375,0.25,0.04172434674544275,0.3671875,0.4375,0.037068917792828227,0.2421875,0.25,0.0343204015150284,0.0703125,0.09375,0.04381162839774508,0.5829912238084514,0.022364804455817015,0.025998105432235963,0.3686458663034958
seed20261341-asof1343,training,20261341,1343,1344,1376,normal,5,4,32,0.7249458373426002,0,0.05042113917710764,hold_active,offline_future_aligned_calibration_record,0.05631744869974131,-0.5311328573083902,0.11074091722157589,-0.1812020087266093,-0.13404322303972105,0.05964499299777239,0.5249782453219234,0.6730103003489077,0.03910112982733339,0.4693777575108596,0.5147294992714253,0.04335579025560814,-0.004738306009142313,0.3052935127265809,0.11357407437491009,0.1484375,0.34375,0.03080112262379267,0.375,0.65625,0.028231644321447917,0.2578125,0.15625,0.045523688268490514,0.03125,0.0,0.01654173027137076,0.9027418671832609,0.03414904859505954,0.02554859268418458,0.037560491537494925
seed20261341-asof1375,training,20261341,1375,1376,1408,normal,0,0,32,0.8116870770150494,0,0.050215373687633666,hold_active,offline_future_aligned_calibration_record,0.03533622872424469,-0.17246759260818822,0.12253190950657844,-0.21221711594962467,-0.28705729067840224,0.06601244195538833,0.569002860503066,0.43539014923614866,0.037281202917337164,0.48186513514914137,0.41417859395189977,0.04111944289605364,-0.03541635126629668,0.7268503130919565,0.12531353892330918,0.1875,0.125,0.029354108178967043,0.41015625,0.34375,0.030367484944515768,0.2578125,0.40625,0.03645833333333332,0.03125,0.0,0.01966324061000157,0.5605593986528763,0.27526400711799237,0.14683980413982584,0.01733679008930565
seed20261341-asof1407,training,20261341,1407,1408,1440,normal,4,2,32,0.7243653814392754,0,0.05014377936089061,hold_active,offline_future_aligned_calibration_record,-0.06521601641881336,0.14074150165441224,0.10126092258148167,-0.2600646444221484,-0.02594832168315686,0.07163745844798378,0.5686784940419045,0.6466898901270047,0.03916421473759383,0.4808421278031466,0.5295285519828952,0.04064751525020395,-0.01728119009086218,0.22679227677390792,0.13341134395944484,0.19140625,0.21875,0.024070232016460687,0.41015625,0.25,0.032405735010200575,0.30078125,0.28125,0.03520051836661474,0.03125,0.0,0.019512252045111596,0.8110627856499484,0.11838183245818118,0.02472494449529256,0.04583043739657798
seed20261341-asof1439,training,20261341,1439,1440,1472,burst,7,11,31,0.7173087502226767,0,0.05027649134772371,hold_active,offline_future_aligned_calibration_record,-0.13891387787122134,-0.2850369633319645,0.07373181838898094,-0.2035352872892553,0.6243825358580846,0.06691917896842983,0.5628921837651258,0.8258729911809977,0.03967739643887594,0.4801063276457797,0.6893059616786339,0.032891437314781884,0.10333186575084508,0.031181584784884597,0.1205135777181741,0.18359375,0.53125,0.024766185865507016,0.3984375,0.25,0.037647950507081626,0.3046875,0.53125,0.034778265154509234,0.03125,0.03125,0.01961699540651867,0.8223745448067588,0.10499291424194913,0.017823812333687416,0.05480872861760477
seed20261341-asof1471,training,20261341,1471,1472,1504,normal,2,2,32,0.7835139027076099,0,0.05024156446512946,hold_active,offline_future_aligned_calibration_record,-0.14435895438795665,-0.36731837148147184,0.09681705267996811,-0.1505938283883943,0.04455568485507633,0.0753039689519113,0.5695908072987284,0.4029197427494189,0.044966926414825116,0.5162553467406353,0.5416081390899354,0.046076242014725995,0.17241508800469318,0.2550256718728815,0.13113342793391267,0.21875,0.15625,0.042630580966274194,0.37109375,0.28125,0.04268203794238321,0.328125,0.28125,0.040097762559634154,0.03515625,0.0,0.021690186530768246,0.24404751069750907,0.6157826767427984,0.10662845639483516,0.03354135616485737
seed20261341-asof1503,training,20261341,1503,1504,1536,normal,2,1,31,0.7864910038589598,0,0.05025889066327748,hold_active,offline_future_aligned_calibration_record,-0.22090138662388248,-0.08304679415643035,0.08893879142302376,-0.0826802690109365,-0.11314068787153664,0.08536111795408584,0.5745463505452735,0.4792269250039805,0.04915969342474985,0.5382905430074911,0.472843918718009,0.04423673444218445,0.2382490086661794,0.20833846949565726,0.1251498818105608,0.23046875,0.125,0.04019014840970587,0.37890625,0.28125,0.03747389757887462,0.3203125,0.25,0.03808330422762331,0.03515625,0.03125,0.020714466133856163,0.38674803897768384,0.5634876599186217,0.03056129113483102,0.01920300996886351
