evaluation_seed,training_seed,training_state_sha256,evaluation_trace_sha256,paired_samples,standard_binning_error_rate,static_training_average_map_error_rate,full_state_model_oracle_map_error_rate,standard_minus_static,standard_minus_static_ci_low,standard_minus_static_ci_high,standard_only_failure_count,static_only_failure_count
20260721,20260312,239b57432a85586fd09babc18f942e14bdd4c6528c52d2fff0a871d423188031,821e7ccf4ba1132519a87d8631373875631fa04e3c6bd580d6b804cc8eed7d57,72000,0.05975,0.026222222222222223,0.012027777777777778,0.033527777777777774,0.03188923942934955,0.035166316126206,3059,645
20260722,20260312,239b57432a85586fd09babc18f942e14bdd4c6528c52d2fff0a871d423188031,1968f86be98257e3598e86c6decb6b253668fb4a920abbc81b1f97e9b4359fb4,72000,0.058583333333333334,0.024041666666666666,0.011041666666666667,0.034541666666666665,0.03291219143145499,0.03617114190187834,3078,591
20260723,20260312,239b57432a85586fd09babc18f942e14bdd4c6528c52d2fff0a871d423188031,cbfa2d0922402e3f74a8443665b095c65f2222571cc01eb944c9f6dd7e2b6d06,72000,0.058763888888888886,0.024805555555555556,0.011,0.03395833333333333,0.03233732124366387,0.0355793454230028,3037,592
20260724,20260312,239b57432a85586fd09babc18f942e14bdd4c6528c52d2fff0a871d423188031,f9e3ad51167492b64fdd524f9b4a49a06dea8e38e1e4c11daaf0b03addd478b4,72000,0.059166666666666666,0.024652777777777777,0.01163888888888889,0.034513888888888886,0.032894875487249446,0.036132902290528325,3054,569
20260725,20260312,239b57432a85586fd09babc18f942e14bdd4c6528c52d2fff0a871d423188031,cd809151c714211e0a2163f4ee132a0d392eb154eee886bfe0d97fb1737d089f,72000,0.05951388888888889,0.023833333333333335,0.011055555555555556,0.035680555555555556,0.03405603532064333,0.03730507579046778,3111,542
20260726,20260312,239b57432a85586fd09babc18f942e14bdd4c6528c52d2fff0a871d423188031,017c47fa7a9298bbde2b21ad174e01adaa11e7a6dd5baf31686df14db2581c2d,72000,0.058763888888888886,0.024527777777777777,0.011347222222222222,0.03423611111111111,0.032604474182711306,0.03586774803951092,3071,606
20260727,20260312,239b57432a85586fd09babc18f942e14bdd4c6528c52d2fff0a871d423188031,16e6fc3378c5edad93f247c44f314bd64dd5267d997bb5355e06f9cb96cc30a3,72000,0.058138888888888886,0.022791666666666665,0.010916666666666667,0.035347222222222224,0.03374296654209038,0.03695147790235407,3054,509
20260728,20260312,239b57432a85586fd09babc18f942e14bdd4c6528c52d2fff0a871d423188031,aa0736d0aa5b15e9e06841743f20c6040e085a00ac3cfcab62b6f73ab10ea5e9,72000,0.058277777777777776,0.025111111111111112,0.011694444444444445,0.033166666666666664,0.03154683760604545,0.034786495727287876,3004,616
