seed,lane,output_sequence,as_of_cycle,history_start_cycle,regime_most_likely,regime_entropy_nats,leakage_probability_next_cycle,leakage_probability_horizon,expected_recovery_depth,ood_score,recommendation_confidence,bank_action,recommended_mode,base_active_version,valid_from_cycle,expires_after_cycle,recommendation_id,payload_crc32,staged_version,gain_qq,gain_qp,gain_pq,gain_pp,bias_q,bias_p,uncertainty_min_eigenvalue,mean_q,mean_p,sigma_q,sigma_p,rho_qp,tail_rate,x_e_rate,z_e_rate,leakage_rate,regime_p_normal,regime_p_burst,regime_p_leakage,regime_p_calibration_shift,recovery_depth_p_0,recovery_depth_p_1,recovery_depth_p_2,recovery_depth_p_3,recovery_depth_p_4,recovery_depth_p_5,recovery_depth_p_6,continuous_se_mean_q,continuous_se_mean_p,continuous_se_sigma_q,continuous_se_sigma_p,continuous_se_rho_qp,continuous_se_tail_rate,continuous_se_x_e_rate,continuous_se_z_e_rate,continuous_se_leakage_rate
20261341,nominal,0,255,0,normal,0.02884706083861551,0.08365758754863813,0.9389270047052102,1.7859058981391198,0.75390625,0.24510811325190793,hold_active,fallback,0,256,287,hs-37753377dd09520ac3c3,1825910345,,0.916017860331421,0.007031494188638326,0.007031494188638326,0.9398350794348672,0.020588808957996797,0.011497890718015744,0.00013496718886838295,0.26373827036084374,0.2219294018501139,0.35737061273497245,0.4628773143902389,0.15445324064149732,0.11328125,0.21484375,0.36328125,0.08203125,0.9959948728966418,0.0006397456197232426,0.00028735941410102983,0.00307802206953385,0.15658123145490666,0.3218962644768492,0.2753349160962997,0.13393221662562238,0.06514916053719388,0.03169075541074162,0.015415455398386731,0.0402506053555979,0.10222529132670767,0.04407026142601981,0.04162296464219563,0.10220928536227279,0.03156593113459174,0.03510454200025431,0.0437590782106211,0.044174816822546044
20261341,nominal,1,287,32,normal,0.05539320791520778,0.06809338521400778,0.8953072466968959,1.7198781432048331,0.73828125,0.25956695954757764,hold_active,fallback,0,288,319,hs-ca6a9d7fb9abb8c21239,3938065643,,0.9212121574444232,0.010561714716061611,0.010561714716061606,0.9349690338701947,0.016782462513892815,0.012410411715418825,0.00010361801151177447,0.24390077049913939,0.23045055247287327,0.3807647212809001,0.44145330719935516,0.2279119683393011,0.10546875,0.2421875,0.33203125,0.06640625,0.991778233495222,0.002826771788531827,0.0009060922705802099,0.004488902445666068,0.16300184056837894,0.3421411940139574,0.26561793532363526,0.1265448683269602,0.06028811149509291,0.028722274049499286,0.013683776222476095,0.04296409097537062,0.07810151270733393,0.04407120093960439,0.03698865683032206,0.08396985125235766,0.03218537635046645,0.03638221943992502,0.03962305318099285,0.03805387868712639
20261341,nominal,2,319,64,normal,0.7149372452299831,0.06809338521400778,0.8953072466968959,3.293839146579716,0.703125,0.235375910123954,hold_active,fallback,0,320,351,hs-299e9a4c688c77353d51,3885422959,,0.9332682094834291,0.00959187832824663,0.00959187832824664,0.9373763920772169,0.013405411327115403,0.01442031038541316,0.00010162639183789093,0.23925068421609996,0.2669148966788064,0.43320522759759905,0.45380731381094824,0.21703496411391363,0.15234375,0.24609375,0.35546875,0.06640625,0.7928451709438451,0.11367668058506214,0.05775705540198111,0.035721093069111545,0.03444689426746151,0.07124658643599154,0.14735946989497012,0.3047839125209929,0.2574833658478826,0.12449020679693265,0.06018956423576866,0.06388204446511989,0.06674163672426411,0.056416068359978665,0.03865590701906265,0.0869805431775662,0.03626469682197671,0.039460207243378904,0.030921725578378204,0.041245282496523226
20261341,nominal,3,351,96,normal,0.12926722015104916,0.06809338521400778,0.8953072466968959,1.8362594862590127,0.7109375,0.28233787564946977,hold_active,fallback,0,352,383,hs-9da959a3c4f8e278b3d7,2070823723,,0.9340052067695639,0.010892615918073412,0.010892615918073412,0.9369122950540301,0.011467720705881644,0.01608650245405882,0.0001609176303295839,0.22218498750386173,0.2933484139508633,0.4389271049617267,0.4535673499447157,0.24591988956338118,0.13671875,0.25,0.3828125,0.06640625,0.9767364346792468,0.016328735328175886,0.004285510861388173,0.0026493191311891305,0.15066881878790836,0.3066400411322097,0.28417646969488664,0.13963125252055977,0.06860837810179593,0.03371100280766943,0.016564036954969916,0.055068067395238826,0.06736133771315185,0.05009449719680186,0.04574079382315581,0.08801700391714569,0.037079533790012525,0.03392914793055357,0.03760857581780254,0.03808529161985411
20261341,nominal,4,383,128,normal,0.36006611041412456,0.04085603112840467,0.7368025913671197,1.7807855583249022,0.6796875,0.29401622987596204,hold_active,fallback,0,384,415,hs-05940876745fe7551e94,1272721496,,0.9452258097690431,0.008694787349817656,0.008694787349817669,0.9365303228450974,0.007211583796295997,0.015816759547364903,9.714758650860997e-05,0.17502429020324684,0.2731786155051461,0.4983835892654358,0.44933644166818787,0.20755036365591265,0.14453125,0.28125,0.3671875,0.0390625,0.9179043274176376,0.046219562192981914,0.027102435320454435,0.00877367506892612,0.15556321357524627,0.32305293205170993,0.27750125205000176,0.13362821462689203,0.06434745649779353,0.03098593488879971,0.01492099630955666,0.08145092012020969,0.051816933891540545,0.06424064133454722,0.035683398236673915,0.10706777072934195,0.04315607103388471,0.03634017169039429,0.038494128903891874,0.022850144843931306
20261341,nominal,5,415,160,normal,0.22460860617423792,0.03696498054474708,0.7003967238645127,1.7208985072087852,0.62109375,0.3609770267840781,hold_active,fallback,0,416,447,hs-972ecca84d6cc9bba26c,2020793981,,0.9561642744452951,0.008184738476484205,0.0081847384764842,0.9332352493478735,0.0020309586069583194,0.01824625500154976,0.00010343125156283642,0.09963916948585827,0.28550657884016917,0.5775339953653539,0.43333376189924394,0.2079119468928782,0.16796875,0.296875,0.328125,0.03515625,0.9526816376981855,0.0339165452436633,0.011273546697130961,0.0021282703610201455,0.16172671681786177,0.34163161145763377,0.2679033318183863,0.1268241135376516,0.060037908694300396,0.028421649320773935,0.013454668353392117,0.10515527091808731,0.0593490874474352,0.05350856956367519,0.043489935350329106,0.09477471197763578,0.03586199656433389,0.041057493216430076,0.03925959198898218,0.02653201621995342
20261341,nominal,6,447,192,normal,0.07028264862442642,0.04085603112840467,0.7368025913671197,4.030001156866683,0.65234375,0.34391786786478584,hold_active,fallback,0,448,479,hs-44dfca187d4c308cf096,836590279,,0.955116454060049,0.009276263669830937,0.009276263669830942,0.9318234934330051,-0.002316421152018316,0.017189137672964563,8.237982231734167e-05,0.000512943803660626,0.25219678655783273,0.5708484633026997,0.4283414492273024,0.23191120655349887,0.16796875,0.30859375,0.3125,0.0390625,0.9892469008245526,0.004602928821526497,0.0015822511894981349,0.004567919164422835,0.016770640251923537,0.035349826971654334,0.07451178059720016,0.15705891438216182,0.3310550679261334,0.26129186537595145,0.12396190449497535,0.09224347627469638,0.0603854402130419,0.04242495943064864,0.03912700384779922,0.07530612419128492,0.03633142297804657,0.043675282312347366,0.045643571332515884,0.024753041060840846
20261341,nominal,7,479,224,normal,0.3091926964667915,0.013618677042801557,0.3551853576235964,5.151038147580323,0.6484375,0.3269261817989503,hold_active,fallback,0,480,511,hs-88f1148a9176804b9d0d,2887788505,,0.9549980015742143,0.007836180773155005,0.007836180773155005,0.9364436205954694,-0.0008333758224850363,0.011285909278598034,3.372397405668583e-05,0.012674218640524204,0.17913586100551337,0.567402472571014,0.4487997047599832,0.19988911040649318,0.1484375,0.34765625,0.3046875,0.01171875,0.9299233615614585,0.012345449291405701,0.007731047722720401,0.05000014142441557,0.005696729891385199,0.012139375995692793,0.025868252905522554,0.05512363309460922,0.11746502311721216,0.2503106359525594,0.5333963490430186,0.08423698389248126,0.0696747302323046,0.045888337077325245,0.03444224309632659,0.12345876299986475,0.03968260704519214,0.04174216560190553,0.04365656210475748,0.008776135500063587
20261341,nominal,8,511,256,leakage,1.0015859616821392,0.04474708171206226,0.7689063883104138,2.5569189369510683,0.62109375,0.18554879416573597,hold_active,fallback,0,512,543,hs-2667562d5b374baef216,2761560716,,0.9565941120610469,0.011101037473513098,0.011101037473513098,0.9415177568770732,-0.006167335345662421,0.009620742481129846,9.740057653990045e-05,-0.1051155632935008,0.14455414537006828,0.5910224639783762,0.48561796606577357,0.2911376034689349,0.19140625,0.36328125,0.2890625,0.04296875,0.40750667446152355,0.08162715943832197,0.4896957866642104,0.0211703794359442,0.06986519524826709,0.14360466915548298,0.2951727384425685,0.2672807812699003,0.13003493604593552,0.06326337611006805,0.03077830372777753,0.09109764729250663,0.06886860082542128,0.031415476763204137,0.03441650950512988,0.16813073515511662,0.03205766404719094,0.03570308963940432,0.048084577712595104,0.022186988570529507
20261341,nominal,9,543,288,normal,0.535168452804664,0.04474708171206226,0.7689063883104138,1.8086578532822368,0.62109375,0.3276045367778922,hold_active,fallback,0,544,575,hs-8deaa9f9627e6cb93b07,231619878,,0.9580838276214938,0.008826416722787401,0.008826416722787401,0.9429202235192908,-0.003979563969612327,0.009222894212997679,0.00010869814365445737,-0.06296713414665223,0.15184222121312674,0.5978468249908587,0.48818189183618416,0.2375305557654224,0.203125,0.34375,0.30078125,0.04296875,0.8646057877849527,0.03492241231679434,0.07034681514039004,0.030124984757862967,0.15275750855573483,0.31462512098035034,0.2816178851410962,0.13673175989521727,0.06638631688707017,0.03223203645742481,0.01564937208310626,0.10594312809287297,0.07340027985270647,0.03634625713099404,0.032241830236186646,0.1317854388822602,0.03598167594923163,0.04402102989765162,0.04638268015783954,0.02314633962842602
