seed,achieved_fmax_mhz,timing_pass,route_status,critical_period_ns,critical_logic_ns,critical_routing_ns,critical_start_cell,critical_end_cell,critical_start_component,critical_end_component,lut4,dff,bsram,mult18x18,mult9x9,alu,iob,latency_cycles,latency_ns_at_27mhz,power_low_mw,power_nominal_mw,power_high_mw,board_measured
1,37.86874771118164,True,PASS,26.40700029209256,11.972000300884247,14.16899998486042,converged.core.phase_frame_x_DFFRE_Q,fold[11]_DFFR_Q,production_core,observability_fold,6118,2495,8,1,1,590,18,6,222.22222222222223,2.6763048000000005,16.0578288,64.2313152,False
7,37.73584747314453,True,PASS,26.500000212341547,9.858000248670578,16.375999957323074,converged.core.leakage_clean_run_DFFRE_Q_1,fold[11]_DFFR_Q_15,production_core,observability_fold,6108,2495,8,1,1,590,18,6,222.22222222222223,2.6763048000000005,16.0578288,64.2313152,False
19,36.79446792602539,True,PASS,27.17800024524331,10.30700021982193,16.605000019073486,converged.core.leakage_clean_run_DFFRE_Q,fold[11]_DFFR_Q,production_core,observability_fold,6130,2495,8,1,1,590,18,6,222.22222222222223,2.6763048000000005,16.0578288,64.2313152,False
