lane_id,cell_id,method_id,label,metric_id,value,ci_low,ci_high,value_state,evidence_grade,outcome_state,ranking_eligible_within_signature,task_signature_id,source_report_path,source_report_sha256,raw_source_path,raw_source_sha256,config_path,config_sha256,detail_json
surface_gkp_gate_outer_code,surface_ml_13p0db,ml,ML @ 13.0 dB,cnot_failure_probability,0.0008400581978462838,0.0008043751575664749,0.0008773227904345736,REPRODUCED_VALUE,PROJECT_NATIVE_MATCHED,MATCHED_PAIRED_MONTE_CARLO,True,noh_surface_gkp_cnot_paired_v1,docs/t6_17_2_noh_cnot_ci_ml_reproduction.json,75c8d17251efad94d8abade736c9c25189f1c8fe0515a189646fa74653af7a28,docs/t6_17_2_noh_cnot_ci_ml_reproduction_source_data.csv,fd23828e201b580af7a7e810b74db5fb5ff4bc49e2dfc5fc92579f3da58c7e30,configs/literature/t6_16_3_secondary_preregistration.json,eca700725aac3d2b0d0fb312339323645a03c4089b2d1932cf757816a11585c4,"{""trials"":2424832}"
surface_gkp_gate_outer_code,surface_outer_code_threshold_na,outer_code_threshold,Outer-code threshold,squeezing_threshold_db,,,,N_A_NOT_APPLICABLE,INELIGIBLE,NOT_ESTIMATED_BY_GATE_LEVEL_EXPERIMENT,False,noh_surface_gkp_cnot_paired_v1,docs/t6_17_2_noh_cnot_ci_ml_reproduction.json,75c8d17251efad94d8abade736c9c25189f1c8fe0515a189646fa74653af7a28,docs/t6_17_2_noh_cnot_ci_ml_reproduction_source_data.csv,fd23828e201b580af7a7e810b74db5fb5ff4bc49e2dfc5fc92579f3da58c7e30,configs/literature/t6_16_3_secondary_preregistration.json,eca700725aac3d2b0d0fb312339323645a03c4089b2d1932cf757816a11585c4,{}
multimode_structured_lattice_cpd,structured_official_cpd_threshold,cpd,Official CPD,noise_threshold_sigma,0.6024563484296794,,,REPRODUCED_VALUE,OFFICIAL_CODE_REPRODUCTION,OFFICIAL_AGGREGATE_REANALYSIS,True,surface_lattice_official_threshold_v1,docs/t6_18_2_official_structured_cpd_reproduction.json,b664cde118e25ecb258a93107187240bdd0116b5f3deed1ca55bbfaa6a49a7c8,docs/t6_18_2_official_structured_cpd_source_data.csv,03ca4313a25f60bb1f45780ff9dec37713a8784de1e2f27cf5bdb07e3335c7a5,configs/literature/t6_16_3_secondary_preregistration.json,eca700725aac3d2b0d0fb312339323645a03c4089b2d1932cf757816a11585c4,"{""declared_samples_per_point"":10000000}"
multimode_structured_lattice_cpd,structured_official_analog_mwpm_threshold,analog_mwpm,Official analog MWPM,noise_threshold_sigma,0.5995937637028759,,,REPRODUCED_VALUE,OFFICIAL_CODE_REPRODUCTION,OFFICIAL_AGGREGATE_REANALYSIS,True,surface_lattice_official_threshold_v1,docs/t6_18_2_official_structured_cpd_reproduction.json,b664cde118e25ecb258a93107187240bdd0116b5f3deed1ca55bbfaa6a49a7c8,docs/t6_18_2_official_structured_cpd_source_data.csv,03ca4313a25f60bb1f45780ff9dec37713a8784de1e2f27cf5bdb07e3335c7a5,configs/literature/t6_16_3_secondary_preregistration.json,eca700725aac3d2b0d0fb312339323645a03c4089b2d1932cf757816a11585c4,"{""declared_samples_per_point"":10000000}"
multimode_structured_lattice_cpd,multimode_static_euclidean_pl,static_euclidean,Static Euclidean,p_L,0.236929375,,,REPRODUCED_VALUE,PROJECT_NATIVE_MATCHED,VALID_MATCHED_VALUE,True,project_multimode_drift_v1,docs/t6_18_3_multimode_posterior_weighted_cpd.json,fbe2cc70bc7faa689b0657e9cdb0db9d327dfa059d07d462c108a59d3312922c,docs/t6_18_3_multimode_posterior_weighted_cpd_source_data.csv,560cea6e6e9a211347263b353db7b53a28d592038d6e98b48e08b06df52ab814,configs/literature/t6_16_3_secondary_preregistration.json,eca700725aac3d2b0d0fb312339323645a03c4089b2d1932cf757816a11585c4,"{""seed_clusters"":96,""worst_window_ler"":0.3203125}"
multimode_structured_lattice_cpd,multimode_weighted_static_pl,weighted_static,Weighted static,p_L,0.26167854166666665,,,REPRODUCED_VALUE,PROJECT_NATIVE_MATCHED,VALID_MATCHED_VALUE,True,project_multimode_drift_v1,docs/t6_18_3_multimode_posterior_weighted_cpd.json,fbe2cc70bc7faa689b0657e9cdb0db9d327dfa059d07d462c108a59d3312922c,docs/t6_18_3_multimode_posterior_weighted_cpd_source_data.csv,560cea6e6e9a211347263b353db7b53a28d592038d6e98b48e08b06df52ab814,configs/literature/t6_16_3_secondary_preregistration.json,eca700725aac3d2b0d0fb312339323645a03c4089b2d1932cf757816a11585c4,"{""seed_clusters"":96,""worst_window_ler"":0.4609375}"
multimode_structured_lattice_cpd,multimode_observed_only_posterior_predictive_weighted_pl,observed_only_posterior_predictive_weighted,Observed-only predictive,p_L,0.1722609375,,,REPRODUCED_VALUE,PROJECT_NATIVE_MATCHED,VALID_MATCHED_VALUE,True,project_multimode_drift_v1,docs/t6_18_3_multimode_posterior_weighted_cpd.json,fbe2cc70bc7faa689b0657e9cdb0db9d327dfa059d07d462c108a59d3312922c,docs/t6_18_3_multimode_posterior_weighted_cpd_source_data.csv,560cea6e6e9a211347263b353db7b53a28d592038d6e98b48e08b06df52ab814,configs/literature/t6_16_3_secondary_preregistration.json,eca700725aac3d2b0d0fb312339323645a03c4089b2d1932cf757816a11585c4,"{""seed_clusters"":96,""worst_window_ler"":0.291015625}"
multimode_structured_lattice_cpd,multimode_oracle_metric_upper_bound_pl,oracle_metric_upper_bound,Metric oracle,p_L,0.17192947916666668,,,REPRODUCED_VALUE,PROJECT_NATIVE_MATCHED,UPPER_BOUND_ONLY,False,project_multimode_drift_v1,docs/t6_18_3_multimode_posterior_weighted_cpd.json,fbe2cc70bc7faa689b0657e9cdb0db9d327dfa059d07d462c108a59d3312922c,docs/t6_18_3_multimode_posterior_weighted_cpd_source_data.csv,560cea6e6e9a211347263b353db7b53a28d592038d6e98b48e08b06df52ab814,configs/literature/t6_16_3_secondary_preregistration.json,eca700725aac3d2b0d0fb312339323645a03c4089b2d1932cf757816a11585c4,"{""seed_clusters"":96,""worst_window_ler"":0.29296875}"
multimode_structured_lattice_cpd,multimode_weighted_static_negative,weighted_static,Weighted-static advantage,p_L,,,,NEGATIVE,NEGATIVE,WORSE_THAN_STATIC_EUCLIDEAN,False,project_multimode_drift_v1,docs/t6_18_3_multimode_posterior_weighted_cpd.json,fbe2cc70bc7faa689b0657e9cdb0db9d327dfa059d07d462c108a59d3312922c,docs/t6_18_3_multimode_posterior_weighted_cpd_source_data.csv,560cea6e6e9a211347263b353db7b53a28d592038d6e98b48e08b06df52ab814,configs/literature/t6_16_3_secondary_preregistration.json,eca700725aac3d2b0d0fb312339323645a03c4089b2d1932cf757816a11585c4,{}
controller_rl_nmf,controller_learned_same_task,learned_candidates,Eligible learned controller,ler_reduction_fraction,,,,NULL_NOT_REPORTED,INELIGIBLE,ZERO_OF_16_SAME_TASK_ELIGIBLE,False,controller_source_audit_v1,docs/t6_17_3_learned_model_eligibility_replay.json,e8a6ab15ef913ee857e81d4497d2e7c281d334db1df3eeede0817aca553cd12b,docs/t6_17_3_learned_model_eligibility_replay_source_data.csv,c35d0625ee4830ece89c9541c0a444991aeb455e996282d54a20cc524befcdbb,configs/literature/t6_16_3_secondary_preregistration.json,eca700725aac3d2b0d0fb312339323645a03c4089b2d1932cf757816a11585c4,"{""candidate_families"":16,""eligible"":0}"
