calibrated_upper_bound,cluster_count,covered,dimension,equivalent,estimate,family,multiplier_seed,power_primary,raw_radius,selected_factor,split,trial,trial_seed,true_distance
0.11288775077610164,64,True,16,False,0.04089179662277981,balanced_phase_pure,23796308891755872298709942,True,0.07199595415332183,1.0,calibration,33,23427374010281681266389942,0.0
0.10364962004264833,64,True,16,False,0.03601128987246246,balanced_phase_pure,23796310725230961211814924,True,0.06763833017018588,1.0,calibration,34,23427375843756770179494924,0.0
0.15218653093467033,64,True,16,False,0.08103282615369622,balanced_phase_pure,23796310865470868082124780,True,0.0711537047809741,1.0,calibration,35,23427375983996677049804780,0.0
0.1269807563787601,64,True,16,False,0.05451397188990846,balanced_phase_pure,23796301765248347538703449,True,0.07246678448885163,1.0,calibration,36,23427366883774156506383449,0.0
0.14068284083304833,64,True,16,False,0.06908407799677671,balanced_phase_pure,23796318227195409551598741,True,0.07159876283627163,1.0,calibration,37,23427383345721218519278741,0.0
0.11132234052879467,64,True,16,False,0.042154622477938886,balanced_phase_pure,23796314440745605678653032,True,0.06916771805085578,1.0,calibration,38,23427379559271414646333032,0.0
0.11108795821374606,64,True,16,False,0.04493210933082303,balanced_phase_pure,23796317769141663413793912,True,0.06615584888292303,1.0,calibration,39,23427382887667472381473912,0.0
0.1344202514553136,64,True,16,False,0.06135004101058417,balanced_phase_pure,23796317057632886134281001,True,0.07307021044472944,1.0,calibration,40,23427382176158695101961001,0.0
0.12726635484397114,64,True,16,False,0.05806739117010716,balanced_phase_pure,23796300668020164038682207,True,0.069198963673864,1.0,calibration,41,23427365786545973006362207,0.0
0.11597752966210408,64,True,16,False,0.0459580602536125,balanced_phase_pure,23796310327315451973797451,True,0.07001946940849157,1.0,calibration,42,23427375445841260941477451,0.0
0.12249561518063595,64,True,16,False,0.04817624032633408,balanced_phase_pure,23796307513696176133812040,True,0.07431937485430187,1.0,calibration,43,23427372632221985101492040,0.0
0.12382449907974047,64,True,16,False,0.059165728116111205,balanced_phase_pure,23796301874848797904326775,True,0.06465877096362926,1.0,calibration,44,23427366993374606872006775,0.0
0.11628241018402909,64,True,16,False,0.04379024799577795,balanced_phase_pure,23796309399322146443240864,True,0.07249216218825114,1.0,calibration,45,23427374517847955410920864,0.0
0.1194444703458259,64,True,16,False,0.043420307229953645,balanced_phase_pure,23796302070409344880992123,True,0.07602416311587226,1.0,calibration,46,23427367188935153848672123,0.0
0.1259729168120378,64,True,16,False,0.056502197435295276,balanced_phase_pure,23796301952763053506151869,True,0.06947071937674251,1.0,calibration,47,23427367071288862473831869,0.0
