lag,correlation_before,correlation_after
40,0.010882762376894355,0.0013363362724157675
60,0.006424263444388124,0.0008714069687965843
80,0.004224534945133686,-0.0004619778131530928
100,0.00425605448479345,0.0019052877481331228
120,-0.0004492842490666228,-0.0019078544193203636
140,0.00203930745739637,-0.0005816371890158662
160,0.0004553710677064558,8.9773123322385e-05
180,0.0014009486852645764,-0.00023042741238654
200,-0.002450013005997324,-0.0027462198902688116
