row_type,record_id,lane_id,seed,method,metric,value,detail
decoder_seed,static_gaussian,decoder_syndrome_level_paired,20262716204,paired_all,trace_sha256,2bbd1fecb8d1085eabfc4cc3d555f031e4a6e2dcc9e8d7a929b4670067ce5766,"{""evaluation_samples"": 16384, ""evaluation_seed"": 20262716204, ""ewma_brier"": 0.0017155236005023315, ""ewma_covariance_tracking_rmse_lattice2"": 0.0028894483555735088, ""ewma_error_rate"": 0.00115966796875, ""ewma_mean_tracking_rmse_lattice"": 0.011333830265291363, ""ewma_nll"": 0.003539534236936959, ""kalman_brier"": 0.001678004873592281, ""kalman_covariance_tracking_rmse_lattice2"": 0.0027859754826585316, ""kalman_error_rate"": 0.0009765625, ""kalman_mean_tracking_rmse_lattice"": 0.010699456907522935, ""kalman_nll"": 0.0034730391109824995, ""observation_samples_per_window"": 256, ""oracle_brier"": 0.001648097079887944, ""oracle_error_rate"": 0.0008544921875, ""oracle_nll"": 0.003379585927623224, ""scenario_id"": ""static_gaussian"", ""standard_error_rate"": 0.001708984375, ""static_brier"": 0.002614100871612057, ""static_error_rate"": 0.00152587890625, ""static_minus_ewma_error_rate"": 0.0003662109375, ""static_minus_kalman_error_rate"": 0.00054931640625, ""static_nll"": 0.00535531901684235, ""trace_sha256"": ""2bbd1fecb8d1085eabfc4cc3d555f031e4a6e2dcc9e8d7a929b4670067ce5766"", ""window_brier"": 0.0017516264489420234, ""window_covariance_tracking_rmse_lattice2"": 0.003359847229106823, ""window_error_rate"": 0.00115966796875, ""window_mean_tracking_rmse_lattice"": 0.013339160519201669, ""window_minus_best_recursive_error_rate"": 0.00018310546875, ""window_nll"": 0.003619196010409685, ""windows"": 32}"
decoder_seed,static_gaussian,decoder_syndrome_level_paired,20262716205,paired_all,trace_sha256,06780739fe7a42b16ac9e6a0beccdf438e57682f4732c496931bb2132e077f2f,"{""evaluation_samples"": 16384, ""evaluation_seed"": 20262716205, ""ewma_brier"": 0.0019294052819809132, ""ewma_covariance_tracking_rmse_lattice2"": 0.00253756273362492, ""ewma_error_rate"": 0.00115966796875, ""ewma_mean_tracking_rmse_lattice"": 0.010628343832961537, ""ewma_nll"": 0.003459428395088331, ""kalman_brier"": 0.0019477554733233638, ""kalman_covariance_tracking_rmse_lattice2"": 0.0024739716732720377, ""kalman_error_rate"": 0.001220703125, ""kalman_mean_tracking_rmse_lattice"": 0.009510302661349553, ""kalman_nll"": 0.0035053411622920287, ""observation_samples_per_window"": 256, ""oracle_brier"": 0.0018516634293839556, ""oracle_error_rate"": 0.0010986328125, ""oracle_nll"": 0.003383155117208245, ""scenario_id"": ""static_gaussian"", ""standard_error_rate"": 0.00146484375, ""static_brier"": 0.0023089150365103324, ""static_error_rate"": 0.00146484375, ""static_minus_ewma_error_rate"": 0.00030517578125, ""static_minus_kalman_error_rate"": 0.000244140625, ""static_nll"": 0.004957462558739836, ""trace_sha256"": ""06780739fe7a42b16ac9e6a0beccdf438e57682f4732c496931bb2132e077f2f"", ""window_brier"": 0.0019374457536866503, ""window_covariance_tracking_rmse_lattice2"": 0.0029298876107955374, ""window_error_rate"": 0.0010986328125, ""window_mean_tracking_rmse_lattice"": 0.012647986570363274, ""window_minus_best_recursive_error_rate"": -6.103515625e-05, ""window_nll"": 0.003455629922602604, ""windows"": 32}"
decoder_seed,static_gaussian,decoder_syndrome_level_paired,20262716206,paired_all,trace_sha256,84ba47a2d12aeed6f53e91ba8f941e41454b5c2c35ea7d6fe83755e05f001ca9,"{""evaluation_samples"": 16384, ""evaluation_seed"": 20262716206, ""ewma_brier"": 0.0017505909441943711, ""ewma_covariance_tracking_rmse_lattice2"": 0.002897487862818736, ""ewma_error_rate"": 0.0010986328125, ""ewma_mean_tracking_rmse_lattice"": 0.011733582869187416, ""ewma_nll"": 0.0033870760936741016, ""kalman_brier"": 0.0017577827334802109, ""kalman_covariance_tracking_rmse_lattice2"": 0.0027865516239842813, ""kalman_error_rate"": 0.0010986328125, ""kalman_mean_tracking_rmse_lattice"": 0.011314547761271847, ""kalman_nll"": 0.0033739156177305563, ""observation_samples_per_window"": 256, ""oracle_brier"": 0.0018290943766248312, ""oracle_error_rate"": 0.0013427734375, ""oracle_nll"": 0.0033032144575829807, ""scenario_id"": ""static_gaussian"", ""standard_error_rate"": 0.00225830078125, ""static_brier"": 0.0029792268687688353, ""static_error_rate"": 0.00189208984375, ""static_minus_ewma_error_rate"": 0.00079345703125, ""static_minus_kalman_error_rate"": 0.00079345703125, ""static_nll"": 0.005829058978833038, ""trace_sha256"": ""84ba47a2d12aeed6f53e91ba8f941e41454b5c2c35ea7d6fe83755e05f001ca9"", ""window_brier"": 0.001757494765675453, ""window_covariance_tracking_rmse_lattice2"": 0.0033565483925587867, ""window_error_rate"": 0.00103759765625, ""window_mean_tracking_rmse_lattice"": 0.013314387475412666, ""window_minus_best_recursive_error_rate"": -6.103515625e-05, ""window_nll"": 0.003444597241250089, ""windows"": 32}"
decoder_seed,mean_drift,decoder_syndrome_level_paired,20262816201,paired_all,trace_sha256,fbe18503aa9602a54e0e1c39d32b0fe5922bfdf6d989a719ea264f105d1ac749,"{""evaluation_samples"": 16384, ""evaluation_seed"": 20262816201, ""ewma_brier"": 0.0017753856690674952, ""ewma_covariance_tracking_rmse_lattice2"": 0.002574635618390634, ""ewma_error_rate"": 0.0010986328125, ""ewma_mean_tracking_rmse_lattice"": 0.020607047463608533, ""ewma_nll"": 0.0035052570724490584, ""kalman_brier"": 0.0017041448984773887, ""kalman_covariance_tracking_rmse_lattice2"": 0.002500111649622846, ""kalman_error_rate"": 0.0010986328125, ""kalman_mean_tracking_rmse_lattice"": 0.014752423134867758, ""kalman_nll"": 0.0033921166510173938, ""observation_samples_per_window"": 256, ""oracle_brier"": 0.0017286211024816936, ""oracle_error_rate"": 0.0010986328125, ""oracle_nll"": 0.0032888490425480635, ""scenario_id"": ""mean_drift"", ""standard_error_rate"": 0.007568359375, ""static_brier"": 0.010584315927078342, ""static_error_rate"": 0.007080078125, ""static_minus_ewma_error_rate"": 0.0059814453125, ""static_minus_kalman_error_rate"": 0.0059814453125, ""static_nll"": 0.019085985951551934, ""trace_sha256"": ""fbe18503aa9602a54e0e1c39d32b0fe5922bfdf6d989a719ea264f105d1ac749"", ""window_brier"": 0.0017864096086168142, ""window_covariance_tracking_rmse_lattice2"": 0.0029192006942179633, ""window_error_rate"": 0.00103759765625, ""window_mean_tracking_rmse_lattice"": 0.01996335965404326, ""window_minus_best_recursive_error_rate"": -6.103515625e-05, ""window_nll"": 0.003507189721385983, ""windows"": 32}"
decoder_seed,mean_drift,decoder_syndrome_level_paired,20262816202,paired_all,trace_sha256,75a2e7cd2c9170792ee68403e7ec2777a53a47d86cf11cc53a73ba407f713c28,"{""evaluation_samples"": 16384, ""evaluation_seed"": 20262816202, ""ewma_brier"": 0.001366267669257424, ""ewma_covariance_tracking_rmse_lattice2"": 0.002542007224998614, ""ewma_error_rate"": 0.00067138671875, ""ewma_mean_tracking_rmse_lattice"": 0.01935073857976006, ""ewma_nll"": 0.0025236357686545825, ""kalman_brier"": 0.001394946911345632, ""kalman_covariance_tracking_rmse_lattice2"": 0.00246586579945441, ""kalman_error_rate"": 0.0008544921875, ""kalman_mean_tracking_rmse_lattice"": 0.01301055444176961, ""kalman_nll"": 0.0025787118260531135, ""observation_samples_per_window"": 256, ""oracle_brier"": 0.0014326834017572793, ""oracle_error_rate"": 0.0008544921875, ""oracle_nll"": 0.002675053853821414, ""scenario_id"": ""mean_drift"", ""standard_error_rate"": 0.0081787109375, ""static_brier"": 0.01135105328280889, ""static_error_rate"": 0.00811767578125, ""static_minus_ewma_error_rate"": 0.0074462890625, ""static_minus_kalman_error_rate"": 0.00726318359375, ""static_nll"": 0.019872095755154685, ""trace_sha256"": ""75a2e7cd2c9170792ee68403e7ec2777a53a47d86cf11cc53a73ba407f713c28"", ""window_brier"": 0.0013490475930261496, ""window_covariance_tracking_rmse_lattice2"": 0.0029543842243888404, ""window_error_rate"": 0.0006103515625, ""window_mean_tracking_rmse_lattice"": 0.01855758646110155, ""window_minus_best_recursive_error_rate"": -6.103515625e-05, ""window_nll"": 0.0025112163739194485, ""windows"": 32}"
decoder_seed,mean_drift,decoder_syndrome_level_paired,20262816203,paired_all,trace_sha256,88982e56447a4df7e26782d365513bd6197b7e6ede8792b9968b4426a0f9b519,"{""evaluation_samples"": 16384, ""evaluation_seed"": 20262816203, ""ewma_brier"": 0.0017691913890933374, ""ewma_covariance_tracking_rmse_lattice2"": 0.002732185633819264, ""ewma_error_rate"": 0.00115966796875, ""ewma_mean_tracking_rmse_lattice"": 0.020293925766758498, ""ewma_nll"": 0.0031231009452623595, ""kalman_brier"": 0.0017556897599055696, ""kalman_covariance_tracking_rmse_lattice2"": 0.0026199347023994125, ""kalman_error_rate"": 0.00103759765625, ""kalman_mean_tracking_rmse_lattice"": 0.014924076056883614, ""kalman_nll"": 0.0030728539211504285, ""observation_samples_per_window"": 256, ""oracle_brier"": 0.0017716749530616422, ""oracle_error_rate"": 0.00128173828125, ""oracle_nll"": 0.0029871281982409856, ""scenario_id"": ""mean_drift"", ""standard_error_rate"": 0.00616455078125, ""static_brier"": 0.009988025784928896, ""static_error_rate"": 0.0062255859375, ""static_minus_ewma_error_rate"": 0.00506591796875, ""static_minus_kalman_error_rate"": 0.00518798828125, ""static_nll"": 0.018748547851845536, ""trace_sha256"": ""88982e56447a4df7e26782d365513bd6197b7e6ede8792b9968b4426a0f9b519"", ""window_brier"": 0.0017817750537499706, ""window_covariance_tracking_rmse_lattice2"": 0.0031266724321942357, ""window_error_rate"": 0.00128173828125, ""window_mean_tracking_rmse_lattice"": 0.019794739641172242, ""window_minus_best_recursive_error_rate"": 0.000244140625, ""window_nll"": 0.0031409002257176614, ""windows"": 32}"
decoder_seed,mean_drift,decoder_syndrome_level_paired,20262816204,paired_all,trace_sha256,d3114092b7401f9e5c58b4b80e7e1ab9dc6be0f7d80d1fbfe4e1a669faefcb17,"{""evaluation_samples"": 16384, ""evaluation_seed"": 20262816204, ""ewma_brier"": 0.0014728137547461398, ""ewma_covariance_tracking_rmse_lattice2"": 0.0029115088532103606, ""ewma_error_rate"": 0.00115966796875, ""ewma_mean_tracking_rmse_lattice"": 0.021400468283315894, ""ewma_nll"": 0.0025781748433512646, ""kalman_brier"": 0.0013602795267027483, ""kalman_covariance_tracking_rmse_lattice2"": 0.002821340716777866, ""kalman_error_rate"": 0.00091552734375, ""kalman_mean_tracking_rmse_lattice"": 0.015374033762519607, ""kalman_nll"": 0.002392410309491656, ""observation_samples_per_window"": 256, ""oracle_brier"": 0.0011964472477712495, ""oracle_error_rate"": 0.00079345703125, ""oracle_nll"": 0.0021597068995510118, ""scenario_id"": ""mean_drift"", ""standard_error_rate"": 0.0054931640625, ""static_brier"": 0.008710764382279745, ""static_error_rate"": 0.005615234375, ""static_minus_ewma_error_rate"": 0.00445556640625, ""static_minus_kalman_error_rate"": 0.00469970703125, ""static_nll"": 0.016290019918325325, ""trace_sha256"": ""d3114092b7401f9e5c58b4b80e7e1ab9dc6be0f7d80d1fbfe4e1a669faefcb17"", ""window_brier"": 0.0014774055576473979, ""window_covariance_tracking_rmse_lattice2"": 0.0033563367767890607, ""window_error_rate"": 0.0010986328125, ""window_mean_tracking_rmse_lattice"": 0.020608970153450052, ""window_minus_best_recursive_error_rate"": 0.00018310546875, ""window_nll"": 0.0025910919068788552, ""windows"": 32}"
decoder_seed,mean_drift,decoder_syndrome_level_paired,20262816205,paired_all,trace_sha256,f58fc8e2b8f838cd51c6b23cfc89b08a32fb060395f00758ad1cff23f78bbe77,"{""evaluation_samples"": 16384, ""evaluation_seed"": 20262816205, ""ewma_brier"": 0.0016907033316415955, ""ewma_covariance_tracking_rmse_lattice2"": 0.0028590223493217366, ""ewma_error_rate"": 0.00103759765625, ""ewma_mean_tracking_rmse_lattice"": 0.020130928413549895, ""ewma_nll"": 0.003229923536380062, ""kalman_brier"": 0.0016794633051364484, ""kalman_covariance_tracking_rmse_lattice2"": 0.0025416414902676952, ""kalman_error_rate"": 0.0009765625, ""kalman_mean_tracking_rmse_lattice"": 0.014550539567347955, ""kalman_nll"": 0.0032044913831751867, ""observation_samples_per_window"": 256, ""oracle_brier"": 0.0016507810259810604, ""oracle_error_rate"": 0.00091552734375, ""oracle_nll"": 0.00319765985879786, ""scenario_id"": ""mean_drift"", ""standard_error_rate"": 0.0079345703125, ""static_brier"": 0.01116840789749591, ""static_error_rate"": 0.0079345703125, ""static_minus_ewma_error_rate"": 0.00689697265625, ""static_minus_kalman_error_rate"": 0.0069580078125, ""static_nll"": 0.01965530576395122, ""trace_sha256"": ""f58fc8e2b8f838cd51c6b23cfc89b08a32fb060395f00758ad1cff23f78bbe77"", ""window_brier"": 0.0017230646650441505, ""window_covariance_tracking_rmse_lattice2"": 0.0033580660379643715, ""window_error_rate"": 0.00103759765625, ""window_mean_tracking_rmse_lattice"": 0.019864047933691453, ""window_minus_best_recursive_error_rate"": 6.103515625e-05, ""window_nll"": 0.0032978006666779442, ""windows"": 32}"
decoder_seed,mean_drift,decoder_syndrome_level_paired,20262816206,paired_all,trace_sha256,b7547a6f5e88ae7b4242400c57b9bf246754c9404126b4b6d7b6af9aee901339,"{""evaluation_samples"": 16384, ""evaluation_seed"": 20262816206, ""ewma_brier"": 0.0015832288669544088, ""ewma_covariance_tracking_rmse_lattice2"": 0.00265588612153427, ""ewma_error_rate"": 0.00103759765625, ""ewma_mean_tracking_rmse_lattice"": 0.018919303662965237, ""ewma_nll"": 0.0028019070614384587, ""kalman_brier"": 0.0014563622863065441, ""kalman_covariance_tracking_rmse_lattice2"": 0.0025865296616662554, ""kalman_error_rate"": 0.0009765625, ""kalman_mean_tracking_rmse_lattice"": 0.013650120896771362, ""kalman_nll"": 0.0026127603658020688, ""observation_samples_per_window"": 256, ""oracle_brier"": 0.0012862179861030888, ""oracle_error_rate"": 0.00079345703125, ""oracle_nll"": 0.002361403217666876, ""scenario_id"": ""mean_drift"", ""standard_error_rate"": 0.0067138671875, ""static_brier"": 0.00946932810433475, ""static_error_rate"": 0.006103515625, ""static_minus_ewma_error_rate"": 0.00506591796875, ""static_minus_kalman_error_rate"": 0.005126953125, ""static_nll"": 0.01723684574304148, ""trace_sha256"": ""b7547a6f5e88ae7b4242400c57b9bf246754c9404126b4b6d7b6af9aee901339"", ""window_brier"": 0.0015787248077050943, ""window_covariance_tracking_rmse_lattice2"": 0.0029927194717511625, ""window_error_rate"": 0.00103759765625, ""window_mean_tracking_rmse_lattice"": 0.01793177992224874, ""window_minus_best_recursive_error_rate"": 6.103515625e-05, ""window_nll"": 0.0027857042749749113, ""windows"": 32}"
decoder_seed,variance_drift,decoder_syndrome_level_paired,20262916201,paired_all,trace_sha256,215d05211f3e54f8fdfbcd8f5cd96b721abeb2c75c0438f36b3a85186829d050,"{""evaluation_samples"": 16384, ""evaluation_seed"": 20262916201, ""ewma_brier"": 0.011223289620182524, ""ewma_covariance_tracking_rmse_lattice2"": 0.004373930755957886, ""ewma_error_rate"": 0.00738525390625, ""ewma_mean_tracking_rmse_lattice"": 0.013364604267315196, ""ewma_nll"": 0.020439055427349136, ""kalman_brier"": 0.011332868640786031, ""kalman_covariance_tracking_rmse_lattice2"": 0.004330784541144987, ""kalman_error_rate"": 0.0076904296875, ""kalman_mean_tracking_rmse_lattice"": 0.01284565387651885, ""kalman_nll"": 0.020628067135553593, ""observation_samples_per_window"": 256, ""oracle_brier"": 0.010574933298390227, ""oracle_error_rate"": 0.00732421875, ""oracle_nll"": 0.0192812016098679, ""scenario_id"": ""variance_drift"", ""standard_error_rate"": 0.0089111328125, ""static_brier"": 0.0137318777219417, ""static_error_rate"": 0.009033203125, ""static_minus_ewma_error_rate"": 0.00164794921875, ""static_minus_kalman_error_rate"": 0.0013427734375, ""static_nll"": 0.025876427958622376, ""trace_sha256"": ""215d05211f3e54f8fdfbcd8f5cd96b721abeb2c75c0438f36b3a85186829d050"", ""window_brier"": 0.0113948258663806, ""window_covariance_tracking_rmse_lattice2"": 0.004832283396617836, ""window_error_rate"": 0.007568359375, ""window_mean_tracking_rmse_lattice"": 0.015305813969183022, ""window_minus_best_recursive_error_rate"": 0.00018310546875, ""window_nll"": 0.020762216915310775, ""windows"": 32}"
