scenario_id,base_evaluation_seed,evaluation_seed,target_survival,score_threshold,score_auc,trace_sha256,threshold,total_samples,accepted_samples,rejected_samples,survival_fraction,rejection_fraction,raw_error_rate,conditional_error_rate,accepted_failures_per_input,rejected_failure_capture_fraction,rejected_error_rate,truth_upper_conditional_error_rate,truth_upper_accepted_failures_per_input,random_rejection_expected_conditional_error_rate,random_rejection_expected_accepted_failures_per_input,break_even_rejection_penalty,total_cost_penalty_0.00,total_cost_penalty_0.25,total_cost_penalty_0.50,total_cost_penalty_1.00,raw_minus_conditional_error_rate
linear_mean,20261031,20261031,0.995,0.4116404297684926,0.9873263498290844,274798cbd47ae7e23e8ac544c271263d5fe10b6525ae20aaf135e961eaf91255,0.4116404297684926,49152,49011,141,0.99713134765625,0.00286865234375,0.006429036458333333,0.004998877802942197,0.004984537760416667,0.22468354430379747,0.5035460992907801,0.003570627002101569,0.0035603841145833335,0.006429036458333333,0.006410593787829081,0.5035460992907801,0.004984537760416667,0.005701700846354167,0.006418863932291667,0.007853190104166668,0.0014301586553911363
linear_mean,20261031,20261031,0.99,0.3281971312781853,0.9873263498290844,274798cbd47ae7e23e8ac544c271263d5fe10b6525ae20aaf135e961eaf91255,0.3281971312781853,49152,48872,280,0.9943033854166666,0.005696614583333333,0.006429036458333333,0.003908168276313635,0.0038859049479166665,0.39556962025316456,0.44642857142857145,0.0007366181044360779,0.000732421875,0.006429036458333333,0.006392412715488009,0.44642857142857145,0.0038859049479166665,0.00531005859375,0.006734212239583333,0.00958251953125,0.002520868182019698
linear_mean,20261031,20261031,0.98,0.19926100551297787,0.9873263498290844,274798cbd47ae7e23e8ac544c271263d5fe10b6525ae20aaf135e961eaf91255,0.19926100551297787,49152,48538,614,0.9875081380208334,0.012491861979166666,0.006429036458333333,0.002328072850138036,0.0022989908854166665,0.6424050632911392,0.3306188925081433,0.0,0.0,0.006429036458333333,0.0063487258222368025,0.3306188925081433,0.0022989908854166665,0.005421956380208333,0.008544921875,0.014790852864583332,0.004100963608195297
linear_mean,20261031,20261031,0.95,0.04931779639968714,0.9873263498290844,274798cbd47ae7e23e8ac544c271263d5fe10b6525ae20aaf135e961eaf91255,0.04931779639968714,49152,47479,1673,0.9659627278645834,0.034037272135416664,0.006429036458333333,0.0006950441247709514,0.00067138671875,0.8955696202531646,0.16915720263000597,0.0,0.0,0.006429036458333333,0.0062102095948325265,0.16915720263000597,0.00067138671875,0.009180704752604166,0.017690022786458332,0.034708658854166664,0.005733992333562382
linear_mean,20261031,20261031,0.9,0.010223105775464814,0.9873263498290844,274798cbd47ae7e23e8ac544c271263d5fe10b6525ae20aaf135e961eaf91255,0.010223105775464814,49152,45419,3733,0.9240519205729166,0.07594807942708333,0.006429036458333333,0.00017613773971245515,0.00016276041666666666,0.9746835443037974,0.08250736672917225,0.0,0.0,0.006429036458333333,0.005940763486756219,0.08250736672917225,0.00016276041666666666,0.0191497802734375,0.03813680013020833,0.07611083984375,0.006252898718620878
linear_mean,20261031,20261031,0.8,0.001548739715154679,0.9873263498290844,274798cbd47ae7e23e8ac544c271263d5fe10b6525ae20aaf135e961eaf91255,0.001548739715154679,49152,40937,8215,0.8328653971354166,0.16713460286458334,0.006429036458333333,7.328333781175953e-05,6.103515625e-05,0.990506329113924,0.03810103469263542,0.0,0.0,0.006429036458333333,0.005354522003067864,0.03810103469263542,6.103515625e-05,0.041844685872395836,0.08362833658854167,0.16719563802083334,0.006355753120521573
linear_mean,20261031,20261031,0.7,0.0004416617253509836,0.9873263498290844,274798cbd47ae7e23e8ac544c271263d5fe10b6525ae20aaf135e961eaf91255,0.0004416617253509836,49152,36235,12917,0.7372029622395834,0.2627970377604167,0.006429036458333333,0.0,0.0,1.0,0.024463884802972825,0.0,0.0,0.006429036458333333,0.0047395047214296125,0.024463884802972825,0.0,0.06569925944010417,0.13139851888020834,0.2627970377604167,0.006429036458333333
linear_mean,20261031,20261031,0.5,6.879024060191252e-05,0.9873263498290844,274798cbd47ae7e23e8ac544c271263d5fe10b6525ae20aaf135e961eaf91255,6.879024060191252e-05,49152,26404,22748,0.5371907552083334,0.4628092447916667,0.006429036458333333,0.0,0.0,1.0,0.0138913311060313,0.0,0.0,0.006429036458333333,0.003453618950313992,0.0138913311060313,0.0,0.11570231119791667,0.23140462239583334,0.4628092447916667,0.006429036458333333
linear_mean,20261032,20261032,0.995,0.4116404297684926,0.9829157371924977,c791a33a007192104c147277170ba7bb20d6e30d7351ef280ca0869ed73e6066,0.4116404297684926,49152,49009,143,0.9970906575520834,0.0029093424479166665,0.0067138671875,0.005590809851251811,0.005574544270833333,0.1696969696969697,0.3916083916083916,0.0038156257014017834,0.0038045247395833335,0.0067138671875,0.006694334248701732,0.3916083916083916,0.005574544270833333,0.0063018798828125,0.007029215494791666,0.00848388671875,0.0011230573362481892
linear_mean,20261032,20261032,0.99,0.3281971312781853,0.9829157371924977,c791a33a007192104c147277170ba7bb20d6e30d7351ef280ca0869ed73e6066,0.3281971312781853,49152,48851,301,0.9938761393229166,0.006123860677083333,0.0067138671875,0.004360197334752615,0.00433349609375,0.35454545454545455,0.38870431893687707,0.0005936418906470697,0.0005900065104166666,0.0067138671875,0.006672752400239308,0.38870431893687707,0.00433349609375,0.005864461263020833,0.007395426432291666,0.010457356770833332,0.002353669852747385
