strategy,root_seed,checkpoint_epoch,selection_split,selection_score,trajectory_count,eligible_within_agent,selected_within_agent,selected_across_agents,test_or_formal_used,checkpoint_tensor_sha256,training_lineage_sha256,status
mf,910001,840,validation_only,0.4029293454082895,64,True,True,False,False,408850c01aef4a61f77f34aa13652a0e11358fcda24f7fdc5c0d3a812058dd1b,f1e75fb5ee72035f16b7d3d743cd99aba3b17e4808d65596a16f8d1945667fcc,COMPLETE
mf,910001,880,validation_only,0.4026944169423441,64,True,False,False,False,a420f829e77df5ea8be9e0e403ffec5607c5188575ce6772df6fd8fffa7e7fa7,c2378de74b86e957240e5c92fdd9ffd3c4b6c4eeeb8358b642f7ed2dc30081a8,COMPLETE
mf,910001,920,validation_only,0.399851133880196,64,True,False,False,False,c3337376b4ca3d1a1c97262a42822fa01b6f4cb4032fef4d4370c83b835b8b44,822e2c91f22859246e91df32cc286401b7ad2ad520223772e0de62a7a810bbd3,COMPLETE
mf,910001,960,validation_only,0.3956624654668705,64,True,False,False,False,915cd941330a7a695c06d4931072c07d58c81db8c2d9a45adaafa0579cc96407,09dcc455b83b1e212a20408fe75aa5cd62b25254b6c97fe5bc67d407b38e621b,COMPLETE
mf,910001,1000,validation_only,0.4014938863078902,64,True,False,False,False,d66cadfc0f7cb6ef3228eaf1508c51a35943fa7a2ecd75deb7bea674ff00d0fc,f53644c14ab3d4f8fec532c65c4798c0c03a6edfd99240801180cd7a9f00fb03,COMPLETE
mf,910019,0,validation_only,0.2200928185521948,64,True,False,False,False,25af1e06ea1de0d20565ea68497fe3637d33c1bc329267e28a5d8e2f6d678072,e9e1edfbfa11cb4061b874af6baaabb794a77634f0e60f2c8433d679e867c4ba,COMPLETE
mf,910019,40,validation_only,0.2803013805135016,64,True,False,False,False,0fff95747edae175c2347793d570d25d46eac4158688e97aecf3eb84630604fd,23e9b71a9a1b034c9d49d9e8bae02a8e11349daa82ebd0c184722d0a575df61a,COMPLETE
mf,910019,80,validation_only,0.3672658429315339,64,True,False,False,False,d6f93d1d4312b16ff6101410f037babab0e69b4439ba7c38631e9f419bb9e8b6,54701de7a0ea66a4a8aa769c4ef279d4916611b83403b0152153e4099c6eafc2,COMPLETE
mf,910019,120,validation_only,0.3792589687886868,64,True,False,False,False,a2ba09b38941db373a948a18e78122f401f3757309482d68a63d2ad04ff5b549,af36150caf4f1fa155b93e86debfbf160d54b5a97ba54978ab5680843f7e7601,COMPLETE
mf,910019,160,validation_only,0.3822280203087086,64,True,False,False,False,ebf976628eb6ce03bc7b2073349e3963e2e2f9d45f3cee0e5544bf5d1114dcba,25c827dac93935a6a0371d2daed24db70cc474d40d64a7d886ea5db4d1e3ae3d,COMPLETE
mf,910019,200,validation_only,0.39070390227373175,64,True,False,False,False,5e2cb009eb58d204aa05598c8369cc2a033b6a2a2ca2048b581f504f1956a2b1,48786d13de91eee5f235f364d354f1164bbf97b9b7a9de212208ac500545849f,COMPLETE
mf,910019,240,validation_only,0.37919751658147205,64,True,False,False,False,7988f63b14182b391557b27379d220fe490a16cb0fc9906ad23b2e8abcbd5a67,93b94cf598da522fb72db7a64149bc0ce0bf2a1b4fbda9d630ffe6e5fb73d9c7,COMPLETE
