row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
shared|c40|shared|vacuum_f|RESET|B|p0000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,rao_blackwell_expected_reset_repair,1804000,0,,0,True,RESET,,,vacuum_f,,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_shared_vacuum_f_RESET_B__cb7210ff7a3118e0,0,0,0,0,556b894ec651b768ade273d080462f97d8f94cee37e02677eaa759da391a8c3c,0.0,0.0,0.0013111629681745183,0.007070127521851976,0.9916187095099734,1.546221704794051e-13,6.472944790271677e-19,0.9999999999998453,-0.23833961389128389,1.0097621405179946,2.7755575615628914e-17,0.0,-11.277667309936911,-11.277667309936911,3.2173492082355226,1.546221704794051e-13,6.472944790271677e-19,0.9999999999998453,0.8200000000000278,9.709417185407521e-21,0.17999999999997218,0.0,True,True,success,0.8200000000000278,False,0.17999999999997218,0,0.0048951198706258395,1.1403615159364693,0.034831520180496345,-0.0055822063163576165,0.039791356298017104,-7.215575706473746,-0.9019469633092182,0.09246889805330216,-4.45387051896356,-4.5463394170168625,-0.002003885653403874,0.0009849544703311847,0.006298860529534469,-0.0018305768283904203,0.000539101691394884,,,,,,,,,,0.0,0.0,0.0,1.0115282982851212e-08,5.003951305505442e-08,2.7407770066827554e-07,0.0,0.0,1.1102230246309626e-16,0.0,True,,
shared|c40|shared|vacuum_f|RESET|B|p0001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,rao_blackwell_expected_reset_repair,1804001,1,,0,True,RESET,,,vacuum_f,,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_shared_vacuum_f_RESET_B__cb7210ff7a3118e0,1,1,1,1,c16af8ce1ac90124b168fd61fc6b8baaa73d4d3dc49ab16a6b3ad605786f0304,0.0,0.0,0.0013111629681745183,0.007070127521851976,0.9916187095099734,7.503750896637737e-15,6.67572986406477e-18,0.9999999999999926,-0.147551612006122,1.0184290501396545,0.0,0.0,-11.439031234774315,-11.439031234774315,3.5908259906339883,7.503750896637737e-15,6.67572986406477e-18,0.9999999999999926,0.8200000000000014,1.0013594796097159e-19,0.1799999999999986,0.0,True,True,success,0.8200000000000014,False,0.1799999999999986,0,0.0048951198706258395,1.1403615159364693,0.034831520180496345,-0.0055822063163576165,0.039791356298017104,-17.21310686974165,-2.1516383587177064,3.9632155993854647,4.223121294333302,0.2599056949478369,-0.0005449597280762016,-8.096331044533809e-05,0.0038667651008091946,-0.003878571736436371,0.0012458382117884153,,,,,,,,,,0.0,0.0,0.0,1.0115245614650696e-08,5.003951305505442e-08,2.7407770066827554e-07,0.0,0.0,3.3306690738755963e-16,0.0,True,,
shared|c40|shared|vacuum_f|RESET|B|p0002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,rao_blackwell_expected_reset_repair,1804002,2,,0,True,RESET,,,vacuum_f,,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_shared_vacuum_f_RESET_B__cb7210ff7a3118e0,2,2,2,2,8d353289e1536ec793512af70506d61e3402ffb66808fbbe194e7643367e97bb,0.0,0.0,0.0013111629681745183,0.007070127521851976,0.9916187095099734,2.2039892229513904e-20,3.7546370146412716e-28,1.0,-0.3315883280790963,1.473461503742999,5.551115123125783e-17,0.0,-16.487006519617164,-16.487006519617168,4.51296683653586,2.2039892229513904e-20,3.7546370146412716e-28,1.0,0.82,5.631955521961913e-30,0.18000000000000008,0.0,True,True,success,0.82,False,0.18000000000000008,0,0.0048951198706258395,1.1403615159364693,0.034831520180496345,-0.0055822063163576165,0.039791356298017104,-12.701180659910099,-1.5876475824887624,-5.321164943548018,-1.5819910708056373,3.7391738727423807,0.002594681929266324,-0.002835832799686611,0.005369477332979239,-0.0002579038021075606,0.00453187693545966,,,,,,,,,,1.1102230246251565e-16,0.0,0.0,1.0115243495025877e-08,5.003951305505442e-08,2.7407770066827554e-07,0.0,0.0,1.925929968153258e-34,3.552713678800501e-15,True,,
shared|c40|shared|vacuum_f|RESET|B|p0003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,rao_blackwell_expected_reset_repair,1804003,3,,0,True,RESET,,,vacuum_f,,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_shared_vacuum_f_RESET_B__cb7210ff7a3118e0,3,3,3,3,4796a4ca4ec3a8a985642799c437b10f4b6db2249b6d1c1d92667817d58f5a22,0.0,0.0,0.0013111629681745183,0.007070127521851976,0.9916187095099734,1.778844416105527e-17,4.4168583297585066e-16,0.9999999999999994,0.025870629866943176,1.0416254335014425,6.938893903907228e-18,2.220446049250313e-16,-12.591219413944232,-12.591219413944234,4.3350987587898535,1.778844416105527e-17,4.4168583297585066e-16,0.9999999999999994,0.82,6.625287494637769e-18,0.18000000000000002,0.0,True,False,failure,0.82,True,0.18000000000000002,1,0.0048951198706258395,1.1403615159364693,0.034831520180496345,-0.0055822063163576165,0.039791356298017104,-7.860397602071644,-0.9825497002589555,-1.179100541077247,-5.353888450602355,-4.174787909525108,-0.0022488890990742263,-0.0005600524689368451,0.0023117785629880733,-0.003652811149673329,0.0038668265580901005,,,,,,,,,,0.0,0.0,0.0,1.0115243593156655e-08,5.003951305505442e-08,2.7407770066827554e-07,1.1102230246251565e-16,0.0,5.551115123125815e-16,1.7763568394002505e-15,True,,
shared|c40|shared|vacuum_f|RESET|B|p0004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,rao_blackwell_expected_reset_repair,1804004,4,,0,True,RESET,,,vacuum_f,,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_shared_vacuum_f_RESET_B__cb7210ff7a3118e0,4,4,4,4,e3c553caf25a7e5f8945aaa60601a034ef1a8470e0ac521fcf6c7179e3235ffe,0.0,0.0,0.0013111629681745183,0.007070127521851976,0.9916187095099734,2.768258566207201e-23,2.965682970835298e-26,1.0,-0.1444037147785588,1.5023932313315127,2.7755575615628914e-17,2.220446049250313e-16,-14.112417905896317,-14.11241790589632,3.9751143344681754,2.768258566207201e-23,2.965682970835298e-26,1.0,0.82,4.448524456252951e-28,0.18000000000000008,0.0,True,True,success,0.82,False,0.18000000000000008,0,0.0048951198706258395,1.1403615159364693,0.034831520180496345,-0.0055822063163576165,0.039791356298017104,-16.434331829423993,-2.054291478677999,-6.297321554391391,-1.344206118179894,4.953115436211497,0.003469577896541149,0.0012428787747292148,0.004682721940130606,-0.004063467647763552,0.002494709782681302,,,,,,,,,,1.1102230246251565e-16,0.0,0.0,1.0115243495025877e-08,5.003951305505442e-08,2.7407770066827554e-07,0.0,0.0,4.722066418073711e-38,3.552713678800501e-15,True,,
shared|c40|shared|vacuum_f|RESET|B|p0005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,rao_blackwell_expected_reset_repair,1804005,5,,0,True,RESET,,,vacuum_f,,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_shared_vacuum_f_RESET_B__cb7210ff7a3118e0,5,5,5,5,3f55d5fb8e18c161830081b80f97573d510fd2b6385679ff9084201ba5cff041,0.0,0.0,0.0013111629681745183,0.007070127521851976,0.9916187095099734,1.093841562537904e-15,1.1496152616570177e-12,0.9999999999988493,0.08932273800331039,0.8915744138651808,1.3877787807814457e-17,0.0,-13.989507413981704,-13.989507413981704,4.480645877687087,1.093841562537904e-15,1.1496152616570177e-12,0.9999999999988493,0.8200000000001898,1.724422892485529e-14,0.179999999999793,0.0,True,True,success,0.8200000000001898,False,0.179999999999793,0,0.0048951198706258395,1.1403615159364693,0.034831520180496345,-0.0055822063163576165,0.039791356298017104,-8.832297965695307,-1.1040372457119134,-0.12194161757916877,-4.333242445342057,-4.211300827762888,0.0018534985946272666,0.0014983892806824468,-0.0004536067468099898,0.00021481131502770908,0.002231426686058295,,,,,,,,,,1.1102230246251565e-16,0.0,0.0,1.0115524168686633e-08,5.0039513055054564e-08,2.7407770066827633e-07,0.0,0.0,3.330669073885658e-16,0.0,True,,
shared|c40|shared|vacuum_f|RESET|B|p0006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,rao_blackwell_expected_reset_repair,1804006,6,,0,True,RESET,,,vacuum_f,,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_shared_vacuum_f_RESET_B__cb7210ff7a3118e0,6,6,6,6,3ebf2d75af9968b2ab43df1bdfc5215062adc27fb386fbb57852f63ae180539f,0.0,0.0,0.0013111629681745183,0.007070127521851976,0.9916187095099734,5.214360145004266e-20,5.679147978291891e-23,1.0,-0.1441242543569571,1.313334975628391,0.0,0.0,-9.281816776107013,-9.281816776107014,2.529839792842354,5.214360145004266e-20,5.679147978291891e-23,1.0,0.82,8.518721967437846e-25,0.18000000000000008,0.0,True,True,success,0.82,False,0.18000000000000008,0,0.0048951198706258395,1.1403615159364693,0.034831520180496345,-0.0055822063163576165,0.039791356298017104,-14.891056920549705,-1.861382115068713,-8.358810069154357,-2.514176377583822,5.844633691570535,-0.001574491830376487,-0.0012652684171428547,0.006188790466577818,0.0012413578950813179,0.001845752844867797,,,,,,,,,,1.1102230246251565e-16,0.0,0.0,1.0115243495025877e-08,5.003951305505442e-08,2.7407770066827554e-07,0.0,0.0,7.866408195702748e-35,1.7763568394002505e-15,True,,
shared|c40|shared|vacuum_f|RESET|B|p0007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,rao_blackwell_expected_reset_repair,1804007,7,,0,True,RESET,,,vacuum_f,,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_shared_vacuum_f_RESET_B__cb7210ff7a3118e0,7,7,7,7,2aa181f6ba52ac8c5c681d91a52d5476d05a6e2cdbe34c20e607c80a17ed2297,0.0,0.0,0.0013111629681745183,0.007070127521851976,0.9916187095099734,1.013986902853902e-25,4.961212710000024e-21,1.0,0.15438725501272235,1.4220290892474248,2.7755575615628914e-17,0.0,-6.971365592703116,-6.971365592703116,1.062102807932472,1.013986902853902e-25,4.961212710000024e-21,1.0,0.82,7.441819065000043e-23,0.18000000000000008,0.0,True,True,success,0.82,False,0.18000000000000008,0,0.0048951198706258395,1.1403615159364693,0.034831520180496345,-0.0055822063163576165,0.039791356298017104,-7.7085050410836455,-0.9635631301354557,-0.6216939048403107,-4.311297322251714,-3.689603417411403,0.0016669708262025092,-0.00033263554219793045,0.002575751984097861,-0.0011828522449205132,0.0004961143210050745,,,,,,,,,,1.1102230246251565e-16,0.0,0.0,1.0115243495025877e-08,5.003951305505442e-08,2.7407770066827554e-07,0.0,0.0,3.761671462240074e-35,0.0,True,,
shared|c40|shared|vacuum_f|RESET|B|p0008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,rao_blackwell_expected_reset_repair,1804008,8,,0,True,RESET,,,vacuum_f,,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_shared_vacuum_f_RESET_B__cb7210ff7a3118e0,8,8,8,8,f1647b69bb1454f58cd399856de59b5dea440b5106ddc79663e78ae6b7e85e2e,0.0,0.0,0.0013111629681745183,0.007070127521851976,0.9916187095099734,9.004033283370639e-20,4.4590419339292894e-18,1.0,0.03756650798024355,1.1653616473517951,0.0,0.0,-12.103225267279512,-12.103225267279512,4.196367963384925,9.004033283370639e-20,4.4590419339292894e-18,1.0,0.82,6.688562900893942e-20,0.18000000000000008,0.0,True,False,failure,0.82,True,0.18000000000000008,1,0.0048951198706258395,1.1403615159364693,0.034831520180496345,-0.0055822063163576165,0.039791356298017104,-15.89607163592549,-1.9870089544906862,-7.800106707282733,-3.1394056120998366,4.660701095182897,0.0005748383690698483,-0.0003788692296397342,0.0004555813053632564,-0.0033340705790606577,0.001719818712975999,,,,,,,,,,1.1102230246251565e-16,0.0,0.0,1.0115243495025877e-08,5.003951305505442e-08,2.7407770066827554e-07,0.0,0.0,3.4401923631617e-32,0.0,True,,
shared|c40|shared|vacuum_f|RESET|B|p0009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,rao_blackwell_expected_reset_repair,1804009,9,,0,True,RESET,,,vacuum_f,,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_shared_vacuum_f_RESET_B__cb7210ff7a3118e0,9,9,9,9,f060d4052b52491398a4fd20952bb9bd229d08dff17665a5b0b280c83448f041,0.0,0.0,0.0013111629681745183,0.007070127521851976,0.9916187095099734,7.078916408085296e-23,2.724257441169618e-18,1.0,0.15031967716933173,1.2610408206507988,0.0,0.0,-10.746999121422723,-10.746999121422725,3.305188183662882,7.078916408085296e-23,2.724257441169618e-18,1.0,0.82,4.086386161754431e-20,0.18000000000000008,0.0,True,True,success,0.82,False,0.18000000000000008,0,0.0048951198706258395,1.1403615159364693,0.034831520180496345,-0.0055822063163576165,0.039791356298017104,-13.365366659243577,-1.6706708324054471,-6.483282195076331,-2.4484055072626045,4.0348766878137265,0.0008442040089027169,-0.001205743381523914,0.00302989193599678,-0.0003204400093661736,0.0036367727324520763,,,,,,,,,,1.1102230246251565e-16,0.0,0.0,1.0115243495025877e-08,5.003951305505442e-08,2.7407770066827554e-07,0.0,0.0,1.1564513423389665e-33,1.7763568394002505e-15,True,,
