round,cumulative_ler
1,0.0
2,0.0
3,0.0
4,0.25
5,0.2
6,0.3333333333333333
7,0.2857142857142857
8,0.375
9,0.3333333333333333
10,0.3
11,0.2727272727272727
12,0.25
13,0.23076923076923078
14,0.21428571428571427
15,0.26666666666666666
16,0.25
17,0.23529411764705882
18,0.2222222222222222
19,0.21052631578947367
20,0.3
21,0.3333333333333333
22,0.36363636363636365
23,0.34782608695652173
24,0.3333333333333333
25,0.36
26,0.34615384615384615
27,0.3333333333333333
28,0.32142857142857145
29,0.3103448275862069
30,0.3
31,0.3225806451612903
32,0.3125
33,0.30303030303030304
34,0.29411764705882354
35,0.3142857142857143
36,0.3055555555555556
37,0.2972972972972973
38,0.2894736842105263
39,0.3076923076923077
40,0.35
41,0.34146341463414637
42,0.35714285714285715
43,0.3488372093023256
44,0.3409090909090909
45,0.3333333333333333
46,0.32608695652173914
47,0.3191489361702128
48,0.3125
49,0.30612244897959184
50,0.32
51,0.3333333333333333
52,0.3269230769230769
53,0.32075471698113206
54,0.3333333333333333
55,0.32727272727272727
56,0.32142857142857145
57,0.3157894736842105
58,0.3103448275862069
59,0.3050847457627119
60,0.3
61,0.3114754098360656
62,0.3387096774193548
63,0.3492063492063492
64,0.34375
65,0.3384615384615385
66,0.3484848484848485
67,0.3582089552238806
68,0.35294117647058826
69,0.36231884057971014
70,0.37142857142857144
71,0.36619718309859156
72,0.3611111111111111
73,0.3561643835616438
74,0.35135135135135137
75,0.3466666666666667
76,0.34210526315789475
77,0.35064935064935066
78,0.358974358974359
79,0.3670886075949367
80,0.3625
81,0.35802469135802467
82,0.35365853658536583
83,0.3493975903614458
84,0.34523809523809523
85,0.3411764705882353
86,0.3372093023255814
87,0.3448275862068966
88,0.3409090909090909
89,0.34831460674157305
90,0.34444444444444444
91,0.34065934065934067
92,0.33695652173913043
93,0.34408602150537637
94,0.3404255319148936
95,0.3368421052631579
96,0.3333333333333333
97,0.32989690721649484
98,0.336734693877551
99,0.3333333333333333
100,0.33
101,0.33663366336633666
102,0.3431372549019608
103,0.34951456310679613
104,0.3557692307692308
105,0.3619047619047619
106,0.3584905660377358
107,0.3644859813084112
108,0.37037037037037035
109,0.3669724770642202
110,0.37272727272727274
111,0.38738738738738737
112,0.38392857142857145
113,0.3805309734513274
114,0.38596491228070173
115,0.391304347826087
116,0.3879310344827586
117,0.39316239316239315
118,0.3898305084745763
119,0.3949579831932773
120,0.4
121,0.39669421487603307
122,0.4016393442622951
123,0.3983739837398374
124,0.3951612903225806
125,0.4
126,0.40476190476190477
127,0.4094488188976378
128,0.40625
129,0.40310077519379844
130,0.4
131,0.3969465648854962
132,0.3939393939393939
133,0.39849624060150374
134,0.40298507462686567
135,0.4074074074074074
136,0.40441176470588236
137,0.41605839416058393
138,0.42028985507246375
139,0.4244604316546763
140,0.42857142857142855
141,0.425531914893617
142,0.4225352112676056
143,0.4195804195804196
144,0.4166666666666667
145,0.41379310344827586
