scenario_id,base_evaluation_seed,effective_seed,cycles,trace_sha256,truth_normal_cycles,truth_x_recovery_cycles,truth_z_recovery_cycles,truth_leakage_cycles,truth_health_fallback_cycles,fsm_final_bank_version,fsm_bank_conflicts,fsm_local_safe_cycles,fsm_corrections_finite,static_safe_normal_event_cost,static_safe_normal_event_plus_write_cost,static_safe_normal_action_accuracy,static_safe_normal_unsafe_miss_rate,static_safe_normal_false_intervention_rate,static_safe_normal_mean_event_detection_delay_cycles,static_safe_normal_transitions,static_safe_normal_bank_writes,static_safe_normal_fallback_cycles,memoryless_event_event_cost,memoryless_event_event_plus_write_cost,memoryless_event_action_accuracy,memoryless_event_unsafe_miss_rate,memoryless_event_false_intervention_rate,memoryless_event_mean_event_detection_delay_cycles,memoryless_event_transitions,memoryless_event_bank_writes,memoryless_event_fallback_cycles,run_length_fsm_event_cost,run_length_fsm_event_plus_write_cost,run_length_fsm_action_accuracy,run_length_fsm_unsafe_miss_rate,run_length_fsm_false_intervention_rate,run_length_fsm_mean_event_detection_delay_cycles,run_length_fsm_transitions,run_length_fsm_bank_writes,run_length_fsm_fallback_cycles,truth_oracle_event_cost,truth_oracle_event_plus_write_cost,truth_oracle_action_accuracy,truth_oracle_unsafe_miss_rate,truth_oracle_false_intervention_rate,truth_oracle_mean_event_detection_delay_cycles,truth_oracle_transitions,truth_oracle_bank_writes,truth_oracle_fallback_cycles
readout_false_positive,20261123,20361123,1024,64e11efba76f807ac314f6abaeafa3943248e75c4891b324e4c69fbbd77bb331,816,112,96,0,0,105,0,0,True,0.203125,0.203125,0.796875,0.0,0.0,1.5522388059701493,0,0,0,0.024042968749999998,0.024794921874999997,0.91015625,0.0,0.10294117647058823,0.05223880597014925,385,385,0,0.13080078125,0.131005859375,0.86328125,0.0,0.00980392156862745,0.9850746268656716,105,105,0,0.0,0.000501953125,1.0,0.0,0.0,0.0,257,257,0
readout_false_positive,20261124,20361124,1024,f61fb15ac3dfdfe770e4af3826c19756f70bee718b1cee24d9fc2c7e92a5f58d,803,116,105,0,0,105,0,0,True,0.2158203125,0.2158203125,0.7841796875,0.0,0.0,1.4635761589403973,0,0,0,0.0294921875,0.030205078125,0.9208984375,0.0,0.08094645080946451,0.07947019867549669,365,365,0,0.1446484375,0.144853515625,0.849609375,0.0,0.0112079701120797,0.9470198675496688,105,105,0,0.0,0.000548828125,1.0,0.0,0.0,0.0,281,281,0
readout_false_positive,20261125,20361125,1024,42760d8d00dc3804bd0e0910d094ed1664a39951b5d600d6eed513fe5753f938,819,87,118,0,0,121,0,0,True,0.2001953125,0.2001953125,0.7998046875,0.0,0.0,1.443661971830986,0,0,0,0.028623046875,0.02941796875,0.8994140625,0.0,0.11233211233211234,0.056338028169014086,407,407,0,0.136767578125,0.13700390625,0.85546875,0.0,0.01221001221001221,0.971830985915493,121,121,0,0.0,0.00053125,1.0,0.0,0.0,0.0,272,272,0
readout_false_positive,20261126,20361126,1024,8bb0e2d18fa4f5e30f28b05910e791df1a0aa7443a57d1920cb09f8dc48752c3,796,120,106,2,0,134,0,0,True,0.223046875,0.223046875,0.77734375,1.0,0.0,1.7014925373134329,0,0,0,0.021220703124999997,0.021964843749999997,0.9111328125,0.0,0.10804020100502512,0.022388059701492536,381,381,0,0.12721679687499998,0.12747851562499998,0.8662109375,0.0,0.011306532663316583,0.9552238805970149,134,134,0,0.0,0.00050390625,1.0,0.0,0.0,0.0,258,258,0
readout_false_positive,20261127,20361127,1024,fedbff520690bdfb6c4a91fc1a3cf7a90960abd799a2daa19323857cbcfec6ad,842,87,95,0,0,104,0,0,True,0.177734375,0.177734375,0.822265625,0.0,0.0,1.5041322314049588,0,0,0,0.028583984375,0.029291015625,0.9013671875,0.0,0.10570071258907364,0.049586776859504134,362,362,0,0.12208984374999998,0.12229296874999998,0.8671875,0.0,0.0166270783847981,1.0,104,104,0,0.0,0.000455078125,1.0,0.0,0.0,0.0,233,233,0
readout_false_positive,20261128,20361128,1024,31c02ed60ffec033f244868717ff358ea9012ffb73b5470fe1bf3f40c72e65a1,819,121,84,0,0,121,0,0,True,0.2001953125,0.2001953125,0.7998046875,0.0,0.0,1.4963503649635037,0,0,0,0.026513671875,0.027322265624999998,0.890625,0.0,0.1282051282051282,0.0364963503649635,414,414,0,0.12846679687499998,0.12870312499999997,0.8642578125,0.0,0.01221001221001221,0.9343065693430657,121,121,0,0.0,0.000517578125,1.0,0.0,0.0,0.0,265,265,0
leakage_bursts,20261121,20461121,1024,49f5b19fec4236b199cf6ba915e3309c74d59f68080c6daf8cdc2db5e24cc5ef,379,305,241,99,0,251,0,0,True,0.64921875,0.64921875,0.3701171875,1.0,0.0,2.7682403433476397,0,0,0,0.012841796874999999,0.013603515624999998,0.9833984375,0.0,0.013192612137203167,0.008583690987124463,390,390,0,0.228642578125,0.2291328125,0.76953125,0.0,0.002638522427440633,0.9828326180257511,251,251,0,0.0,0.000724609375,1.0,0.0,0.0,0.0,371,371,0
leakage_bursts,20261122,20461122,1024,05cba86a7efa55bb006b0de7ea7406b6cc2de3a45145c3c90f16843473f12e1f,416,284,262,62,0,252,0,0,True,0.605859375,0.605859375,0.40625,1.0,0.0,2.751131221719457,0,0,0,0.020830078125,0.021615234374999997,0.9755859375,0.0,0.014423076923076924,0.03619909502262444,402,402,0,0.223173828125,0.223666015625,0.775390625,0.0,0.002403846153846154,1.0,252,252,0,0.0,0.000736328125,1.0,0.0,0.0,0.0,377,377,0
leakage_bursts,20261123,20461123,1024,f1ec39f9a6aea2829f1e9b0ed3a5691f0427b12f68fb126cfdb8b68f684c8163,355,287,279,103,0,309,0,0,True,0.6734375,0.6734375,0.3466796875,1.0,0.0,3.0135135135135136,0,0,0,0.009873046875,0.010599609375,0.9892578125,0.0,0.005633802816901409,0.013513513513513514,372,372,0,0.20888671875,0.209490234375,0.7900390625,0.0,0.0,0.9279279279279279,309,309,0,0.0,0.00070703125,1.0,0.0,0.0,0.0,362,362,0
leakage_bursts,20261124,20461124,1024,f57bb0e9ac8b35d13e3e6ecb969b1041198c5b506fc9ca3e582ca508fdd4cab9,450,274,276,24,0,261,0,0,True,0.565234375,0.565234375,0.439453125,1.0,0.0,2.463519313304721,0,0,0,0.013505859374999998,0.014298828124999998,0.982421875,0.0,0.013333333333333334,0.012875536480686695,406,406,0,0.2293359375,0.229845703125,0.767578125,0.0,0.006666666666666667,0.9785407725321889,261,261,0,0.0,0.000759765625,1.0,0.0,0.0,0.0,389,389,0
