profile_id,curve_axis,axis_value,bank_fault_mode,seed,logical_error_rate,prediction_disagreement_vs_float,maximum_bank_age_windows,fault_events,adc_bits,lut_address_bits,llr_word_bits,threshold_word_bits,state_bits,update_period_windows,total_dual_bank_storage_bits,replay_window_bits,update_payload_bits,mean_update_payload_bits_per_window,target_hardware_measured,synthesis_measured
axis_lut_address_bits_6,lut_address_bits,6.0,none,101,0.027083333333333334,0.001171875,1,0,10,6,12,10,12,1,1604,2560,802,802.0,False,False
axis_lut_address_bits_6,lut_address_bits,6.0,none,211,0.027864583333333335,0.0006510416666666666,1,0,10,6,12,10,12,1,1604,2560,802,802.0,False,False
axis_lut_address_bits_6,lut_address_bits,6.0,none,307,0.02734375,0.000390625,1,0,10,6,12,10,12,1,1604,2560,802,802.0,False,False
axis_lut_address_bits_6,lut_address_bits,6.0,none,401,0.024869791666666665,0.001171875,1,0,10,6,12,10,12,1,1604,2560,802,802.0,False,False
axis_lut_address_bits_7,lut_address_bits,7.0,none,101,0.027864583333333335,0.00013020833333333333,1,0,10,7,12,10,12,1,3140,2560,1570,1570.0,False,False
axis_lut_address_bits_7,lut_address_bits,7.0,none,211,0.028385416666666666,0.00013020833333333333,1,0,10,7,12,10,12,1,3140,2560,1570,1570.0,False,False
axis_lut_address_bits_7,lut_address_bits,7.0,none,307,0.027864583333333335,0.00013020833333333333,1,0,10,7,12,10,12,1,3140,2560,1570,1570.0,False,False
axis_lut_address_bits_7,lut_address_bits,7.0,none,401,0.025130208333333334,0.000390625,1,0,10,7,12,10,12,1,3140,2560,1570,1570.0,False,False
axis_lut_address_bits_8,lut_address_bits,8.0,none,101,0.027604166666666666,0.00013020833333333333,1,0,10,8,12,10,12,1,6212,2560,3106,3106.0,False,False
axis_lut_address_bits_8,lut_address_bits,8.0,none,211,0.028515625,0.00026041666666666666,1,0,10,8,12,10,12,1,6212,2560,3106,3106.0,False,False
